"TOA5","CR300Series_421","CR300","27030","CR300-RF407.Std.10.03","CPU:sapflux_2sensor_CR300_30min.cr300","60975","SapFlowAll"
"TIMESTAMP","RECORD","Batt_volt","PTemp_C","S0_AlpOut","S0_AlpInn","S0_BetOut","S0_BetInn","S0_tMxTout","S0_tMxTinn","S0_TpDsOut","S0_dTDsOut","S0_TsDsOut","S0_TpUsOut","S0_dTUsOut","S0_TsUsOut","S0_TpDsInn","S0_dTDsInn","S0_TsDsInn","S0_TpUsInn","S0_dTUsInn","S0_TsUsInn","S0_tMxTUsO","S0_tMxTUsI","S1_AlpOut","S1_AlpInn","S1_BetOut","S1_BetInn","S1_tMxTout","S1_tMxTinn","S1_TpDsOut","S1_dTDsOut","S1_TsDsOut","S1_TpUsOut","S1_dTUsOut","S1_TsUsOut","S1_TpDsInn","S1_dTDsInn","S1_TsDsInn","S1_TpUsInn","S1_dTUsInn","S1_TsUsInn","S1_tMxTUsO","S1_tMxTUsI"
"TS","RN","","","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-19 18:30:00",0,10.19,27.12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-19 19:00:00",1,13.08,27.98,0.72427,1.5752,0.71149,1.36673,65.959,52.525,24.674,0.33,25,24.354,0.162,24.512,23.883,0.557,24.4,23.611,0.142,23.718,62.584,39.654,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-19 19:30:00",2,13.05,27.33,0.62458,1.4179,0.62101,1.31601,74.771,54.09,24.221,0.441,24.658,24.079,0.237,24.313,23.591,0.604,24.169,23.496,0.162,23.636,74.397,43.718,1.37927,1.34148,1.36948,1.15853,58.745,60.817,24.27,0.59,24.842,24.294,0.15,24.438,23.884,0.602,24.473,23.789,0.189,23.943,54.6,41.854
"2025-05-19 20:00:00",3,13.06,27.47,0.39236,1.23787,0.43781,1.19859,60.935,57.246,25.857,0.361,26.199,25.152,0.233,25.383,24.152,0.62,24.752,23.866,0.187,24.04,69.312,46.367,1.31776,1.26586,1.30333,1.09859,59.871,61.942,24.225,0.578,24.789,24.242,0.157,24.393,23.844,0.588,24.422,23.742,0.196,23.905,53.969,44.237
"2025-05-19 20:30:00",4,13.06,26.71,0.60392,1.34136,0.60468,1.24511,68.212,55.278,24.622,0.465,25.083,24.43,0.254,24.682,23.99,0.587,24.556,23.934,0.169,24.082,67.838,45.157,1.35709,1.24031,1.31141,1.0624,61.06,62.881,24.064,0.553,24.604,24.079,0.149,24.218,23.773,0.57,24.333,23.671,0.197,23.833,52.398,41.661
"2025-05-19 21:00:00",5,13.06,25.99,0.68805,1.31989,0.67293,1.20755,68.947,54.016,24.184,0.392,24.574,24.136,0.2,24.332,23.813,0.562,24.352,23.781,0.168,23.925,61.825,44.146,1.31193,1.17999,1.27611,1.01291,62.131,62.696,23.922,0.541,24.453,23.938,0.151,24.081,23.665,0.559,24.215,23.566,0.203,23.735,53.968,43.985
"2025-05-19 21:30:00",6,13.05,25.4,0.5976,1.17914,0.59611,1.10047,71.684,55.755,23.85,0.412,24.259,23.821,0.227,24.046,23.594,0.535,24.111,23.573,0.178,23.732,65.811,45.635,1.20011,1.08925,1.16773,0.94735,63.129,62.69,23.694,0.524,24.212,23.716,0.163,23.872,23.51,0.539,24.042,23.417,0.209,23.596,55.47,43.982
"2025-05-19 22:00:00",7,13.05,25.11,0.5202,1.01005,0.51504,0.95593,70.495,56.067,23.528,0.395,23.92,23.513,0.236,23.746,23.365,0.502,23.851,23.359,0.193,23.536,64.873,47.946,1.11909,0.99459,1.08661,0.86159,65.329,63.382,23.52,0.498,24.013,23.542,0.168,23.703,23.384,0.516,23.895,23.292,0.218,23.481,55.659,44.674
