logger_id,sdi,start_ts_utc,sensor_type,site,tree_id,spp,robyn_label,collar,health
423,2,2025-05-20 06:00:00,implex_new,monb,5270,liqsty,D4,1,moribund
423,0,2025-05-20 06:00:00,implex_new,monb,153,liqsty,,0,healthy
423,1,2025-05-20 06:00:00,implex_new,monb,5382,liqsty,H1,1,healthy
420,0,2025-05-20 06:00:00,implex_new,monb,778,liqsty,,0,healthy
420,1,2025-05-20 06:00:00,implex_new,monb,5275,liqsty,,0,moribund
422,0,2025-05-20 06:00:00,implex_new,monb,5277,liqsty,H3,1,healthy
422,1,2025-05-20 06:00:00,implex_new,monb,5278,liqsty,,0,moribund
421,1,2025-05-20 06:00:00,implex_new,monb,5279,liqsty,H5,1,healthy
421,0,2025-05-20 06:00:00,implex_new,monb,5276,liqsty,,0,healthy
424,1,2025-05-20 06:00:00,implex_new,monb,5280,liqsty,,0,moribund
424,2,2025-05-20 06:00:00,implex_new,monb,5281,liqsty,M4,1,moribund
424,0,2025-05-20 06:00:00,implex_new,monb,5282,liqsty,M3,1,moribund
