"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-13 16:30:00",0,12.63,502,1,1.441,0.76,11.25,0.067,0.995,0.026,0.897,63.06,53.65
"2024-05-13 17:00:00",1,12.62,502,1,1.583,1.05,12.12,0.093,1.198,0.067,1.13,65.78,50.03
"2024-05-13 17:30:00",2,12.62,502,1,1.051,1.06,7.65,0.094,1.105,0.058,1.022,65.73,51.91
"2024-05-13 18:00:00",3,12.61,502,1,1.536,0.94,11.85,0.083,1.049,0.042,0.939,64.09,53.45
"2024-05-13 18:30:00",4,12.61,502,1,1.183,0.43,9.44,0.038,0.836,0.005,0.73,65.84,57.01
"2024-05-13 19:00:00",5,12.61,502,1,0.707,-0.18,6.12,-0.017,0.542,-0.044,0.438,65.18,60.5
"2024-05-13 19:30:00",6,12.6,502,1,0.418,-0.53,4.08,-0.048,0.361,-0.073,0.277,64.04,62.43
"2024-05-13 20:00:00",7,12.6,502,1,0.075,-0.94,1.65,-0.084,0.146,-0.111,0.06,62.4,62.98
"2024-05-13 20:30:00",8,12.59,502,1,-0.144,-1.19,0.08,-0.106,0.007,-0.13,-0.071,62.95,62.43
"2024-05-13 21:00:00",9,12.59,502,1,-0.249,-1.3,-0.68,-0.116,-0.061,-0.135,-0.135,62.79,63.1
"2024-05-13 21:30:00",10,12.58,502,1,-0.302,-1.36,-1.06,-0.121,-0.095,-0.142,-0.165,62.61,63.34
"2024-05-13 22:00:00",11,12.57,502,1,-0.328,-1.41,-1.22,-0.126,-0.109,-0.147,-0.184,61.88,63.85
"2024-05-13 22:30:00",12,12.57,502,1,-0.349,-1.44,-1.37,-0.129,-0.122,-0.147,-0.194,63.27,66.23
"2024-05-13 23:00:00",13,12.56,502,1,-0.377,-1.44,-1.6,-0.128,-0.143,-0.147,-0.214,63.52,64.51
"2024-05-13 23:30:00",14,12.55,502,1,-0.382,-1.44,-1.64,-0.128,-0.146,-0.147,-0.214,63.38,63.69
"2024-05-14 00:00:00",15,12.55,502,1,-0.386,-1.44,-1.68,-0.128,-0.149,-0.149,-0.217,62.41,62.05
"2024-05-14 00:30:00",16,12.54,502,1,-0.407,-1.5,-1.79,-0.133,-0.159,-0.15,-0.227,62.74,64.71
"2024-05-14 01:00:00",17,12.54,502,1,-0.395,-1.48,-1.71,-0.132,-0.152,-0.151,-0.22,62.77,64.9
"2024-05-14 01:30:00",18,12.53,502,1,-0.411,-1.46,-1.86,-0.13,-0.166,-0.147,-0.23,62.55,64.53
