"TOA5","CR200Series_601","CR200X","No_SN","CR200X.Std.02","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-06-18 11:30:00",2936,13.107,601,0,1.77,34.23,10.7,1.03023,0.94735,1.10953,0.76383,38.321,35.095
"2024-06-18 12:00:00",2937,13.09608,601,0,1.811,35.07,10.89,1.07743,0.96347,1.14549,0.7719,37.922,35.516
"2024-06-18 12:30:00",2938,13.09441,601,0,1.912,37.35,11.06,1.06735,0.97867,1.16029,0.79475,36.857,34.551
"2024-06-18 13:00:00",2939,13.10028,601,0,1.882,36.59,11.14,1.11741,0.98567,1.17263,0.78819,37.214,35.063
"2024-06-18 13:30:00",2940,13.10112,601,0,1.93,37.68,11.22,1.11581,0.99293,1.18679,0.79765,36.699,33.985
"2024-06-18 14:00:00",2941,13.10112,601,0,1.98,38.76,11.35,1.09001,1.00415,1.17743,0.80819,36.222,34.072
"2024-06-18 14:30:00",2942,13.10112,601,0,1.971,38.59,11.31,1.11071,1.00131,1.18287,0.80819,36.301,33.895
"2024-06-18 15:00:00",2943,13.09441,601,0,1.889,36.65,11.26,1.10893,0.99622,1.17169,0.78995,37.175,34.458
"2024-06-18 15:30:00",2944,13.09105,601,0,1.859,36.04,11.13,1.10201,0.98515,1.15105,0.78071,37.468,35.165
"2024-06-18 16:00:00",2945,13.08769,601,0,1.815,35.02,11.1,1.09859,0.98245,1.13744,0.76723,37.937,35.376
"2024-06-18 16:30:00",2946,13.09441,601,0,1.716,32.8,10.91,1.09205,0.96549,1.10855,0.73951,39.027,36.055
"2024-06-18 17:00:00",2947,13.09608,601,0,1.66,31.7,10.59,1.06987,0.93722,1.07995,0.71288,39.574,36.193
"2024-06-18 17:30:00",2948,13.09441,601,0,1.488,27.9,10.19,1.02801,0.90223,1.01511,0.66858,41.529,36.511
"2024-06-18 18:00:00",2949,13.09441,601,0,0.772,11.23,9.6,0.99402,0.84993,0.96393,0.62271,42.865,37.691
"2024-06-18 18:30:00",2950,13.09189,601,0,0.721,10.5,8.95,0.92891,0.79255,0.88229,0.56567,44.538,39.11
"2024-06-18 19:00:00",2951,13.08853,601,0,0.656,9.59,8.11,0.84889,0.71766,0.79217,0.50248,46.908,38.456
"2024-06-18 19:30:00",2952,13.08685,601,0,0.579,8.46,7.14,0.74884,0.63192,0.68566,0.43066,49.209,39.427
"2024-06-18 20:00:00",2953,13.08014,601,0,0.484,7.06,6,0.62496,0.53062,0.56968,0.35498,49.47,39.533
"2024-06-18 20:30:00",2954,13.07846,601,0,0.387,5.57,4.88,0.49282,0.432,0.44906,0.28816,50.562,38.417
"2024-06-18 21:00:00",2955,13.08349,601,0,0.316,4.51,4.06,0.3988,0.35956,0.36152,0.23584,50.877,38.475
"2024-06-18 21:30:00",2956,13.07762,601,0,0.27,3.78,3.55,0.33491,0.31414,0.29944,0.20837,50.433,38.027
"2024-06-18 22:00:00",2957,13.07426,601,0,0.238,3.26,3.23,0.28832,0.2857,0.26162,0.18233,51.242,37.864
"2024-06-18 22:30:00",2958,13.06838,601,0,0.212,2.9,2.87,0.25654,0.25414,0.2318,0.16824,51.02,37.798
"2024-06-18 23:00:00",2959,13.07342,601,0,0.196,2.67,2.68,0.23597,0.23716,0.21301,0.15276,50.659,37.44
"2024-06-18 23:30:00",2960,13.07342,601,0,0.181,2.41,2.55,0.21339,0.22566,0.19373,0.14553,51.209,37.996
"2024-06-19 00:00:00",2961,13.06754,601,0,0.175,2.31,2.48,0.20412,0.2196,0.18547,0.1424,51.025,37.958
"2024-06-19 00:30:00",2962,13.07006,601,0,0.167,2.22,2.36,0.1967,0.20906,0.17992,0.13712,51.246,37.2
"2024-06-19 01:00:00",2963,13.06167,601,0,0.162,2.14,2.31,0.1895,0.20452,0.17162,0.13378,50.428,37.203
