"TOA5","CR300Series_310","CR300","5804","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-03 12:30:00",2106,13.03,310,1,0.06,2.42,-0.04,0.129,-0.003,0.128,-0.034,57.3,40.5
"2024-08-03 13:00:00",2107,12.99,310,1,0.07,3.05,-0.36,0.162,-0.021,0.151,-0.046,52.11,39.02
"2024-08-03 13:30:00",2108,13,310,1,0.074,3.15,-0.24,0.167,-0.014,0.16,-0.04,53.04,38.19
"2024-08-03 14:00:00",2109,13,310,1,0.081,3.4,-0.21,0.18,-0.012,0.168,-0.039,53.44,38.04
"2024-08-03 14:30:00",2110,13,310,1,0.075,3.12,-0.16,0.165,-0.01,0.16,-0.038,52.97,38.54
"2024-08-03 15:00:00",2111,13,310,1,0.076,3.15,-0.14,0.167,-0.009,0.158,-0.039,51.69,39.59
"2024-08-03 15:30:00",2112,13,310,1,0.073,3.1,-0.22,0.165,-0.013,0.156,-0.038,53.18,38.34
"2024-08-03 16:00:00",2113,12.99,310,1,0.069,2.9,-0.19,0.154,-0.012,0.147,-0.039,52.5,39.16
"2024-08-03 16:30:00",2114,12.99,310,1,0.072,3,-0.19,0.16,-0.012,0.156,-0.039,52.77,38.6
"2024-08-03 17:00:00",2115,12.98,310,1,0.073,3.05,-0.21,0.162,-0.012,0.155,-0.039,53.03,38.6
"2024-08-03 17:30:00",2116,12.98,310,1,0.072,3.02,-0.21,0.16,-0.012,0.153,-0.04,52.68,38.1
"2024-08-03 18:00:00",2117,12.97,310,1,0.077,3.22,-0.17,0.171,-0.011,0.153,-0.039,52.01,38.67
"2024-08-03 18:30:00",2118,12.97,310,1,0.065,2.73,-0.17,0.145,-0.011,0.135,-0.038,51.16,38.37
"2024-08-03 19:00:00",2119,12.96,310,1,0.067,2.9,-0.31,0.154,-0.018,0.119,-0.041,50.3,39.27
"2024-08-03 19:30:00",2120,12.95,310,1,0.039,1.85,-0.41,0.098,-0.023,0.093,-0.044,51.67,38.16
"2024-08-03 20:00:00",2121,12.94,310,1,0.033,1.6,-0.39,0.085,-0.023,0.077,-0.042,51.11,38
"2024-08-03 20:30:00",2122,12.94,310,1,0.018,1.03,-0.39,0.055,-0.022,0.057,-0.042,52.88,39.36
"2024-08-03 21:00:00",2123,12.93,310,1,0.016,0.93,-0.39,0.05,-0.022,0.046,-0.04,52.78,38.74
"2024-08-03 21:30:00",2124,12.92,310,1,0.013,0.8,-0.39,0.042,-0.022,0.042,-0.041,53.86,39.25
"2024-08-03 22:00:00",2125,12.92,310,1,0.008,0.65,-0.46,0.035,-0.026,0.034,-0.042,52.67,38.88
