"TOA5","CR200Series_506","CR200X","No_SN","CR200X.Std.00","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-04 18:00:00",3985,13.22368,506,1,0.523,6.38,8.16,0.56482,0.72235,0.48575,0.35262,67.219,59.876
"2024-08-04 18:30:00",3986,13.21613,506,1,0.427,5.21,6.65,0.46132,0.58874,0.38934,0.2619,69.118,61.102
"2024-08-04 19:00:00",3987,13.19766,506,1,0.255,3.1,3.98,0.2743,0.35262,0.2267,0.1042,70.301,59.935
"2024-08-04 19:30:00",3988,13.20941,506,1,0.124,1.44,2.04,0.12739,0.18062,-99,-0.01631,-99,58.535
"2024-08-04 20:00:00",3989,13.18842,506,1,0.034,0.27,0.72,0.02425,0.06391,0.00262,-0.10393,69.534,57.185
"2024-08-04 20:30:00",3990,13.19262,506,1,-0.026,-0.54,-0.13,-0.04881,-0.01229,-0.06935,-0.15753,67.793,57.11
"2024-08-04 21:00:00",3991,13.19094,506,1,-0.059,-0.97,-0.61,-0.08683,-0.05525,-0.10399,-0.19147,68.311,55.438
"2024-08-04 21:30:00",3992,13.17919,506,1,-0.081,-1.21,-0.99,-0.10793,-0.08889,-0.12501,-0.21075,66.25,55.154
"2024-08-04 22:00:00",3993,13.18255,506,1,-0.094,-1.42,-1.13,-0.12635,-0.10087,-0.14559,-0.22189,66.704,54.257
"2024-08-04 22:30:00",3994,13.17919,506,1,-0.102,-1.54,-1.23,-0.13751,-0.10991,-0.15171,-0.22755,66.327,54.964
