"TOA5","CR300Series_510","CR300","1740","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-16 18:00:00",2238,12.95,510,0,0.168,0.57,0.93,0.051,0.082,0.043,0.006,63.03,44.81
"2024-08-16 18:30:00",2239,12.94,510,0,0.13,0.43,0.73,0.038,0.065,0.033,-0.002,62.33,44.78
"2024-08-16 19:00:00",2240,12.94,510,0,0.1,0.45,0.43,0.04,0.038,0.037,-0.016,62.14,43.92
"2024-08-16 19:30:00",2241,12.94,510,0,0.061,0.33,0.2,0.029,0.018,0.026,-0.019,61.6,44.47
"2024-08-16 20:00:00",2242,12.94,510,0,0.064,0.45,0.1,0.04,0.009,0.037,-0.025,62.29,43.08
"2024-08-16 20:30:00",2243,12.94,510,0,0.053,0.43,0.02,0.038,0.002,0.035,-0.027,62.14,43.76
"2024-08-16 21:00:00",2244,12.94,510,0,0.043,0.4,-0.04,0.036,-0.005,0.035,-0.033,61.8,43.98
"2024-08-16 21:30:00",2245,12.94,510,0,0.04,0.4,-0.07,0.036,-0.007,0.033,-0.033,61.14,43.58
"2024-08-16 22:00:00",2246,12.93,510,0,0.04,0.4,-0.07,0.036,-0.007,0.035,-0.035,61.65,43.42
"2024-08-16 22:30:00",2247,12.93,510,0,0.035,0.38,-0.09,0.033,-0.009,0.031,-0.035,61.99,43.18
"2024-08-16 23:00:00",2248,12.93,510,0,0.041,0.43,-0.09,0.038,-0.009,0.033,-0.035,61.64,43.67
"2024-08-16 23:30:00",2249,12.93,510,0,0.034,0.4,-0.12,0.036,-0.011,0.033,-0.037,61.4,42.75
"2024-08-17 00:00:00",2250,12.93,510,0,0.038,0.43,-0.12,0.038,-0.011,0.033,-0.035,60.88,42.75
"2024-08-17 00:30:00",2251,12.93,510,0,0.035,0.38,-0.09,0.033,-0.009,0.033,-0.033,60.87,43.73
"2024-08-17 01:00:00",2252,12.92,510,0,0.044,0.45,-0.09,0.04,-0.009,0.037,-0.035,61.53,42.58
"2024-08-17 01:30:00",2253,12.92,510,0,0.034,0.4,-0.12,0.036,-0.011,0.033,-0.035,61.02,43.46
"2024-08-17 02:00:00",2254,12.92,510,0,0.038,0.43,-0.12,0.038,-0.011,0.035,-0.037,61.69,43.72
"2024-08-17 02:30:00",2255,12.92,510,0,0.034,0.4,-0.12,0.035,-0.011,0.033,-0.037,61.19,42.96
"2024-08-17 03:00:00",2256,12.92,510,0,0.032,0.4,-0.14,0.035,-0.014,0.03,-0.039,62.17,43.63
"2024-08-17 03:30:00",2257,12.92,510,0,0.038,0.45,-0.14,0.04,-0.014,0.037,-0.037,61.21,43.25
