"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-29 18:30:00",6405,13.14142,304,1,-0.022,-0.14,-0.54,-0.01371,-0.04881,-0.03041,-0.15169,52.458,38.719
"2024-08-29 19:00:00",6406,13.07426,304,1,-0.035,-0.4,-0.62,-0.03665,-0.05617,-0.05019,-0.15749,53.13,38.307
"2024-08-29 19:30:00",6407,13.07006,304,1,-0.044,-0.56,-0.7,-0.05001,-0.06269,-0.05869,-0.16269,53.494,37.95
"2024-08-29 20:00:00",6408,13.06838,304,1,-0.046,-0.58,-0.72,-0.05215,-0.06469,-0.06273,-0.15885,53.125,38.716
"2024-08-29 20:30:00",6409,13.06419,304,1,-0.046,-0.6,-0.69,-0.05393,-0.06227,-0.06455,-0.15857,52.189,38.296
"2024-08-29 21:00:00",6410,13.05999,304,1,-0.051,-0.68,-0.74,-0.06079,-0.06673,-0.07333,-0.15885,52.665,38.259
"2024-08-29 21:30:00",6411,13.05411,304,1,-0.051,-0.7,-0.72,-0.06293,-0.06431,-0.07319,-0.15857,54.098,38.297
"2024-08-29 22:00:00",6412,13.05327,304,1,-0.054,-0.77,-0.74,-0.06931,-0.06647,-0.07731,-0.16049,53.804,39.24
"2024-08-29 22:30:00",6413,13.05327,304,1,-0.052,-0.72,-0.74,-0.06485,-0.06625,-0.07297,-0.15857,53.611,38.216
"2024-08-29 23:00:00",6414,13.04572,304,1,-0.054,-0.75,-0.76,-0.06719,-0.06839,-0.07749,-0.16021,55.415,38.628
