"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-29 19:00:00",6406,12.99199,305,0,0.075,1.17,2.45,0.06218,0.13034,0.0489,0.08045,52.492,47.988
"2024-08-29 19:30:00",6407,12.96933,305,0,0.057,0.77,2,0.04083,0.10597,0.03142,0.06416,53.389,48.883
"2024-08-29 20:00:00",6408,12.97772,305,0,0.043,0.43,1.72,0.02292,0.09108,0.01688,0.05344,52.926,46.193
"2024-08-29 20:30:00",6409,12.97185,305,0,0.035,0.28,1.48,0.01524,0.07911,0.00966,0.04538,52.618,47.8
"2024-08-29 21:00:00",6410,12.97185,305,0,0.028,0.18,1.27,0.01014,0.06712,0.00482,0.0373,51.316,47.74
"2024-08-29 21:30:00",6411,12.97017,305,0,0.025,0.15,1.15,0.00756,0.06128,0.00238,0.0319,52.86,46.697
"2024-08-29 22:00:00",6412,12.96849,305,0,0.02,0,1.05,0,0.05532,-0.00241,0.02656,52.212,48.222
"2024-08-29 22:30:00",6413,12.96681,305,0,0.018,-0.07,1.05,-0.00511,0.05532,-0.00723,0.02124,53.284,48.779
"2024-08-29 23:00:00",6414,12.96513,305,0,0.016,-0.07,0.98,-0.00511,0.05228,-0.00487,0.02656,52.255,47.594
"2024-08-29 23:30:00",6415,12.96513,305,0,0.015,-0.07,0.93,-0.00511,0.04946,-0.00725,0.02124,51.91,47.504
"2024-08-30 00:00:00",6416,12.94834,305,0,0.013,-0.12,0.88,-0.00763,0.04648,-0.00969,0.02124,52.216,47.137
"2024-08-30 00:30:00",6417,12.95842,305,0,0.015,-0.07,0.93,-0.00511,0.04946,-0.00487,0.0213,51.795,47.133
"2024-08-30 01:00:00",6418,12.95002,305,0,0.015,-0.07,0.93,-0.00511,0.04935,-0.00725,0.02124,51.859,48.854
"2024-08-30 01:30:00",6419,12.95842,305,0,0.013,-0.12,0.88,-0.00761,0.04648,-0.00725,0.02124,52.917,48.509
"2024-08-30 02:00:00",6420,12.9601,305,0,0.015,-0.07,0.93,-0.00511,0.04946,-0.00725,0.0213,52.447,47.937
"2024-08-30 02:30:00",6421,12.94918,305,0,0.015,-0.07,0.93,-0.00511,0.04946,-0.00725,0.0213,52.087,47.836
"2024-08-30 03:00:00",6422,12.95842,305,0,0.015,-0.07,0.88,-0.00511,0.04664,-0.00725,0.0213,52.288,47.466
"2024-08-30 03:30:00",6423,12.94583,305,0,0.018,0,0.93,0,0.04946,-0.00487,0.0186,51.767,47.102
"2024-08-30 04:00:00",6424,12.95842,305,0,0.018,0,0.93,0,0.0496,-0.00485,0.0213,51.714,47.463
"2024-08-30 04:30:00",6425,12.9517,305,0,0.024,0.15,1.1,0.00783,0.05881,0,0.02678,53.536,45.398
"2024-08-30 05:00:00",6426,12.95086,305,0,0.025,0.15,1.12,0.00774,0.05918,0.00244,0.02956,52.063,47.658
"2024-08-30 05:30:00",6427,12.94079,305,0,0.025,0.15,1.12,0.00771,0.05896,0.0024,0.02954,51.747,47.24
"2024-08-30 06:00:00",6428,12.94666,305,0,0.024,0.15,1.1,0.00764,0.05881,0.0024,0.02941,51.64,47.65
"2024-08-30 06:30:00",6429,12.93827,305,0,0.02,0.05,1,0.00252,0.05276,-0.00243,0.02672,50.917,47.341
"2024-08-30 07:00:00",6430,12.94079,305,0,0.022,0.1,1.05,0.00506,0.05547,0,0.02667,52.687,47.608
"2024-08-30 07:30:00",6431,12.93072,305,0,0.019,0.05,0.93,0.0025,0.04946,-0.00487,0.02124,51.132,48.126
"2024-08-30 08:00:00",6432,12.93072,305,0,0.019,-0.02,1.03,-0.00253,0.05514,-0.00487,0.02923,51.805,47.557
"2024-08-30 08:30:00",6433,12.94079,305,0,0.024,0.1,1.15,0.00501,0.06096,0.00238,0.02923,52.799,48.55
