"TOA5","CR300Series_403","CR300","27029","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-29 15:30:00",5759,13.11,403,1,0.229,4.58,6.05,0.379,0.501,0.424,0.353,88,77.87
"2024-08-29 16:00:00",5760,13.11,403,1,0.223,4.22,6.22,0.349,0.513,0.4,0.369,89.2,77.37
"2024-08-29 16:30:00",5761,13.1,403,1,0.214,4.22,5.76,0.348,0.475,0.395,0.333,88.5,77.66
"2024-08-29 17:00:00",5762,13.09,403,1,0.183,3.59,4.96,0.296,0.41,0.332,0.283,85,80.1
"2024-08-29 17:30:00",5763,13.08,403,1,0.118,2.2,3.35,0.182,0.277,0.234,0.177,92.3,80.7
"2024-08-29 18:00:00",5764,13.07,403,1,0.084,1.46,2.52,0.12,0.209,0.179,0.124,91.1,78.75
"2024-08-29 18:30:00",5765,13.06,403,1,0.033,0.42,1.2,0.035,0.1,0.075,0.023,88.3,78.68
"2024-08-29 19:00:00",5766,13.05,403,1,-0.02,-0.7,-0.1,-0.061,-0.01,-0.018,-0.07,86.7,75.06
"2024-08-29 19:30:00",5767,13.04,403,1,-0.057,-1.43,-1.11,-0.12,-0.094,-0.07,-0.138,91.7,72.39
"2024-08-29 20:00:00",5768,13.03,403,1,-0.079,-1.91,-1.64,-0.16,-0.138,-0.131,-0.178,86.8,70.77
"2024-08-29 20:30:00",5769,13.02,403,1,-0.089,-2.08,-1.94,-0.174,-0.162,-0.132,-0.198,88.4,68.66
"2024-08-29 21:00:00",5770,13.01,403,1,-0.095,-2.19,-2.11,-0.183,-0.176,-0.145,-0.213,91,68.97
"2024-08-29 21:30:00",5771,13,403,1,-0.104,-2.44,-2.26,-0.204,-0.189,-0.174,-0.218,84.7,68.85
"2024-08-29 22:00:00",5772,13,403,1,-0.102,-2.37,-2.27,-0.198,-0.189,-0.16,-0.225,90.5,68.48
"2024-08-29 22:30:00",5773,12.99,403,1,-0.104,-2.41,-2.29,-0.201,-0.191,-0.16,-0.224,91.4,70.64
"2024-08-29 23:00:00",5774,12.99,403,1,-0.107,-2.48,-2.36,-0.207,-0.197,-0.168,-0.226,92.2,68.42
"2024-08-29 23:30:00",5775,12.98,403,1,-0.108,-2.5,-2.39,-0.208,-0.199,-0.172,-0.228,90.5,69.47
"2024-08-30 00:00:00",5776,12.98,403,1,-0.104,-2.4,-2.34,-0.2,-0.196,-0.165,-0.222,86.8,67.73
"2024-08-30 00:30:00",5777,12.97,403,1,-0.107,-2.48,-2.36,-0.208,-0.197,-0.176,-0.226,88.3,67.3
