"TOA5","CR300Series_503","CR300","27025","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-16 14:00:00",12119,11.71,503,0,0.292,2.83,5.51,0.25,0.488,0.208,0.251,54.97,41.57
"2024-09-16 14:30:00",12120,12.87,503,0,0.235,2.21,4.54,0.196,0.402,0.171,0.212,54.24,41.82
"2024-09-16 15:00:00",12121,12.87,503,0,0.236,2.2,4.57,0.195,0.404,0.163,0.2,56.48,43.48
"2024-09-16 15:30:00",12122,12.87,503,0,0.28,2.65,5.37,0.235,0.475,0.198,0.251,55.04,40.38
"2024-09-16 16:00:00",12123,12.87,503,0,0.266,2.49,5.15,0.221,0.456,0.191,0.233,52.71,42.46
"2024-09-16 16:30:00",12124,12.88,503,0,0.248,2.33,4.8,0.206,0.424,0.168,0.207,54.21,42.2
"2024-09-16 17:00:00",12125,12.87,503,0,0.22,2.02,4.32,0.179,0.383,0.148,0.185,55.18,41.77
"2024-09-16 17:30:00",12126,12.88,503,0,0.185,1.64,3.71,0.145,0.329,0.117,0.155,54.83,41
"2024-09-16 18:00:00",12127,12.87,503,0,0.142,1.16,2.99,0.103,0.265,0.082,0.124,53.47,38.24
"2024-09-16 18:30:00",12128,12.87,503,0,0.096,0.68,2.16,0.06,0.191,0.042,0.072,54.14,39.88
"2024-09-16 19:00:00",12129,12.88,503,0,0.056,0.24,1.46,0.021,0.129,0.01,0.027,52.41,37.75
"2024-09-16 19:30:00",12130,12.88,503,0,0.001,-0.35,0.49,-0.032,0.043,-0.038,-0.02,53.52,37.6
"2024-09-16 20:00:00",12131,12.88,503,0,-0.006,-0.44,0.35,-0.04,0.031,-0.045,-0.03,53.76,38.66
"2024-09-16 20:30:00",12132,12.87,503,0,-0.019,-0.59,0.14,-0.053,0.012,-0.05,-0.035,49.98,35.31
"2024-09-16 21:00:00",12133,12.87,503,0,-0.025,-0.68,0.07,-0.061,0.006,-0.063,-0.058,52.9,37.66
"2024-09-16 21:30:00",12134,12.87,503,0,-0.024,-0.65,0.07,-0.058,0.006,-0.063,-0.055,53.83,37.08
"2024-09-16 22:00:00",12135,12.87,503,0,-0.024,-0.65,0.07,-0.058,0.006,-0.063,-0.048,52.93,38.27
"2024-09-16 22:30:00",12136,12.88,503,0,-0.023,-0.65,0.1,-0.058,0.009,-0.06,-0.048,52.03,38.21
"2024-09-16 23:00:00",12137,12.87,503,0,-0.028,-0.7,0,-0.063,0,-0.065,-0.053,52.77,37.69
"2024-09-16 23:30:00",12138,12.87,503,0,-0.029,-0.71,0,-0.063,0,-0.063,-0.04,52.74,37.23
