"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-25 16:00:00",7695,13.06838,302,0,0.121,3.18,2.15,0.1691,0.1142,0.17622,0.1343,54.857,41.878
"2024-09-25 16:30:00",7696,13.02222,302,0,0.123,3.25,2.2,0.17268,0.11647,0.18792,0.13778,52.404,41.907
"2024-09-25 17:00:00",7697,13.03397,302,0,0.122,3.12,2.33,0.16512,0.12386,0.17708,0.14211,52.296,41.804
"2024-09-25 17:30:00",7698,13.039,302,0,0.128,3.35,2.32,0.17794,0.12306,0.18529,0.14151,53.691,42.369
"2024-09-25 18:00:00",7699,13.02893,302,0,0.124,3.23,2.28,0.17184,0.12149,0.18233,0.1418,52.064,42.253
"2024-09-25 18:30:00",7700,13.03984,302,0,0.118,3.05,2.2,0.16158,0.11668,0.17088,0.13965,53.843,41.842
"2024-09-25 19:00:00",7701,13.02389,302,0,0.107,2.77,1.98,0.14676,0.10508,0.15693,0.12948,53.684,41.117
"2024-09-25 19:30:00",7702,13.03313,302,0,0.096,2.47,1.8,0.13058,0.09548,0.14487,0.12294,52.866,41.8
"2024-09-25 20:00:00",7703,13.03061,302,0,0.089,2.32,1.63,0.12334,0.08642,0.13785,0.11682,53.283,42.216
"2024-09-25 20:30:00",7704,13.03229,302,0,0.082,2.1,1.55,0.11137,0.08196,0.1281,0.11286,53.57,42.251
"2024-09-25 21:00:00",7705,13.03397,302,0,0.078,2.02,1.47,0.10695,0.07754,0.12217,0.1089,53.132,42.222
"2024-09-25 21:30:00",7706,13.00375,302,0,0.074,1.88,1.42,0.0998,0.07526,0.11697,0.10682,53.913,40.926
"2024-09-25 22:00:00",7707,13.01802,302,0,0.074,1.93,1.33,0.103,0.07076,0.11852,0.10492,53.11,42.049
"2024-09-25 22:30:00",7708,13.00794,302,0,0.071,1.78,1.38,0.09499,0.07311,0.11394,0.10703,53.253,41.092
"2024-09-25 23:00:00",7709,13.02137,302,0,0.068,1.75,1.3,0.09322,0.06866,0.11048,0.10492,52.723,41.55
"2024-09-25 23:30:00",7710,13.02137,302,0,0.068,1.75,1.28,0.09272,0.06848,0.10863,0.10474,53.098,41.198
"2024-09-26 00:00:00",7711,13.02137,302,0,0.068,1.75,1.28,0.09302,0.06848,0.11048,0.10283,52.862,41.536
"2024-09-26 00:30:00",7712,13.01046,302,0,0.066,1.68,1.25,0.08948,0.0662,0.10553,0.10095,52.641,41.152
"2024-09-26 01:00:00",7713,13.0197,302,0,0.066,1.68,1.25,0.08948,0.0662,0.10707,0.10283,53.726,41.979
"2024-09-26 01:30:00",7714,12.99871,302,0,0.066,1.73,1.22,0.09172,0.06439,0.10758,0.10324,52.151,41.239
"2024-09-26 02:00:00",7715,13.01046,302,0,0.065,1.67,1.22,0.08878,0.06448,0.10795,0.10136,52.731,40.737
"2024-09-26 02:30:00",7716,13.01214,302,0,0.067,1.7,1.27,0.09024,0.06683,0.1062,0.10344,52.434,40.699
"2024-09-26 03:00:00",7717,13.00878,302,0,0.066,1.73,1.22,0.09238,0.06466,0.11137,0.10344,52.875,41.134
"2024-09-26 03:30:00",7718,13.00207,302,0,0.066,1.73,1.22,0.09202,0.06448,0.10945,0.10136,53.623,41.059
"2024-09-26 04:00:00",7719,13.00375,302,0,0.066,1.73,1.22,0.0919,0.06448,0.10945,0.10136,51.912,41.005
"2024-09-26 04:30:00",7720,12.98948,302,0,0.066,1.72,1.22,0.09154,0.06439,0.10758,0.10136,52.168,42.251
"2024-09-26 05:00:00",7721,12.99787,302,0,0.066,1.72,1.22,0.09154,0.06448,0.10758,0.10136,53.016,41.848
"2024-09-26 05:30:00",7722,12.98528,302,0,0.066,1.73,1.22,0.09223,0.06448,0.1098,0.10136,52.554,41.229
"2024-09-26 06:00:00",7723,12.99871,302,0,0.066,1.73,1.22,0.09202,0.06466,0.11137,0.09966,52.999,41.107
