"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-25 15:30:00",7695,13.01886,304,0,0.261,1.6,11.77,0.13216,0.97167,0.17711,0.97097,94.043,76.342
"2024-09-25 16:00:00",7696,12.8963,304,0,0.285,2.02,12.44,0.16679,1.02763,0.22662,1.0195,98.571,75.359
"2024-09-25 16:30:00",7697,12.92568,304,0,0.334,2.54,14.39,0.20982,1.18855,0.25344,1.16545,90.89,70.931
"2024-09-25 17:00:00",7698,12.95926,304,0,0.157,2.91,4.45,0.24056,1.27913,0.28369,1.24603,89.241,69.786
"2024-09-25 17:30:00",7699,12.96513,304,0,0.346,2.82,14.65,0.23313,1.21097,0.28006,1.18207,92.234,72.029
"2024-09-25 18:00:00",7700,12.97101,304,0,0.176,1.96,6.77,0.16176,1.04021,0.1972,1.02219,88.41,73.711
"2024-09-25 18:30:00",7701,12.9559,304,0,0.191,0.92,8.92,0.07694,0.73681,0.111,0.73913,90.356,78.908
"2024-09-25 19:00:00",7702,12.96346,304,0,0.113,0.13,5.83,0.01044,0.48148,0.0371,0.49221,87.342,80.148
"2024-09-25 19:30:00",7703,12.97101,304,0,0.06,-0.55,3.96,-0.04797,0.32698,-0.02971,0.33576,91.36,77.411
"2024-09-25 20:00:00",7704,12.97185,304,0,0.033,-0.8,2.86,-0.06879,0.23564,-0.05641,0.2453,87.481,78.538
"2024-09-25 20:30:00",7705,12.97437,304,0,0.014,-1.04,2.17,-0.08851,0.17943,-0.07855,0.18876,86.413,80.22
"2024-09-25 21:00:00",7706,12.96261,304,0,0.0009999999,-1.28,1.79,-0.10717,0.14856,-0.09339,0.15472,88.865,77.666
"2024-09-25 21:30:00",7707,12.96933,304,0,-0.005,-1.28,1.4,-0.10717,0.1159,-0.09973,0.13034,88.801,79.104
"2024-09-25 22:00:00",7708,12.96261,304,0,-0.011,-1.36,1.2,-0.11411,0.0999,-0.10999,0.11078,88.982,79.287
"2024-09-25 22:30:00",7709,12.97185,304,0,-0.011,-1.28,1.11,-0.10793,0.09186,-0.10435,0.10283,87.356,77.911
"2024-09-25 23:00:00",7710,12.97185,304,0,-0.019,-1.5,0.97,-0.12563,0.08002,-0.12453,0.08734,84.908,76.966
"2024-09-25 23:30:00",7711,12.97017,304,0,-0.02,-1.46,0.87,-0.12307,0.07172,-0.12825,0.08286,87.475,80.281
"2024-09-26 00:00:00",7712,12.93491,304,0,-0.024,-1.54,0.77,-0.12985,0.06372,-0.12825,0.07499,87.294,78.85
"2024-09-26 00:30:00",7713,12.9601,304,0,-0.027,-1.59,0.67,-0.13355,0.05576,-0.12825,0.06298,88.049,80.355
"2024-09-26 01:00:00",7714,12.93407,304,0,-0.02,-1.36,0.73,-0.11495,0.05986,-0.12099,0.06734,85.789,78.598
"2024-09-26 01:30:00",7715,12.95842,304,0,-0.027,-1.57,0.63,-0.13215,0.0521,-0.13397,0.05942,86.985,77.788
"2024-09-26 02:00:00",7716,12.97269,304,0,-0.026,-1.53,0.63,-0.12847,0.0521,-0.12055,0.05942,87.047,79.102
"2024-09-26 02:30:00",7717,12.96177,304,0,-0.026,-1.5,0.63,-0.12563,0.05228,-0.12099,0.05576,85.548,78.353
"2024-09-26 03:00:00",7718,12.95758,304,0,-0.021,-1.33,0.63,-0.11205,0.05228,-0.11141,0.05966,85.225,77.533
"2024-09-26 03:30:00",7719,12.96429,304,0,-0.021,-1.28,0.59,-0.10759,0.04836,-0.10361,0.05986,87.85,79.656
"2024-09-26 04:00:00",7720,12.96849,304,0,-0.022,-1.33,0.59,-0.11205,0.04836,-0.10785,0.05184,85.797,79.355
"2024-09-26 04:30:00",7721,12.95758,304,0,-0.026,-1.45,0.53,-0.12103,0.04425,-0.12015,0.05166,87.978,81.536
