"TOA5","CR300Series_401","CR300","27022","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-10-13 13:30:00",7193,13.2,401,0,1.294,1.98,4.17,0.176,0.369,0.113,0.085,55.27,45.36
"2024-10-13 14:00:00",7194,13.01,401,0,1.252,1.78,4.18,0.157,0.37,0.117,0.1,59.62,48.05
"2024-10-13 14:30:00",7195,12.99,401,0,1.182,1.57,4.06,0.139,0.36,0.092,0.088,58.09,46.78
"2024-10-13 15:00:00",7196,12.99,401,0,1.232,1.8,4.06,0.159,0.359,0.112,0.086,58.53,46.8
"2024-10-13 15:30:00",7197,12.99,401,0,1.138,1.74,3.67,0.154,0.325,0.105,0.085,59.04,49.13
"2024-10-13 16:00:00",7198,12.99,401,0,1.156,1.85,3.64,0.164,0.322,0.124,0.066,63.88,48.99
"2024-10-13 16:30:00",7199,12.99,401,0,0.943,1.3,3.19,0.115,0.282,0.07,0.04,57.79,46.06
"2024-10-13 17:00:00",7200,12.99,401,0,0.628,0.71,2.29,0.063,0.203,0.023,-0.011,58.12,47.07
"2024-10-13 17:30:00",7201,12.99,401,0,0.316,0.15,1.37,0.014,0.122,-0.021,-0.066,55,45.51
"2024-10-13 18:00:00",7202,12.99,401,0,-0.017,-0.38,0.31,-0.034,0.028,-0.063,-0.128,57.46,44.91
"2024-10-13 18:30:00",7203,12.98,401,0,-0.226,-0.73,-0.33,-0.065,-0.03,-0.087,-0.163,56.14,46.23
"2024-10-13 19:00:00",7204,12.98,401,0,-0.302,-0.9,-0.52,-0.081,-0.047,-0.102,-0.177,56.46,44.06
"2024-10-13 19:30:00",7205,12.98,401,0,-0.399,-1.05,-0.83,-0.094,-0.074,-0.117,-0.193,56.15,42.19
"2024-10-13 20:00:00",7206,12.97,401,0,-0.376,-1.01,-0.76,-0.091,-0.068,-0.112,-0.189,56.47,44.32
"2024-10-13 20:30:00",7207,12.97,401,0,-0.418,-1.08,-0.89,-0.096,-0.079,-0.115,-0.193,57.87,43.23
"2024-10-13 21:00:00",7208,12.97,401,0,-0.42,-1.07,-0.91,-0.096,-0.082,-0.119,-0.195,56,43.43
"2024-10-13 21:30:00",7209,12.97,401,0,-0.435,-1.13,-0.92,-0.101,-0.082,-0.12,-0.198,55.8,42.56
"2024-10-13 22:00:00",7210,12.96,401,0,-0.422,-1.07,-0.92,-0.096,-0.082,-0.112,-0.198,56.74,42.26
"2024-10-13 22:30:00",7211,12.96,401,0,-0.435,-1.13,-0.92,-0.101,-0.082,-0.12,-0.2,56.84,43.03
