"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-10-13 18:00:00",6568,12.96,502,1,-0.345,-1.25,-1.54,-0.111,-0.137,-0.127,-0.196,63.9,63.64
"2024-10-13 18:30:00",6569,12.99,502,1,-0.378,-1.29,-1.77,-0.115,-0.157,-0.13,-0.21,63.74,63.48
"2024-10-13 19:00:00",6570,13,502,1,-0.375,-1.25,-1.79,-0.111,-0.16,-0.127,-0.218,65.19,62.33
"2024-10-13 19:30:00",6571,13,502,1,-0.406,-1.3,-2,-0.116,-0.178,-0.13,-0.23,63.53,62.18
"2024-10-13 20:00:00",6572,13,502,1,-0.401,-1.27,-1.99,-0.113,-0.177,-0.128,-0.218,65.64,63.45
"2024-10-13 20:30:00",6573,13,502,1,-0.401,-1.27,-1.99,-0.113,-0.177,-0.126,-0.229,63.75,62.24
"2024-10-13 21:00:00",6574,13,502,1,-0.424,-1.29,-2.16,-0.115,-0.192,-0.128,-0.234,64.86,66
"2024-10-13 21:30:00",6575,13,502,1,-0.385,-1.3,-1.82,-0.116,-0.162,-0.129,-0.224,64.67,68.57
"2024-10-13 22:00:00",6576,13,502,1,-0.427,-1.24,-2.24,-0.111,-0.2,-0.124,-0.245,65.14,61.44
"2024-10-13 22:30:00",6577,13,502,1,-0.447,-1.3,-2.34,-0.116,-0.208,-0.129,-0.258,64.81,65.7
"2024-10-13 23:00:00",6578,13,502,1,-0.457,-1.32,-2.4,-0.118,-0.214,-0.133,-0.261,65.1,64.16
"2024-10-13 23:30:00",6579,13,502,1,-0.396,-1.25,-1.97,-0.112,-0.175,-0.125,-0.218,64.29,59.04
"2024-10-14 00:00:00",6580,13,502,1,-0.437,-1.28,-2.28,-0.114,-0.203,-0.13,-0.243,63.81,59.81
"2024-10-14 00:30:00",6581,13,502,1,-0.443,-1.3,-2.31,-0.116,-0.206,-0.132,-0.259,63.12,64.84
"2024-10-14 01:00:00",6582,13,502,1,-0.436,-1.3,-2.25,-0.116,-0.2,-0.129,-0.248,64.35,60.09
"2024-10-14 01:30:00",6583,12.99,502,1,-0.439,-1.31,-2.26,-0.117,-0.201,-0.13,-0.249,64.78,65.09
"2024-10-14 02:00:00",6584,12.99,502,1,-0.418,-1.25,-2.15,-0.112,-0.191,-0.127,-0.24,64.42,64.06
"2024-10-14 02:30:00",6585,12.99,502,1,-0.425,-1.26,-2.2,-0.113,-0.195,-0.128,-0.241,65.3,64.51
"2024-10-14 03:00:00",6586,12.99,502,1,-0.451,-1.31,-2.36,-0.117,-0.21,-0.13,-0.25,63.73,63.89
