"TOA5","CR300Series_310","CR300","5804","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-10-13 11:00:00",5510,13.05,310,1,0,0.4,-0.52,0.021,-0.029,0.021,-0.048,54.46,41.91
"2024-10-13 11:30:00",5511,13.03,310,1,0.008,0.63,-0.41,0.034,-0.023,0.03,-0.044,55.83,42.45
"2024-10-13 12:00:00",5512,13.03,310,1,-0.008,-0.06,-0.36,-0.004,-0.02,-0.001,-0.04,58.21,43.76
"2024-10-13 12:30:00",5513,13.04,310,1,-0.007,0.1,-0.56,0.006,-0.031,0.003,-0.05,58.1,43.08
"2024-10-13 13:00:00",5514,13.04,310,1,-0.028,-0.57,-0.77,-0.032,-0.042,-0.011,-0.056,51.24,41.77
"2024-10-13 13:30:00",5515,13.04,310,1,-0.016,-0.11,-0.74,-0.007,-0.041,0.003,-0.055,50.78,41.15
"2024-10-13 14:00:00",5516,13.05,310,1,-0.002,0.33,-0.59,0.018,-0.033,0.017,-0.051,53.91,40.54
"2024-10-13 14:30:00",5517,13.05,310,1,-0.003,0.27,-0.56,0.014,-0.031,0.017,-0.05,52.45,40.74
"2024-10-13 15:00:00",5518,13.05,310,1,-0.005,0.17,-0.54,0.009,-0.03,0.012,-0.048,53.98,42.02
"2024-10-13 15:30:00",5519,13.05,310,1,-0.003,0.23,-0.52,0.012,-0.029,0.013,-0.049,53.27,41.83
"2024-10-13 16:00:00",5520,13.05,310,1,0,0.42,-0.52,0.022,-0.029,0.019,-0.046,54.14,40.92
"2024-10-13 16:30:00",5521,13.04,310,1,0,0.37,-0.52,0.019,-0.029,0.018,-0.048,52.76,41.04
"2024-10-13 17:00:00",5522,13.04,310,1,0,0.33,-0.49,0.018,-0.028,0.015,-0.048,53.07,40.68
"2024-10-13 17:30:00",5523,13.04,310,1,-0.004,0.18,-0.47,0.01,-0.026,0.009,-0.048,52.67,40.54
"2024-10-13 18:00:00",5524,13.03,310,1,-0.009,0.07,-0.59,0.003,-0.033,0.003,-0.048,53.19,40.49
"2024-10-13 18:30:00",5525,13.02,310,1,-0.011,-0.04,-0.54,-0.003,-0.03,-0.003,-0.048,52.74,41.02
"2024-10-13 19:00:00",5526,13.01,310,1,-0.014,-0.17,-0.56,-0.011,-0.031,-0.012,-0.048,52.14,40.67
"2024-10-13 19:30:00",5527,13.01,310,1,-0.016,-0.27,-0.52,-0.016,-0.029,-0.015,-0.048,54.79,41.82
"2024-10-13 20:00:00",5528,13,310,1,-0.021,-0.41,-0.59,-0.023,-0.033,-0.021,-0.049,53.26,40.95
