"TOA5","CR200Series_301","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-10-31 13:00:00",18565,12.64195,301,0,4.083,7.07,8.12,0.54798,0.62961,0.38555,0.24704,51.244,39.907
"2021-10-31 13:30:00",18566,12.57228,301,0,2.677,3.81,6.2,0.29536,0.48092,0.24727,0.25218,48.574,42.234
"2021-10-31 14:00:00",18567,12.63439,301,0,4.115,6.49,8.86,0.5035,0.68706,0.41367,0.26826,54.57,40.744
"2021-10-31 14:30:00",18568,12.511,301,0,3.898,6.28,8.25,0.487,0.64018,0.36174,0.24886,50.165,39.505
"2021-10-31 15:00:00",18569,12.4749,301,0,3.315,5.28,7.08,0.4093,0.54908,0.3148,0.22526,52.794,40.375
"2021-10-31 15:30:00",18570,12.46986,301,0,3.437,5.54,7.27,0.4297,0.564,0.31372,0.19067,52.904,39.08
"2021-10-31 16:00:00",18571,12.43881,301,0,3.125,5.04,6.61,0.39102,0.51297,0.29508,0.178,54.196,39.694
"2021-10-31 16:30:00",18572,12.41026,301,0,2.709,4.36,5.74,0.33804,0.44556,0.2417,0.1324,54.389,40.153
"2021-10-31 17:00:00",18573,12.39683,301,0,1.922,3.16,4,0.245,0.30994,0.16428,0.05863,54.023,37.864
"2021-10-31 17:30:00",18574,12.39096,301,0,1.277,2.09,2.67,0.16176,0.20726,0.09614,0.00613,53.021,37.8
"2021-10-31 18:00:00",18575,12.38172,301,0,0.928,1.51,1.95,0.11724,0.15121,0.067,-0.02245,54.01,37.28
"2021-10-31 18:30:00",18576,12.36326,301,0,0.722,1.21,1.48,0.09392,0.11486,0.04168,-0.04311,52.5,36.608
"2021-10-31 19:00:00",18577,12.36745,301,0,0.523,0.82,1.13,0.0636,0.08768,0.01762,-0.05555,52.538,36.232
"2021-10-31 19:30:00",18578,12.3557,301,0,0.42,0.63,0.94,0.0489,0.07328,0.00872,-0.06149,52.548,35.825
"2021-10-31 20:00:00",18579,12.35066,301,0,0.338,0.53,0.73,0.04136,0.0568,0.00648,-0.07169,52.706,35.98
"2021-10-31 20:30:00",18580,12.34563,301,0,0.297,0.44,0.67,0.0345,0.05158,0,-0.07199,53.139,35.836
"2021-10-31 21:00:00",18581,12.33975,301,0,0.249,0.38,0.55,0.02966,0.043,0,-0.07169,53.755,35.625
"2021-10-31 21:30:00",18582,12.33304,301,0,0.241,0.38,0.52,0.02978,0.04038,-0.00435,-0.08005,52.352,36.04
"2021-10-31 22:00:00",18583,12.32212,301,0,0.235,0.33,0.55,0.02526,0.04288,-0.00653,-0.07583,54.221,36.245
"2021-10-31 22:30:00",18584,12.32212,301,0,0.219,0.3,0.52,0.02292,0.04026,-0.00865,-0.07991,53.505,35.684
"2021-10-31 23:00:00",18585,12.31289,301,0,0.209,0.33,0.45,0.02526,0.03498,-0.00653,-0.08223,53.868,36.304
"2021-10-31 23:30:00",18586,12.31037,301,0,0.22,0.33,0.49,0.0254,0.03772,-0.00877,-0.08023,52.197,35.885
"2021-11-01 00:00:00",18587,12.31037,301,0,0.201,0.33,0.42,0.02528,0.03226,-0.00653,-0.08223,52.108,36.047
"2021-11-01 00:30:00",18588,12.2961,301,0,0.209,0.33,0.45,0.0254,0.03506,-0.00877,-0.08023,52.567,35.419
"2021-11-01 01:00:00",18589,12.2961,301,0,0.214,0.32,0.48,0.02516,0.0376,-0.00865,-0.07609,53.373,35.822
"2021-11-01 01:30:00",18590,12.29442,301,0,0.209,0.33,0.45,0.0255,0.03498,-0.01095,-0.07809,52.928,36.198
"2021-11-01 02:00:00",18591,12.27595,301,0,0.217,0.36,0.45,0.02762,0.03506,-0.00871,-0.07837,52.383,36.219
"2021-11-01 02:30:00",18592,12.27931,301,0,0.209,0.33,0.45,0.02526,0.03498,-0.00653,-0.07823,53.303,35.739
