"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-12-13 10:30:00",18526,13.75756,302,0,0.656,2.26,0.12,0.17388,0.00933,0.17878,-0.00309,44.382,37.616
"2021-12-13 11:00:00",18527,13.71979,302,0,0.813,2.78,0.17,0.21432,0.01272,0.2111,-0.00331,44.504,36.224
"2021-12-13 11:30:00",18528,13.33197,302,0,0.885,2.92,0.3,0.2248,0.02346,0.21894,0.00338,47.179,36.816
"2021-12-13 12:00:00",18529,13.25138,302,0,0.814,2.69,0.27,0.2076,0.02086,0.21054,0.00156,51.487,39.041
"2021-12-13 12:30:00",18530,13.66271,302,0,0.943,3.11,0.32,0.23934,0.02468,0.23043,0.0043,48.35,39.085
"2021-12-13 13:00:00",18531,13.6073,302,0,0.57,1.95,0.12,0.15052,0.00936,-99,-0.00141,63.275,40.421
"2021-12-13 13:30:00",18532,13.35967,302,0,0.689,2.03,0.49,0.15678,0.03759,-99,0.00822,-99,38.235
"2021-12-13 14:00:00",18533,13.55358,302,0,1.297,4.26,0.46,0.32849,0.03528,0.28816,0.008,45.936,38.08
"2021-12-13 14:30:00",18534,13.61318,302,0,1.229,3.92,0.56,0.30185,0.0429,0.27868,0.00661,45.29,36.856
"2021-12-13 15:00:00",18535,13.30846,302,0,1.266,4.08,0.53,0.31422,0.04074,0.2861,0.00849,45.847,37.414
"2021-12-13 15:30:00",18536,13.62829,302,0,1.126,3.61,0.49,0.27823,0.03781,0.26488,0.00494,46.139,37.129
"2021-12-13 16:00:00",18537,13.21361,302,0,1.073,3.42,0.49,0.26388,0.0374,0.25243,0.0069,46.405,36.715
"2021-12-13 16:30:00",18538,13.10448,302,0,0.973,3.16,0.38,0.24324,0.0292,0.23523,0.00173,46.231,36.692
"2021-12-13 17:00:00",18539,13.06503,302,0,0.882,2.89,0.32,0.22271,0.02472,0.21824,0,46.378,37.1
"2021-12-13 17:30:00",18540,13.03732,302,0,0.735,2.47,0.2,0.19057,0.01572,0.19114,-0.00359,47.088,37.386
"2021-12-13 18:00:00",18541,13.01718,302,0,0.647,2.18,0.17,0.16836,0.01342,0.17286,-0.00179,47.176,36.211
"2021-12-13 18:30:00",18542,12.99535,302,0,0.565,1.93,0.12,0.14842,0.00894,0.1569,-0.00359,45.936,36.901
"2021-12-13 19:00:00",18543,12.98192,302,0,0.508,1.78,0.06,0.13686,0.00443,0.14676,-0.00707,47.228,37.102
"2021-12-13 19:30:00",18544,12.96849,302,0,0.472,1.68,0.03,0.12964,0.0022,0.14014,-0.00529,46.72,36.745
"2021-12-13 20:00:00",18545,12.97017,302,0,0.447,1.59,0.03,0.12273,0.0022,0.13398,-0.00529,46.244,37.108
"2021-12-13 20:30:00",18546,12.95002,302,0,0.431,1.56,0,0.1205,0,0.13353,-0.00535,46.721,36.748
"2021-12-13 21:00:00",18547,12.94499,302,0,0.39,1.43,-0.02,0.11012,-0.00223,0.12436,-0.00879,47.292,37.162
"2021-12-13 21:30:00",18548,12.93827,302,0,0.393,1.44,-0.02,0.11076,-0.00223,0.12338,-0.00707,47.383,37.414
"2021-12-13 22:00:00",18549,12.92904,302,0,0.393,1.42,0,0.10936,0,0.12192,-0.00529,46.709,36.998
"2021-12-13 22:30:00",18550,12.92232,302,0,0.368,1.33,0,0.10229,0,0.11902,-0.00707,46.607,37.312
"2021-12-13 23:00:00",18551,12.88371,302,0,0.378,1.34,0.03,0.10292,0.0022,0.11799,-0.00707,46.238,37.364
"2021-12-13 23:30:00",18552,12.91225,302,0,0.378,1.34,0.03,0.10292,0.00217,0.11799,-0.00707,46.83,36.856
"2021-12-14 00:00:00",18553,12.89798,302,0,0.365,1.34,-0.02,0.1031,-0.00225,0.11776,-0.00535,47.014,36.054
"2021-12-14 00:30:00",18554,12.89546,302,0,0.359,1.3,0,0.10054,0,0.11591,-0.00707,46.607,36.638
