"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-09 09:00:00",22651,12.81236,302,0,0.297,1.15,-0.08,0.08887,-0.00677,0.10137,-0.00925,46.924,37.64
"2022-03-09 09:30:00",22652,12.83586,302,0,0.308,1.19,-0.08,0.09166,-0.00677,0.10222,-0.01109,45.418,37.386
"2022-03-09 10:00:00",22653,12.87951,302,0,0.308,1.19,-0.08,0.09202,-0.00663,0.10069,-0.01089,46.653,38.205
"2022-03-09 10:30:00",22654,12.87699,302,0,0.336,1.29,-0.08,0.09924,-0.00677,0.1084,-0.01287,45.651,38.041
"2022-03-09 11:00:00",22655,12.91812,302,0,0.325,1.25,-0.08,0.09601,-0.00669,0.1042,-0.01277,46.744,38.038
"2022-03-09 11:30:00",22656,12.88958,302,0,0.333,1.28,-0.08,0.09854,-0.00667,0.10661,-0.01095,47.035,37.345
"2022-03-09 12:00:00",22657,12.86608,302,0,0.311,1.2,-0.08,0.09255,-0.00669,0.10442,-0.01281,46.866,38.01
"2022-03-09 12:30:00",22658,12.93827,302,0,0.313,1.18,-0.05,0.0911,-0.00439,0.10148,-0.01085,46.005,37.822
"2022-03-09 13:00:00",22659,12.90301,302,0,0.308,1.19,-0.08,0.09146,-0.00667,0.10202,-0.01089,46.556,37.439
"2022-03-09 13:30:00",22660,12.90637,302,0,0.303,1.17,-0.08,0.09055,-0.00669,0.10069,-0.00915,45.891,37.605
"2022-03-09 14:00:00",22661,13.0071,302,0,0.259,1.03,-0.1,0.07915,-0.00861,0.09223,-0.01065,46.902,38.05
"2022-03-09 14:30:00",22662,12.95926,302,0,0.275,1.09,-0.1,0.08413,-0.00881,0.0983,-0.01261,46.882,38.025
"2022-03-09 15:00:00",22663,12.8879,302,0,0.297,1.15,-0.08,0.08892,-0.00677,0.10168,-0.00915,45.393,37.115
"2022-03-09 15:30:00",22664,12.87699,302,0,0.303,1.2,-0.11,0.09216,-0.00925,0.10105,-0.01113,45.261,36.559
"2022-03-09 16:00:00",22665,12.85769,302,0,0.253,1.02,-0.11,0.0786,-0.00923,0.09322,-0.01297,46.302,37.861
"2022-03-09 16:30:00",22666,12.84929,302,0,0.245,0.99,-0.11,0.07662,-0.00923,0.08936,-0.01297,46.733,37.873
"2022-03-09 17:00:00",22667,12.83334,302,0,0.253,0.99,-0.08,0.07635,-0.00697,0.09286,-0.01121,45.548,37.52
"2022-03-09 17:30:00",22668,12.78549,302,0,0.247,0.97,-0.08,0.07452,-0.00697,0.08744,-0.00935,45.128,37.518
"2022-03-09 18:00:00",22669,12.82411,302,0,0.256,1.03,-0.11,0.07969,-0.00935,0.0937,-0.01311,43.411,37.051
"2022-03-09 18:30:00",22670,12.82327,302,0,0.246,1.02,-0.14,0.07857,-0.01167,0.09492,-0.01497,45.833,37.541
"2022-03-09 19:00:00",22671,12.80396,302,0,0.263,1,-0.05,0.07686,-0.00467,0.09186,-0.00751,46.553,37.116
"2022-03-09 19:30:00",22672,12.809,302,0,0.286,1.11,-0.08,0.08576,-0.00703,0.09804,-0.00935,45.441,37.254
"2022-03-09 20:00:00",22673,12.81152,302,0,0.3,1.16,-0.08,0.08978,-0.00697,0.0996,-0.01121,45.839,37.651
"2022-03-09 20:30:00",22674,12.809,302,0,0.286,1.11,-0.08,0.08544,-0.00693,0.09631,-0.01119,47.357,37.236
"2022-03-09 21:00:00",22675,12.79389,302,0,0.3,1.16,-0.08,0.08968,-0.00693,0.10027,-0.01113,46.874,37.85
"2022-03-09 21:30:00",22676,12.78717,302,0,0.338,1.24,-0.02,0.09545,-0.00235,0.10494,-0.01119,45.945,37.492
"2022-03-09 22:00:00",22677,12.79809,302,0,0.316,1.22,-0.08,0.09437,-0.00693,0.1023,-0.01113,45.884,37.277
