"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-12-13 10:30:00",18526,13.75756,302,1,0.304,0.94,0.2,0.07365,0.01547,0.03868,-0.00659,39.487,40.366
"2021-12-13 11:00:00",18527,13.71979,302,1,0.473,1.39,0.39,0.10899,0.03046,0.06482,0.00163,39.348,39.244
"2021-12-13 11:30:00",18528,13.33197,302,1,0.356,1.06,0.28,0.08344,0.02191,0.05135,-0.00517,43.202,39.118
"2021-12-13 12:00:00",18529,13.25138,302,1,0.526,1.54,0.44,0.1205,0.03462,0.07076,0.00178,38.864,38.916
"2021-12-13 12:30:00",18530,13.66271,302,1,0.651,1.91,0.54,0.14953,0.04215,0.10652,0.01108,46.348,40.198
"2021-12-13 13:00:00",18531,13.6073,302,1,0.567,1.61,0.53,0.12632,0.04185,0.0728,0.00501,38.244,39.795
"2021-12-13 13:30:00",18532,13.35967,302,1,0.151,0.4,0.17,0.03156,0.01342,0.03048,-0.00505,39.216,40.094
"2021-12-13 14:00:00",18533,13.55358,302,1,0.503,1.53,0.36,0.12009,0.0281,0.0875,0.00632,42.15,41.891
"2021-12-13 14:30:00",18534,13.61318,302,1,0.79,2.21,0.77,0.17346,0.0606,0.09322,0.01246,37.411,38.135
"2021-12-13 15:00:00",18535,13.30846,302,1,0.735,2.11,0.66,0.16554,0.05184,0.09223,0.00912,38.596,38.75
"2021-12-13 15:30:00",18536,13.62829,302,1,0.66,1.87,0.62,0.14658,0.04829,0.08468,0.0084,39.786,40.095
