"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-31 08:00:00",3353,12.87783,302,0,0.287,1.01,0.03,0.07775,0.00217,0.10588,0.0035,45.861,36.991
"2021-01-31 08:30:00",3354,12.87531,302,0,0.3,1.01,0.08,0.07756,0.00648,0.10406,0.00697,45.391,37.094
"2021-01-31 09:00:00",3355,12.87112,302,0,0.29,1.02,0.03,0.07896,0.00214,0.10354,0.0035,46.026,36.89
"2021-01-31 09:30:00",3356,12.86188,302,0,0.284,1,0.03,0.07717,0.00217,0.10368,0.0035,46.306,36.752
"2021-01-31 10:00:00",3357,12.83502,302,0,0.295,0.99,0.08,0.07642,0.00644,0.1064,0.00697,45.966,37.251
"2021-01-31 10:30:00",3358,12.86524,302,0,0.319,1.05,0.11,0.08076,0.0086,0.10696,0.00697,45.547,37.092
"2021-01-31 11:00:00",3359,12.86776,302,0,0.319,1.08,0.08,0.08288,0.00644,0.10902,0.00522,45.025,37.408
"2021-01-31 11:30:00",3360,12.87699,302,0,0.325,1.1,0.08,0.08468,0.00644,0.1102,0.00697,45.77,37.471
"2021-01-31 12:00:00",3361,12.8728,302,0,0.309,1.06,0.06,0.08138,0.0043,0.10895,0.0035,46.846,37.14
"2021-01-31 12:30:00",3362,12.85936,302,0,0.335,1.11,0.11,0.0859,0.00848,0.1112,0.00863,45.638,37.446
"2021-01-31 13:00:00",3363,12.85852,302,0,0.339,1.15,0.08,0.08842,0.00638,0.11198,0.00346,44.634,37.019
"2021-01-31 13:30:00",3364,12.83586,302,0,0.355,1.18,0.11,0.0907,0.00848,0.11578,0.0069,45.922,37.321
"2021-01-31 14:00:00",3365,12.82747,302,0,0.374,1.25,0.11,0.09672,0.00849,0.11958,0.00858,47.018,36.745
"2021-01-31 14:30:00",3366,12.81236,302,0,0.375,1.28,0.08,0.09887,0.00638,0.12341,0.0069,46.318,36.883
"2021-01-31 15:00:00",3367,12.81655,302,0,0.385,1.29,0.11,0.09955,0.00848,0.12238,0.00346,46.004,37.406
"2021-01-31 15:30:00",3368,12.81823,302,0,0.396,1.33,0.11,0.10222,0.00846,0.1264,0.00512,45.797,37.512
"2021-01-31 16:00:00",3369,12.81403,302,0,0.405,1.36,0.11,0.10472,0.00848,0.12548,0.0069,44.539,36.776
"2021-01-31 16:30:00",3370,12.77878,302,0,0.404,1.33,0.14,0.10279,0.01062,0.12526,0.0069,45.112,37.348
"2021-01-31 17:00:00",3371,12.80564,302,0,0.394,1.32,0.11,0.10182,0.00848,0.12301,0.00518,45.423,37.556
"2021-01-31 17:30:00",3372,12.80816,302,0,0.388,1.3,0.11,0.10024,0.00846,0.12507,0.00518,44.922,37.166
"2021-01-31 18:00:00",3373,12.77206,302,0,0.356,1.23,0.06,0.09473,0.00426,0.11818,0.00518,46.738,38.043
"2021-01-31 18:30:00",3374,12.79473,302,0,0.334,1.15,0.06,0.08897,0.0043,0.11449,0.00173,45.28,37.263
"2021-01-31 19:00:00",3375,12.78298,302,0,0.33,1.12,0.08,0.08666,0.00648,0.11238,0.0035,44.78,36.497
"2021-01-31 19:30:00",3376,12.80228,302,0,0.249,0.9,0,0.06932,0,0.09672,0.0035,46.534,37.422
"2021-01-31 20:00:00",3377,12.79641,302,0,0.271,0.98,0,0.07564,0,0.10236,0.00348,44.871,36.852
"2021-01-31 20:30:00",3378,12.8048,302,0,0.257,0.9,0.03,0.06951,0.00214,0.09682,0.00173,45.616,36.771
"2021-01-31 21:00:00",3379,12.80396,302,0,0.241,0.87,0,0.06736,0,0.09492,0.00348,45.794,36.79
"2021-01-31 21:30:00",3380,12.79137,302,0,0.23,0.85,-0.02,0.06587,-0.00217,0.09182,0.00173,45.278,37.002
"2021-01-31 22:00:00",3381,12.79725,302,0,0.241,0.87,0,0.06701,0,0.0946,0.00173,45.888,36.884
