"TOA5","CR200Series_303","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-06-06 14:00:00",25763,13.222,303,0,1.001,1.32,1.86,0.10835,0.15322,0.16388,0.31197,37.09,30.326
"2022-06-06 14:30:00",25764,13.22788,303,0,1,1.26,1.92,0.10397,0.15851,0.16472,0.3131,35.587,30.486
"2022-06-06 15:00:00",25765,13.24299,303,0,1.011,1.32,1.89,0.10858,0.15568,0.16328,0.31392,36.937,30.171
"2022-06-06 15:30:00",25766,13.26565,303,0,0.955,1.16,1.88,0.09514,0.15508,0.16755,0.31486,36.365,30.694
"2022-06-06 16:00:00",25767,13.27069,303,0,0.984,1.24,1.89,0.1023,0.15542,0.16087,0.31558,36.429,30.493
"2022-06-06 16:30:00",25768,13.28832,303,0,0.991,1.24,1.91,0.10192,0.157,0.16484,0.31914,35.863,30.499
"2022-06-06 17:00:00",25769,13.29671,303,0,0.971,1.19,1.9,0.0979,0.15638,0.16115,0.3169,36.391,30.451
"2022-06-06 17:30:00",25770,13.29923,303,0,0.971,1.2,1.89,0.09887,0.15574,0.15962,0.31844,35.1,29.838
"2022-06-06 18:00:00",25771,13.14645,303,0,1,1.26,1.92,0.10344,0.15833,0.16228,0.31844,37.077,30.046
"2022-06-06 18:30:00",25772,12.93575,303,0,0.972,1.21,1.88,0.0993,0.1545,0.16139,0.3154,35.452,30.608
"2022-06-06 19:00:00",25773,12.83922,303,0,0.93,1.11,1.85,0.09172,0.15208,0.16056,0.3161,35.619,30.514
"2022-06-06 19:30:00",25774,12.76115,303,0,1.025,1.27,1.99,0.1045,0.1642,0.16745,0.32622,35.527,30.265
"2022-06-06 20:00:00",25775,12.73429,303,0,0.97,1.15,1.94,0.09472,0.16004,0.15969,0.32084,35.617,30.356
"2022-06-06 20:30:00",25776,12.73009,303,0,0.978,1.22,1.89,0.10012,0.15588,0.16271,0.32436,36.139,30.356
"2022-06-06 21:00:00",25777,12.70491,303,0,0.961,1.14,1.92,0.09381,0.15796,0.15842,0.31994,36.468,30.527
"2022-06-06 21:30:00",25778,12.71162,303,0,0.907,1.03,1.86,0.08512,0.15344,0.15836,0.3177,36.512,30.311
"2022-06-06 22:00:00",25779,12.70575,303,0,0.922,1.05,1.89,0.08648,0.15586,0.15412,0.31588,35.932,30.41
"2022-06-06 22:30:00",25780,12.70155,303,0,0.916,1.04,1.88,0.08601,0.15483,0.15536,0.31424,36.092,30.413
"2022-06-06 23:00:00",25781,12.69903,303,0,0.928,1.03,1.93,0.08518,0.15912,0.1534,0.3163,36.761,30.406
"2022-06-06 23:30:00",25782,12.66545,303,0,0.935,1.08,1.9,0.08912,0.15684,0.15763,0.31718,36.032,30.928
"2022-06-07 00:00:00",25783,12.69735,303,0,0.916,1.04,1.88,0.08586,0.15512,0.15316,0.315,36.341,30.403
"2022-06-07 00:30:00",25784,12.68812,303,0,0.904,1.04,1.84,0.08539,0.15148,0.15075,0.3143,36.293,30.198
"2022-06-07 01:00:00",25785,12.68644,303,0,0.9,1,1.87,0.08258,0.1538,0.15294,0.31486,37.072,30.302
"2022-06-07 01:30:00",25786,12.68644,303,0,0.9,1,1.87,0.08275,0.1538,0.15366,0.31342,37.025,30.669
"2022-06-07 02:00:00",25787,12.6495,303,0,0.929,1.08,1.88,0.08897,0.15482,0.15763,0.315,35.973,30.453
"2022-06-07 02:30:00",25788,12.6579,303,0,0.9,1.01,1.86,0.08288,0.15282,0.15294,0.31212,36.389,30.297
"2022-06-07 03:00:00",25789,12.6579,303,0,0.894,1.01,1.84,0.08354,0.15178,0.15094,0.31278,36.751,30.24
"2022-06-07 03:30:00",25790,12.67301,303,0,0.9,1.01,1.86,0.08306,0.15313,0.1514,0.31319,37.009,30.241
"2022-06-07 04:00:00",25791,12.65202,303,0,0.894,1,1.85,0.08218,0.15212,0.15166,0.31242,35.75,30.388
