"TOA5","CR200Series_303","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-06-07 09:00:00",25801,13.04572,303,1,0.155,0.49,-99,0.03912,-99,-0.01343,-99,57.912,48.292
"2022-06-07 09:30:00",25802,13.05076,303,1,0.292,0.92,-99,0.07365,-99,-0.02625,-99,64.683,47.358
"2022-06-07 10:00:00",25803,13.0986,303,1,0.2,0.63,-99,0.05068,-99,-0.05153,-99,47.212,45.712
"2022-06-07 10:30:00",25804,13.17667,303,1,0.114,0.36,-99,0.02908,-99,-0.05337,-99,43.225,45.603
"2022-06-07 11:00:00",25805,13.222,303,1,0.342,1.08,-99,0.08611,-99,-0.01095,-99,44.831,47.211
"2022-06-07 11:30:00",25806,13.22116,303,1,0.298,0.94,-99,0.07536,-99,-0.02423,-99,43.512,44.237
"2022-06-07 12:00:00",25807,13.21948,303,1,0.244,0.77,-99,0.06202,-99,-0.02593,-99,44.782,45.766
"2022-06-07 12:30:00",25808,13.21025,303,1,0.273,0.86,-99,0.06896,-99,-0.03037,-99,44.054,45.605
"2022-06-07 13:00:00",25809,13.22284,303,1,0.304,0.96,-99,0.07663,-99,0.0099,-99,42.769,48.044
"2022-06-07 13:30:00",25810,13.19094,303,1,0.288,0.91,-99,0.07292,-99,-0.02457,-99,42.914,44.62
"2022-06-07 14:00:00",25811,13.19934,303,1,0.307,0.97,-99,0.07786,-99,-0.02089,-99,42.202,44.582
"2022-06-07 14:30:00",25812,13.20941,303,1,0.285,0.9,-99,0.0718,-99,-0.02243,-99,47.414,46.328
