"TOA5","CR200Series_303","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-02-01 12:00:00",2243,12.52107,303,1,-0.335,-1.06,-99,-0.08583,-99,-0.12211,-99,45.057,-99
"2021-02-01 12:30:00",2244,12.50092,303,1,-0.316,-1,-99,-0.08103,-99,-0.11805,-99,48.076,-99
"2021-02-01 13:00:00",2245,12.5026,303,1,-0.325,-1.03,-99,-0.08349,-99,-0.11373,-99,45.074,-99
"2021-02-01 13:30:00",2246,12.47154,303,1,-0.319,-1.01,-99,-0.08197,-99,-0.11701,-99,46.542,-99
"2021-02-01 14:00:00",2247,12.48246,303,1,-0.31,-0.98,-99,-0.07891,-99,-0.11427,-99,44.615,-99
"2021-02-01 14:30:00",2248,12.47238,303,1,-0.287,-0.91,-99,-0.07357,-99,-0.11145,-99,43.99,-99
"2021-02-01 15:00:00",2249,12.4514,303,1,-0.31,-0.98,-99,-0.07931,-99,-0.11651,-99,46.396,-99
"2021-02-01 15:30:00",2250,12.45979,303,1,-0.268,-0.85,-99,-0.06887,-99,-0.11145,-99,45.95,-99
"2021-02-01 16:00:00",2251,12.45308,303,1,-0.281,-0.89,-99,-0.07181,-99,-0.10741,-99,46.987,-99
"2021-02-01 16:30:00",2252,12.45056,303,1,-0.24,-0.76,-99,-0.06195,-99,-0.10061,-99,45.709,-99
"2021-02-01 17:00:00",2253,12.44636,303,1,-0.253,-0.8,-99,-0.06455,-99,-0.10763,-99,45.98,-99
"2021-02-01 17:30:00",2254,12.44552,303,1,-0.262,-0.83,-99,-0.06749,-99,-0.11019,-99,45.621,-99
