"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-09-05 12:00:00",13068,11.77733,305,1,1.827,6.53,1.84,0.48829,0.13804,0.43312,0.11078,40.463,36.471
"2021-09-05 12:30:00",13069,11.77061,305,1,2.351,8.52,2.24,0.63781,0.16752,0.47242,0.1175,38.643,34.964
"2021-09-05 13:00:00",13070,11.68667,305,1,2.2,7.92,2.15,0.59275,0.16086,0.4696,0.11849,39.842,36.68
"2021-09-05 13:30:00",13071,11.61532,305,1,2.465,9.09,2.18,0.6806,0.16308,0.48552,0.11674,38.397,35.806
"2021-09-05 14:00:00",13072,11.63043,305,1,2.393,8.71,2.24,0.65162,0.16755,0.47246,0.11885,38.397,34.974
"2021-09-05 14:30:00",13073,11.58342,305,1,2.259,8.16,2.18,0.61055,0.16314,0.4639,0.1175,39.392,35.813
"2021-09-05 15:00:00",13074,11.58258,305,1,2.356,8.55,2.23,0.64008,0.16654,0.46584,0.11858,38.492,35.9
"2021-09-05 15:30:00",13075,11.57586,305,1,2.253,8.15,2.16,0.60994,0.16152,0.43646,0.11424,38.481,35.062
"2021-09-05 16:00:00",13076,11.56999,305,1,2.007,7.18,2.01,0.5376,0.15004,0.41479,0.11156,38.486,35.067
"2021-09-05 16:30:00",13077,11.55068,305,1,1.904,6.78,1.94,0.50748,0.14542,0.38974,0.1097,38.943,34.954
"2021-09-05 17:00:00",13078,11.53977,305,1,1.666,5.95,1.68,0.44562,0.1255,0.33644,0.09616,37.487,34.328
