"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"1990-01-04 04:00:00",20860,10.29908,305,1,1.005,3.66,0.94,0.27372,0.07052,0.26548,0.06356,49.662,38.783
"1990-01-04 04:30:00",20861,10.38134,305,1,1.213,4.43,1.12,0.33122,0.08381,0.26301,0.07253,37.395,36.46
"1990-01-04 05:00:00",20862,10.74734,305,1,1.188,4.41,1.02,0.32984,0.07656,0.2699,0.06896,40.456,37.294
"1990-01-04 05:30:00",20863,10.61806,305,1,1.532,5.73,1.27,0.42868,0.09495,0.29278,0.07452,36.823,35.477
"1990-01-04 06:00:00",20864,10.51313,305,1,1.349,5.1,1.06,0.38159,0.07948,0.2857,0.07174,37.917,36.155
"1990-01-04 06:30:00",20865,10.4166,305,1,1.661,6.22,1.37,0.46582,0.10283,0.29092,0.08296,35.883,35.623
"1990-01-04 07:00:00",20866,10.37295,305,1,1.365,5.04,1.2,0.37712,0.0898,0.2661,0.07526,36.929,35.167
"1990-01-04 07:30:00",20867,10.33769,305,1,1.329,4.88,1.2,0.36508,0.08999,0.26046,0.07718,37.594,34.847
"1990-01-04 08:00:00",20868,10.2932,305,1,1.168,4.2,1.15,0.31422,0.08586,0.2446,0.07123,37.891,34.63
"1990-01-04 08:30:00",20869,10.25123,305,1,1.193,4.36,1.1,0.32636,0.08245,0.23994,0.07189,36.453,34.537
"1990-01-04 09:00:00",20870,10.20338,305,1,1.214,4.48,1.07,0.33558,0.08002,0.23002,0.06964,36.299,35.781
