"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-01-08 19:30:00",31241,11.84196,305,0,0.591,0.5,1.25,0.04064,0.10105,0.04354,0.11548,47.388,51.189
"2023-01-08 20:00:00",31242,11.82685,305,0,0.618,0.5,1.33,0.04052,0.10828,0.04342,0.11867,47.007,51.486
"2023-01-08 20:30:00",31243,11.84364,305,0,0.557,0.46,1.19,0.0376,0.09646,0.04068,0.11101,48.01,50.98
"2023-01-08 21:00:00",31244,11.83693,305,0,0.535,0.35,1.24,0.02816,0.10024,0.03485,0.11867,46.916,51.656
"2023-01-08 21:30:00",31245,11.83525,305,0,0.534,0.31,1.28,0.0249,0.10366,0.02898,0.11418,47.211,51.012
"2023-01-08 22:00:00",31246,11.82685,305,0,0.557,0.42,1.23,0.03442,0.09946,0.03498,0.11059,47.235,51.039
"2023-01-08 22:30:00",31247,11.83357,305,0,0.491,0.28,1.18,0.02231,0.09604,0.02966,0.11101,47.384,51.292
"2023-01-08 23:00:00",31248,11.83525,305,0,0.496,0.24,1.24,0.0192,0.10024,0.0299,0.11101,48.084,51.156
"2023-01-08 23:30:00",31249,11.82014,305,0,0.505,0.32,1.18,0.02576,0.09604,0.0362,0.11101,47.777,51.005
"2023-01-09 00:00:00",31250,11.83189,305,0,0.508,0.32,1.19,0.02586,0.09646,0.0393,0.10738,48.395,50.944
"2023-01-09 00:30:00",31251,11.81846,305,0,0.494,0.28,1.19,0.02274,0.0968,0.03344,0.11186,48.037,50.848
"2023-01-09 01:00:00",31252,11.82685,305,0,0.494,0.28,1.19,0.02262,0.09646,0.03329,0.10738,47.727,50.695
"2023-01-09 01:30:00",31253,11.8151,305,0,0.536,0.4,1.19,0.03245,0.09646,0.03942,0.10738,48.94,50.917
"2023-01-09 02:00:00",31254,11.82937,305,0,0.523,0.4,1.15,0.03264,0.09298,0.0458,0.10412,47.923,50.994
"2023-01-09 02:30:00",31255,11.81846,305,0,0.543,0.4,1.21,0.03276,0.09801,0.03981,0.10905,47.393,50.045
"2023-01-09 03:00:00",31256,11.8235,305,0,0.536,0.4,1.19,0.03233,0.0968,0.03942,0.10776,48.187,51.83
"2023-01-09 03:30:00",31257,11.81174,305,0,0.574,0.44,1.26,0.03609,0.10233,0.04306,0.11318,48.098,51.065
"2023-01-09 04:00:00",31258,11.8151,305,0,0.557,0.44,1.21,0.03564,0.09801,0.04567,0.10905,48.926,50.905
"2023-01-09 04:30:00",31259,11.81174,305,0,0.568,0.52,1.16,0.04238,0.09372,0.04888,0.10492,48.665,50.642
"2023-01-09 05:00:00",31260,11.82182,305,0,0.599,0.56,1.21,0.04544,0.09801,0.04878,0.10492,48.453,50.586
"2023-01-09 05:30:00",31261,11.81174,305,0,0.583,0.56,1.16,0.04574,0.09372,0.05502,0.10492,48.093,50.487
"2023-01-09 06:00:00",31262,11.82182,305,0,0.638,0.65,1.23,0.05282,0.10004,0.05852,0.11078,48.506,50.483
"2023-01-09 06:30:00",31263,11.80923,305,0,0.62,0.63,1.2,0.0511,0.09772,0.05656,0.11211,47.055,50.699
"2023-01-09 07:00:00",31264,11.80587,305,0,0.689,0.72,1.31,0.0584,0.10624,0.06391,0.11634,48.837,49.983
"2023-01-09 07:30:00",31265,11.81678,305,0,0.606,0.59,1.2,0.0477,0.09722,0.05712,0.1086,49.348,50.755
"2023-01-09 08:00:00",31266,11.8151,305,0,0.583,0.56,1.16,0.04574,0.09414,0.05207,0.10532,48.964,50.942
"2023-01-09 08:30:00",31267,11.81426,305,0,0.638,0.65,1.23,0.05261,0.10004,0.05838,0.11496,48.721,50.7
"2023-01-09 09:00:00",31268,11.81846,305,0,0.646,0.73,1.17,0.05942,0.09528,0.06448,0.10618,49.136,52.364
