"TOA5","CR200Series_306","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-09-17 06:00:00",29016,12.54122,306,1,0.566,1.4,-99,0.11612,-99,0.1704,-99,41.607,-99
"2022-09-17 06:30:00",29017,12.52779,306,1,0.599,1.48,-99,0.12301,-99,0.16988,-99,41.147,-99
"2022-09-17 07:00:00",29018,12.51435,306,1,0.595,1.47,-99,0.12244,-99,0.16963,-99,42.733,-99
"2022-09-17 07:30:00",29019,12.48497,306,1,0.57,1.41,-99,0.11739,-99,0.16755,-99,42.209,-99
"2022-09-17 08:00:00",29020,12.30701,306,1,0.607,1.5,-99,0.12419,-99,0.16844,-99,42.681,-99
"2022-09-17 08:30:00",29021,12.54625,306,1,0.562,1.39,-99,0.1156,-99,0.16634,-99,43.361,-99
"2022-09-17 09:00:00",29022,12.5664,306,1,0.611,1.51,-99,0.12571,-99,0.16914,-99,44.966,-99
"2022-09-17 09:30:00",29023,12.58571,306,1,0.749,1.85,-99,0.15365,-99,0.18796,-99,45.274,-99
"2022-09-17 10:00:00",29024,12.5706,306,1,0.781,1.93,-99,0.16014,-99,0.18233,-99,48.331,-99
"2022-09-17 10:30:00",29025,12.68224,306,1,0.898,2.22,-99,0.18394,-99,0.2078,-99,47.39,-99
"2022-09-17 11:00:00",29026,12.75275,306,1,0.732,1.81,-99,0.1501,-99,0.20908,-99,42.383,-99
"2022-09-17 11:30:00",29027,12.83838,306,1,0.817,2.02,-99,0.1678,-99,0.20803,-99,43.469,-99
