"TOA5","CR200Series_505","CR200X","No_SN","CR200X.Std.00","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2004-02-15 01:30:00",7947,12.19621,505,1,3.102,2.91,10.83,0.25719,0.95869,0.228,0.98809,54.295,39.809
"2004-02-15 02:00:00",7948,12.08456,505,1,7.669,3.14,31.02,0.27754,0.97755,0.25551,1.00087,53.725,39.915
"2004-02-15 02:30:00",7949,12.07868,505,1,3.001,2.67,10.63,0.23624,0.94049,0.21498,0.96849,53.87,40.734
"2004-02-15 03:00:00",7950,12.15004,505,1,3.11,2.86,10.92,0.25332,0.96653,0.22486,0.98581,54.691,40.718
"2004-02-15 03:30:00",7951,12.08792,505,1,7.699,3.26,31.03,0.2883,0.98081,0.25806,1.0033,53.977,39.908
"2004-02-15 04:00:00",7952,12.06861,505,1,3.202,3.12,11.06,0.27632,0.97886,0.24128,0.99827,52.721,39.574
"2004-02-15 04:30:00",7953,12.0619,505,1,7.987,2.8,32.8,0.24784,1.03913,0.23124,1.06485,55.889,39.019
"2004-02-15 05:00:00",7954,12.05014,505,1,7.71,3.29,31.05,0.29122,0.99495,0.2491,1.02053,54.96,39.905
"2004-02-15 05:30:00",7955,12.03839,505,1,8.674,2.85,35.82,0.25237,1.00866,0.22712,1.03355,55.101,37.56
"2004-02-15 06:00:00",7956,12.04007,505,1,7.653,2.76,31.35,0.24392,0.98081,0.21365,1.00453,53.142,39.75
"2004-02-15 06:30:00",7957,12.03168,505,1,2.91,2.52,10.38,0.22312,0.91829,0.19864,0.93809,53.144,40.168
