"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-31 06:30:00",6750,11.91164,301,0,0.024,0.17,-0.09,0.01353,-0.00795,-0.01813,-0.08831,52.117,36.8
"2021-01-31 07:00:00",6751,11.90996,301,0,0.149,0.35,0.2,0.02696,0.01565,-0.00541,-0.07333,51.816,36.757
"2021-01-31 07:30:00",6752,11.90996,301,0,0.128,0.33,0.14,0.02535,0.0105,-0.00731,-0.07991,51.231,37.419
"2021-01-31 08:00:00",6753,11.90492,301,0,0.109,0.3,0.1,0.02338,0.0079,-0.00909,-0.07991,51.297,37.065
"2021-01-31 08:30:00",6754,11.90324,301,0,0.091,0.3,0.03,0.02334,0.00262,-0.00731,-0.08409,51.76,36.443
"2021-01-31 09:00:00",6755,11.89317,301,0,0.083,0.27,0.03,0.0213,0.00262,-0.00911,-0.08409,51.613,37.952
"2021-01-31 09:30:00",6756,11.90324,301,0,0.104,0.28,0.1,0.02136,0.0079,-0.00909,-0.08193,51.449,36.542
"2021-01-31 10:00:00",6757,11.89989,301,0,0.091,0.3,0.03,0.02318,0.00262,-0.00911,-0.08193,51.877,36.815
"2021-01-31 10:30:00",6758,11.9066,301,0,0.102,0.3,0.07,0.02318,0.00524,-0.01089,-0.08193,52.184,37.12
"2021-01-31 11:00:00",6759,11.88981,301,0,0.131,0.35,0.13,0.02717,0.01044,-0.00731,-0.07555,51.541,37.888
"2021-01-31 11:30:00",6760,11.89989,301,0,0.145,0.4,0.13,0.03094,0.01044,-0.00365,-0.07555,51.548,37.735
"2021-01-31 12:00:00",6761,11.89821,301,0,0.187,0.42,0.27,0.03264,0.02094,-0.00181,-0.07135,51.766,36.86
"2021-01-31 12:30:00",6762,11.89401,301,0,0.214,0.46,0.33,0.03572,0.02588,0.00352,-0.06655,53.652,37.083
"2021-01-31 13:00:00",6763,11.89149,301,0,0.273,0.54,0.47,0.04174,0.03608,0.00714,-0.06431,53.116,36.391
"2021-01-31 13:30:00",6764,11.88394,301,0,0.316,0.61,0.56,0.04764,0.04366,0.00889,-0.05977,51.584,36.789
"2021-01-31 14:00:00",6765,11.8789,301,0,0.351,0.67,0.63,0.05166,0.04902,0.01608,-0.05589,52.851,38.205
"2021-01-31 14:30:00",6766,11.87051,301,0,0.375,0.72,0.67,0.05574,0.05178,0.01618,-0.05801,54.308,36.182
"2021-01-31 15:00:00",6767,11.86631,301,0,0.369,0.71,0.66,0.05516,0.05152,0.01786,-0.05387,53.179,36.453
"2021-01-31 15:30:00",6768,11.86631,301,0,0.386,0.74,0.69,0.05712,0.05389,0.02142,-0.05373,51.102,39.206
"2021-01-31 16:00:00",6769,11.86295,301,0,0.364,0.72,0.63,0.05574,0.04913,0.01617,-0.05399,52.168,37.526
"2021-01-31 16:30:00",6770,11.86295,301,0,0.364,0.72,0.63,0.0555,0.04902,0.01788,-0.05387,53.57,37.265
"2021-01-31 17:00:00",6771,11.85372,301,0,0.308,0.61,0.53,0.04764,0.04112,0.01074,-0.05589,51.503,37.692
"2021-01-31 17:30:00",6772,11.85288,301,0,0.242,0.56,0.33,0.04348,0.02552,0.00889,-0.07045,53.461,36.9
"2021-01-31 18:00:00",6773,11.8428,301,0,0.107,0.32,0.07,0.02461,0.00512,-0.00539,-0.08091,53.26,36.695
"2021-01-31 18:30:00",6774,11.84952,301,0,0.04,0.2,-0.06,0.01555,-0.00523,-0.01459,-0.08759,51.035,35.975
"2021-01-31 19:00:00",6775,11.84616,301,0,-0.021,0.1,-0.19,0.00771,-0.01561,-0.01995,-0.09415,52.823,36.093
"2021-01-31 19:30:00",6776,11.84196,301,0,-0.053,0.05,-0.26,0.00386,-0.02077,-0.02175,-0.09629,51.821,36.502
