"TOA5","CR300Series_402","CR300","27021","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 12:00:00",0,12.97,402,0,1.245,4.64,10.68,0.411,0.946,0.4,0.91,57.01,49.98
"2021-05-26 12:30:00",1,13.1,402,0,1.165,4.17,10.19,0.369,0.902,0.367,0.885,55.57,49.1
"2021-05-26 13:00:00",2,13.17,402,0,1.204,4.47,10.34,0.396,0.915,0.391,0.903,59.14,50.47
"2021-05-26 13:30:00",3,13.05,402,0,1.207,4.76,10.05,0.422,0.89,0.412,0.883,64.68,49.74
"2021-05-26 14:00:00",4,13.02,402,0,1.185,4.39,10.2,0.388,0.903,0.378,0.884,55.69,49.21
"2021-05-26 14:30:00",5,13.13,402,0,1.183,4.33,10.23,0.383,0.906,0.381,0.89,54.84,49.84
"2021-05-26 15:00:00",6,13.13,402,0,1.13,4.13,9.79,0.365,0.867,0.361,0.857,57.18,50.56
"2021-05-26 15:30:00",7,13.08,402,0,1.103,4.09,9.48,0.362,0.839,0.354,0.819,57.25,49.66
"2021-05-26 16:00:00",8,13,402,0,1.111,4.08,9.6,0.361,0.849,0.355,0.829,56.48,50.67
"2021-05-26 16:30:00",9,12.95,402,0,1.077,3.89,9.38,0.345,0.83,0.336,0.804,54.22,49.22
"2021-05-26 17:00:00",10,12.93,402,0,1.058,3.84,9.19,0.34,0.813,0.329,0.78,55.75,50.35
"2021-05-26 17:30:00",11,12.9,402,0,1.021,3.66,8.92,0.324,0.79,0.313,0.749,54.15,49.82
"2021-05-26 18:00:00",12,12.88,402,0,0.939,3.25,8.34,0.288,0.738,0.283,0.704,53.43,50.48
"2021-05-26 18:30:00",13,12.86,402,0,0.922,3.28,8.08,0.29,0.715,0.274,0.68,53.74,49.56
"2021-05-26 19:00:00",14,12.84,402,0,0.813,2.84,7.19,0.251,0.637,0.24,0.61,52,48.63
"2021-05-26 19:30:00",15,12.83,402,0,0.677,2.35,6,0.208,0.531,0.2,0.504,51.88,48.51
"2021-05-26 20:00:00",16,12.81,402,0,0.515,1.64,4.73,0.145,0.419,0.149,0.412,51.89,48.52
"2021-05-26 20:30:00",17,12.79,402,0,0.411,1.29,3.8,0.114,0.336,0.12,0.336,52.43,48.64
"2021-05-26 21:00:00",18,12.79,402,0,0.353,1.08,3.3,0.096,0.292,0.103,0.294,53.1,48.91
"2021-05-26 21:30:00",19,12.78,402,0,0.304,0.86,2.92,0.076,0.259,0.082,0.265,54.25,48.01
"2021-05-26 22:00:00",20,12.77,402,0,0.276,0.82,2.61,0.073,0.231,0.079,0.24,54.08,49.22
