TOA5,CR300Series_403,CR300,27029,CR300-RF407.Std.10.03,CPU:CR300_sapflow.CR300,8254,Table1,,,,,,
TIMESTAMP,RECORD,BattV_Min,id,SDI0,SapFlwTot0,VhOuter0,VhInner0,AlphaOut0,AlphaIn0,BetaOut0,BetaIn0,tMaxTout0,tMaxTin0
TS,RN,Volts,,,literPerHour,heatVelocity,heatVelocity,logTRatio,logTRatio,logTRatio,logTRatio,second,second
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
5/26/21 12:30,0,12.89,403,0,1.24,0.52,5.01,0.046,0.443,0.043,0.512,53.71,38.52
5/26/21 13:00,1,12.78,403,0,1.171,0.11,5.13,0.01,0.454,0.014,0.53,52.38,39.38
5/26/21 13:30,2,12.76,403,0,1.2,0.08,5.29,0.007,0.469,0.016,0.555,51.57,38.17
5/26/21 14:00,3,12.77,403,0,1.202,0.09,5.29,0.008,0.468,0.015,0.559,53.27,37.26
5/26/21 14:30,4,12.75,403,0,1.196,0.11,5.24,0.01,0.464,0.017,0.562,53.77,37.76
5/26/21 15:00,5,12.74,403,0,1.232,0.17,5.34,0.015,0.473,0.021,0.569,53.48,38.12
5/26/21 15:30,6,12.73,403,0,1.177,0.04,5.23,0.003,0.463,0.009,0.558,53.4,37.38
5/26/21 16:00,7,12.72,403,0,1.166,0,5.22,0,0.462,0.009,0.55,52.37,37.73
5/26/21 16:30,8,12.71,403,0,1.16,0.07,5.12,0.007,0.454,0.009,0.54,54,39.87
5/26/21 17:00,9,12.69,403,0,1.117,0.02,4.98,0.002,0.441,0.011,0.513,52.74,38.61
5/26/21 17:30,10,12.69,403,0,1.059,0.04,4.7,0.003,0.416,0.011,0.477,51.57,40.03
5/26/21 18:00,11,12.68,403,0,0.952,0.02,4.24,0.002,0.375,0.009,0.423,52.53,39.78
5/26/21 18:30,12,12.67,403,0,0.812,-0.05,3.69,-0.005,0.327,0.003,0.365,53.52,41.02
5/26/21 19:00,13,12.67,403,0,0.649,-0.09,3,-0.008,0.265,-0.002,0.299,51.39,41.5
5/26/21 19:30,14,12.66,403,0,0.427,-0.17,2.09,-0.016,0.185,-0.003,0.204,52.26,42.22
5/26/21 20:00,15,12.65,403,0,0.196,-0.26,1.15,-0.024,0.102,-0.011,0.122,50.8,41.72
5/26/21 20:30,16,12.65,403,0,0.034,-0.35,0.52,-0.032,0.046,-0.021,0.073,51.41,42.89
