"TOA5","CR300Series_405","CR300","27023","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 11:00:00",0,0,405,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-05-26 11:30:00",1,12.68,405,1,2.974,9.75,10.1,0.863,0.894,0.801,0.737,48.88,43.4
"2021-05-26 12:00:00",2,12.73,405,1,3.15,10.28,10.75,0.91,0.951,0.816,0.777,46.78,42.54
"2021-05-26 12:30:00",3,12.78,405,1,2.975,9.41,10.47,0.833,0.926,0.836,0.806,49.59,42.87
"2021-05-26 13:00:00",4,12.91,405,1,3.648,13.06,11.21,1.156,0.992,0.935,0.83,44.68,41.42
"2021-05-26 13:30:00",5,13,405,1,3.908,13.38,12.66,1.184,1.121,0.983,0.879,44.81,41.13
"2021-05-26 14:00:00",6,12.98,405,1,3.774,12.85,12.3,1.137,1.089,0.978,0.878,44.48,40.5
"2021-05-26 14:30:00",7,12.97,405,1,3.602,12.19,11.82,1.079,1.047,0.959,0.871,46.78,41.45
"2021-05-26 15:00:00",8,12.91,405,1,3.617,12.11,12.01,1.072,1.063,0.96,0.881,45.67,41.43
"2021-05-26 15:30:00",9,12.93,405,1,3.559,11.83,11.91,1.047,1.054,0.946,0.876,46.4,41.59
"2021-05-26 16:00:00",10,13,405,1,3.871,13.43,12.35,1.189,1.094,0.98,0.866,46.57,40.67
"2021-05-26 16:30:00",11,12.94,405,1,3.718,12.67,12.11,1.121,1.072,0.946,0.838,45.91,41.52
"2021-05-26 17:00:00",12,12.89,405,1,3.617,12.29,11.82,1.088,1.046,0.916,0.824,46.67,42.01
"2021-05-26 17:30:00",13,12.85,405,1,3.56,12.09,11.64,1.07,1.03,0.893,0.796,46.34,42.26
"2021-05-26 18:00:00",14,12.83,405,1,3.477,11.94,11.23,1.057,0.994,0.866,0.76,46.71,42.05
"2021-05-26 18:30:00",15,12.8,405,1,3.257,11.22,10.48,0.993,0.927,0.81,0.706,47.12,43.29
"2021-05-26 19:00:00",16,12.78,405,1,2.953,10.11,9.57,0.895,0.847,0.733,0.635,48.39,43.57
"2021-05-26 19:30:00",17,12.77,405,1,2.624,9.07,8.41,0.803,0.744,0.636,0.543,48.21,44.12
"2021-05-26 20:00:00",18,12.76,405,1,2.042,6.94,6.67,0.614,0.591,0.487,0.418,49.1,44.7
"2021-05-26 20:30:00",19,12.74,405,1,1.62,5.48,5.32,0.485,0.471,0.382,0.325,50.18,43.45
"2021-05-26 21:00:00",20,12.73,405,1,1.295,4.3,4.34,0.38,0.384,0.298,0.256,49.72,42.99
