"TOA5","CR300Series_406","CR300","27024","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 10:30:00",0,12.81,406,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-05-26 11:00:00",1,13.03,406,0,0.226,3.08,-0.86,0.273,-0.077,0.218,-0.281,51.71,41.28
"2021-05-26 11:30:00",2,13.13,406,0,0.298,3.62,-0.64,0.321,-0.058,0.289,-0.259,56.42,42.68
"2021-05-26 12:00:00",3,13.01,406,0,0.336,4.05,-0.68,0.359,-0.062,0.312,-0.267,51.35,41.76
"2021-05-26 12:30:00",4,13.03,406,0,0.269,3.47,-0.8,0.307,-0.072,0.247,-0.282,47.4,40.53
"2021-05-26 13:00:00",5,12.93,406,0,0.335,4.05,-0.7,0.358,-0.063,0.294,-0.282,50.31,40.15
"2021-05-26 13:30:00",6,12.9,406,0,0.429,5.03,-0.72,0.445,-0.065,0.357,-0.297,49.93,39.5
"2021-05-26 14:00:00",7,12.89,406,0,0.321,3.94,-0.73,0.349,-0.065,0.288,-0.283,49.03,40.66
"2021-05-26 14:30:00",8,12.84,406,0,0.28,3.69,-0.92,0.327,-0.083,0.23,-0.31,43.93,38.87
"2021-05-26 15:00:00",9,12.82,406,0,0.271,3.45,-0.76,0.306,-0.068,0.24,-0.294,51.03,39.77
"2021-05-26 15:30:00",10,12.79,406,0,0.306,3.95,-0.91,0.35,-0.082,0.277,-0.307,54.17,39.19
"2021-05-26 16:00:00",11,12.78,406,0,0.273,3.6,-0.9,0.319,-0.08,0.218,-0.31,50.11,38.86
"2021-05-26 16:30:00",12,12.77,406,0,0.162,2.77,-1.25,0.245,-0.111,0.137,-0.333,46.29,37.93
"2021-05-26 17:00:00",13,12.76,406,0,0.117,2.31,-1.25,0.204,-0.112,0.098,-0.331,48.55,38.37
"2021-05-26 17:30:00",14,12.75,406,0,0.064,1.82,-1.3,0.161,-0.116,0.061,-0.333,47.98,37.96
"2021-05-26 18:00:00",15,12.74,406,0,0.04,1.62,-1.36,0.143,-0.122,0.044,-0.338,48.08,38.06
"2021-05-26 18:30:00",16,12.74,406,0,0.013,1.41,-1.43,0.124,-0.127,0.016,-0.341,47.9,37.87
"2021-05-26 19:00:00",17,12.73,406,0,-0.056,0.76,-1.51,0.068,-0.135,-0.035,-0.348,47.45,37.83
"2021-05-26 19:30:00",18,12.72,406,0,-0.098,0.41,-1.6,0.037,-0.142,-0.072,-0.354,47.16,37.7
"2021-05-26 20:00:00",19,12.72,406,0,-0.167,-0.18,-1.73,-0.017,-0.154,-0.119,-0.36,47.25,37.36
