"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-06 12:30:00",5272,12.44,502,0,-0.198,-1.02,-0.73,-0.091,-0.066,-0.137,-0.145,53.82,44.57
"2022-04-06 13:00:00",5273,12.49,502,0,-0.202,-0.94,-0.85,-0.084,-0.076,-0.137,-0.152,55.21,44.56
"2022-04-06 13:30:00",5274,12.52,502,0,-0.295,-1.68,-0.9,-0.149,-0.08,-0.191,-0.152,52.7,43.87
"2022-04-06 14:00:00",5275,12.6,502,0,-0.227,-1.36,-0.62,-0.122,-0.055,-0.175,-0.139,53.2,44.79
"2022-04-06 14:30:00",5276,12.52,502,0,-0.236,-1.46,-0.6,-0.13,-0.054,-0.183,-0.142,51.65,43.39
"2022-04-06 15:00:00",5277,12.48,502,0,-0.176,-1.05,-0.49,-0.094,-0.045,-0.147,-0.135,53.79,44.54
"2022-04-06 15:30:00",5278,12.46,502,0,-0.175,-0.92,-0.62,-0.083,-0.056,-0.137,-0.142,53.95,44.13
"2022-04-06 16:00:00",5279,12.46,502,0,-0.189,-1.04,-0.62,-0.093,-0.056,-0.139,-0.142,54.42,43.93
"2022-04-06 16:30:00",5280,12.47,502,0,-0.15,-0.84,-0.48,-0.076,-0.044,-0.132,-0.131,56.22,44.07
"2022-04-06 17:00:00",5281,12.45,502,0,-0.167,-0.97,-0.49,-0.087,-0.045,-0.146,-0.135,54.05,44.13
"2022-04-06 17:30:00",5282,12.44,502,0,-0.187,-1.11,-0.53,-0.1,-0.048,-0.15,-0.136,51.43,44.42
"2022-04-06 18:00:00",5283,12.44,502,0,-0.235,-1.37,-0.69,-0.122,-0.062,-0.166,-0.148,52.55,44.14
"2022-04-06 18:30:00",5284,12.44,502,0,-0.224,-1.12,-0.86,-0.1,-0.077,-0.151,-0.158,54.73,43.41
"2022-04-06 19:00:00",5285,12.43,502,0,-0.236,-1.13,-0.96,-0.101,-0.086,-0.151,-0.159,53.72,43.39
"2022-04-06 19:30:00",5286,12.43,502,0,-0.227,-1.06,-0.95,-0.095,-0.085,-0.149,-0.16,53.18,42.95
"2022-04-06 20:00:00",5287,12.43,502,0,-0.242,-1.2,-0.94,-0.107,-0.084,-0.155,-0.157,53.26,43.19
"2022-04-06 20:30:00",5288,12.42,502,0,-0.237,-1.12,-0.98,-0.1,-0.088,-0.15,-0.158,54.21,44.55
"2022-04-06 21:00:00",5289,12.42,502,0,-0.219,-1.02,-0.92,-0.091,-0.082,-0.143,-0.158,54.31,43.24
