"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-06 12:30:00",5272,12.44,502,1,-0.219,-0.63,-1.16,-0.057,-0.103,-0.079,-0.152,58.58,56.4
"2022-04-06 13:00:00",5273,12.49,502,1,-0.238,-0.6,-1.35,-0.054,-0.121,-0.07,-0.169,58.61,56.59
"2022-04-06 13:30:00",5274,12.52,502,1,-0.293,-0.94,-1.44,-0.084,-0.129,-0.094,-0.17,56.73,57.72
"2022-04-06 14:00:00",5275,12.6,502,1,-0.199,-0.72,-0.89,-0.064,-0.079,-0.087,-0.128,56.57,57.56
"2022-04-06 14:30:00",5276,12.52,502,1,-0.121,-0.39,-0.6,-0.036,-0.054,-0.07,-0.121,55.16,55.47
"2022-04-06 15:00:00",5277,12.48,502,1,-0.182,-0.62,-0.86,-0.055,-0.077,-0.079,-0.134,57.82,56.47
"2022-04-06 15:30:00",5278,12.46,502,1,-0.209,-0.7,-1,-0.063,-0.09,-0.081,-0.14,57.45,57.35
"2022-04-06 16:00:00",5279,12.46,502,1,-0.173,-0.45,-0.97,-0.04,-0.086,-0.067,-0.143,57.34,57.23
"2022-04-06 16:30:00",5280,12.47,502,1,-0.133,-0.38,-0.71,-0.034,-0.064,-0.051,-0.123,57.85,56.91
"2022-04-06 17:00:00",5281,12.45,502,1,-0.132,-0.39,-0.69,-0.036,-0.062,-0.06,-0.123,57.51,56.32
"2022-04-06 17:30:00",5282,12.44,502,1,-0.146,-0.36,-0.84,-0.033,-0.075,-0.07,-0.132,56.81,55.88
"2022-04-06 18:00:00",5283,12.44,502,1,-0.204,-0.63,-1.03,-0.057,-0.092,-0.078,-0.148,56.02,56.33
"2022-04-06 18:30:00",5284,12.44,502,1,-0.269,-0.78,-1.41,-0.07,-0.126,-0.095,-0.171,55.79,55.27
"2022-04-06 19:00:00",5285,12.43,502,1,-0.324,-1.04,-1.59,-0.093,-0.142,-0.11,-0.187,56.91,56.39
"2022-04-06 19:30:00",5286,12.43,502,1,-0.307,-0.88,-1.62,-0.079,-0.144,-0.096,-0.189,56.5,55.72
"2022-04-06 20:00:00",5287,12.43,502,1,-0.309,-0.91,-1.61,-0.081,-0.144,-0.101,-0.189,57.34,56.82
"2022-04-06 20:30:00",5288,12.42,502,1,-0.306,-0.91,-1.58,-0.082,-0.141,-0.092,-0.186,56.61,55.41
"2022-04-06 21:00:00",5289,12.42,502,1,-0.272,-0.64,-1.59,-0.058,-0.142,-0.069,-0.189,56,55.07
"2022-04-06 21:30:00",5290,12.42,502,1,-0.338,-1.14,-1.6,-0.102,-0.142,-0.111,-0.184,57.23,54.64
