"TOA5","CR300Series_503","CR300","27025","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-12-17 16:30:00",0,12.57,503,1,2.657,2.25,6.7,0.199,0.593,0.266,0.754,47.49,35.01
"2021-12-17 17:00:00",1,12.55,503,1,2.144,1.92,5.3,0.17,0.469,0.241,0.645,47.52,33.94
"2021-12-17 17:30:00",2,12.55,503,1,1.854,1.74,4.5,0.154,0.399,0.226,0.58,48.34,34.09
"2021-12-17 18:00:00",3,12.54,503,1,1.715,1.63,4.14,0.145,0.366,0.219,0.548,47.54,33.95
"2021-12-17 18:30:00",4,12.54,503,1,1.67,1.59,4.03,0.141,0.357,0.215,0.542,47.18,33.84
"2021-12-17 19:00:00",5,12.53,503,1,1.656,1.63,3.94,0.144,0.349,0.216,0.532,47.79,33.24
"2021-12-17 19:30:00",6,12.53,503,1,1.629,1.57,3.91,0.139,0.346,0.214,0.53,48.28,34.04
"2021-12-17 20:00:00",7,12.53,503,1,1.626,1.59,3.88,0.14,0.344,0.213,0.529,47.81,33.27
"2021-12-17 20:30:00",8,12.53,503,1,1.638,1.6,3.91,0.141,0.346,0.214,0.525,47.45,33.88
"2021-12-17 21:00:00",9,12.52,503,1,1.623,1.56,3.9,0.138,0.345,0.211,0.527,47.91,33.5
"2021-12-17 21:30:00",10,12.52,503,1,1.608,1.56,3.85,0.139,0.341,0.211,0.523,47.84,33.85
"2021-12-17 22:00:00",11,12.52,503,1,1.602,1.58,3.81,0.14,0.337,0.212,0.523,47.69,33.13
"2021-12-17 22:30:00",12,12.52,503,1,1.623,1.62,3.84,0.143,0.34,0.213,0.529,47.95,33.8
"2021-12-17 23:00:00",13,12.52,503,1,1.611,1.59,3.83,0.141,0.339,0.211,0.525,48.01,33.75
"2021-12-17 23:30:00",14,12.52,503,1,1.635,1.62,3.88,0.143,0.344,0.213,0.531,46.93,33.75
"2021-12-18 00:00:00",15,12.51,503,1,1.659,1.68,3.9,0.149,0.345,0.218,0.532,48.41,33.34
"2021-12-18 00:30:00",16,12.51,503,1,1.616,1.53,3.91,0.136,0.346,0.21,0.533,47.31,33.71
"2021-12-18 01:00:00",17,12.51,503,1,1.632,1.61,3.88,0.142,0.344,0.217,0.532,46.94,33.35
"2021-12-18 01:30:00",18,12.51,503,1,1.622,1.52,3.94,0.135,0.349,0.212,0.532,47.62,34.02
"2021-12-18 02:00:00",19,12.51,503,1,1.656,1.63,3.94,0.144,0.349,0.216,0.532,47.69,33.93
"2021-12-18 02:30:00",20,12.51,503,1,1.655,1.54,4.03,0.136,0.357,0.217,0.542,47.93,33.26
