"TOA5","CR200Series_301","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-10-31 13:00:00",18565,12.64195,301,1,2.345,7.9,-99,0.61714,-99,0.39798,-99,43.086,33.833
"2021-10-31 13:30:00",18566,12.57228,301,1,2.897,9.76,-99,0.76241,-99,0.37048,-99,38.717,33.364
"2021-10-31 14:00:00",18567,12.63439,301,1,2.87,9.67,-99,0.75554,-99,0.3456,-99,38.157,33.059
"2021-10-31 14:30:00",18568,12.511,301,1,2.648,8.92,-99,0.69718,-99,0.33086,-99,38.517,32.592
"2021-10-31 15:00:00",18569,12.4749,301,1,2.467,8.31,-99,0.64958,-99,0.3007,-99,38.521,32.175
"2021-10-31 15:30:00",18570,12.46986,301,1,2.102,7.08,-99,0.55294,-99,0.25183,-99,38.565,32.221
"2021-10-31 16:00:00",18571,12.43881,301,1,2.001,6.74,-99,0.52643,-99,0.23426,-99,38.764,31.434
"2021-10-31 16:30:00",18572,12.41026,301,1,1.499,5.05,-99,0.39429,-99,0.15571,-99,37.581,31.653
"2021-10-31 17:00:00",18573,12.39683,301,1,0.873,2.94,-99,0.22989,-99,0.06387,-99,35.975,30.463
"2021-10-31 17:30:00",18574,12.39096,301,1,0.496,1.67,-99,0.1306,-99,0.01445,-99,34.538,30.272
"2021-10-31 18:00:00",18575,12.38172,301,1,0.327,1.1,-99,0.08583,-99,-0.01243,-99,35.203,30.105
"2021-10-31 18:30:00",18576,12.36326,301,1,0.324,1.09,-99,0.08553,-99,-0.01051,-99,34.526,29.845
