"TOA5","CR200Series_303","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-09-05 13:00:00",12613,13.17751,303,0,1.172,2.02,1.67,0.16642,0.13743,0.18888,0.28067,37.448,31.11
"2021-09-05 13:30:00",12614,13.14477,303,0,1.342,2.5,1.71,0.20566,0.14116,0.21659,0.28683,36.666,30.744
"2021-09-05 14:00:00",12615,13.14813,303,0,1.212,2.01,1.81,0.1653,0.1494,0.19706,0.30376,35.628,30.277
"2021-09-05 14:30:00",12616,13.15149,303,0,1.341,2.32,1.9,0.19146,0.15683,0.21646,0.3085,35.207,30.117
"2021-09-05 15:00:00",12617,13.15569,303,0,1.395,2.44,1.95,0.20086,0.1604,0.21708,0.31444,35.642,29.715
"2021-09-05 15:30:00",12618,13.11371,303,0,1.396,2.47,1.92,0.2031,0.15826,0.22172,0.31778,35.07,30.235
"2021-09-05 16:00:00",12619,13.07174,303,0,1.347,2.31,1.93,0.19052,0.15892,0.21379,0.3144,36.264,29.352
"2021-09-05 16:30:00",12620,13.02222,303,0,1.285,2.13,1.92,0.17516,0.15833,0.20492,0.31521,35.027,30.088
"2021-09-05 17:00:00",12621,12.90973,303,0,1.282,2.14,1.9,0.17662,0.15612,0.20615,0.31567,35.813,30.458
"2021-09-05 17:30:00",12622,12.85852,303,0,1.256,2.08,1.88,0.171,0.15512,0.19924,0.31638,35.077,29.827
"2021-09-05 18:00:00",12623,12.82998,303,0,1.232,1.93,1.96,0.1592,0.16146,0.19455,0.31736,35.646,29.979
"2021-09-05 18:30:00",12624,12.81068,303,0,1.15,1.68,1.96,0.13821,0.16146,0.18547,0.31736,35.178,30.344
"2021-09-05 19:00:00",12625,12.77794,303,0,1.079,1.51,1.91,0.12442,0.15739,0.17473,0.31639,34.617,30.198
"2021-09-05 19:30:00",12626,12.79053,303,0,1.043,1.41,1.9,0.1158,0.15672,0.17229,0.31465,35.309,29.795
"2021-09-05 20:00:00",12627,12.78381,303,0,1.027,1.37,1.89,0.11264,0.15574,0.17,0.31449,35.769,29.581
"2021-09-05 20:30:00",12628,12.77122,303,0,0.982,1.27,1.85,0.10494,0.1522,0.16498,0.31364,34.88,30.2
"2021-09-05 21:00:00",12629,12.77206,303,0,0.969,1.24,1.84,0.10236,0.15124,0.16498,0.31078,34.947,30.681
"2021-09-05 21:30:00",12630,12.7687,303,0,0.963,1.22,1.84,0.1008,0.15124,0.16334,0.30938,35.296,30.044
"2021-09-05 22:00:00",12631,12.76367,303,0,0.968,1.18,1.9,0.0976,0.15637,0.16383,0.31226,34.936,30.256
"2021-09-05 22:30:00",12632,12.75527,303,0,0.975,1.23,1.87,0.10102,0.15383,0.16472,0.31449,35.126,30.189
"2021-09-05 23:00:00",12633,12.75108,303,0,0.949,1.17,1.85,0.09602,0.1522,0.1593,0.31303,34.656,30.237
"2021-09-05 23:30:00",12634,12.73177,303,0,0.971,1.2,1.89,0.09922,0.15574,0.1636,0.31502,35.335,30.085
"2021-09-06 00:00:00",12635,12.73597,303,0,0.959,1.19,1.86,0.0981,0.15316,0.16256,0.31449,35.142,29.628
"2021-09-06 00:30:00",12636,12.72002,303,0,0.959,1.17,1.88,0.09654,0.15476,0.16146,0.3126,34.779,30.098
"2021-09-06 01:00:00",12637,12.7175,303,0,0.949,1.16,1.86,0.09528,0.15316,0.16024,0.31449,34.466,30.359
"2021-09-06 01:30:00",12638,12.70827,303,0,0.975,1.21,1.89,0.0999,0.15574,0.16308,0.31502,35.662,30.564
"2021-09-06 02:00:00",12639,12.68812,303,0,0.943,1.14,1.86,0.09354,0.1535,0.1579,0.31162,34.412,30.825
"2021-09-06 02:30:00",12640,12.6898,303,0,0.943,1.16,1.84,0.09545,0.15128,0.15978,0.31112,35.081,30.401
"2021-09-06 03:00:00",12641,12.67804,303,0,0.959,1.21,1.84,0.09934,0.15192,0.16308,0.31078,34.718,30.039
