"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-12-13 09:00:00",16056,12.44972,304,0,1.777,0.93,4.23,0.0752,0.34151,0.09934,0.41508,51.668,41.319
"2021-12-13 09:30:00",16057,12.6218,304,0,2.103,1.54,4.54,0.12448,0.36626,0.1343,0.44784,55.065,39.565
"2021-12-13 10:00:00",16058,12.88119,304,0,2.024,1.01,4.87,0.08176,0.39297,0.11478,0.47668,48.203,39.624
"2021-12-13 10:30:00",16059,12.7687,304,0,2.565,2.02,5.39,0.16314,0.43515,-99,-99,-99,43.678
"2021-12-13 11:00:00",16060,12.8963,304,0,2.456,1.3,5.83,0.10474,0.47088,0.13624,0.55866,46.109,38.936
"2021-12-13 11:30:00",16061,12.74352,304,0,2.589,1.47,6.04,0.11858,0.48734,0.13988,0.55404,49.556,40.45
"2021-12-13 12:00:00",16062,12.88539,304,0,1.765,0.13,5.04,0.01051,0.40646,0.076,0.49826,44.394,40.547
"2021-12-13 12:30:00",16063,12.92148,304,0,3.196,2.38,6.86,0.19238,0.55401,-99,0.60428,-99,40.649
"2021-12-13 13:00:00",16064,12.99283,304,0,2.717,1.43,6.46,0.11547,0.52111,0.14134,0.57846,49.486,42.309
"2021-12-13 13:30:00",16065,12.83082,304,0,3.174,1.75,7.46,0.14151,0.60246,0.16213,0.64884,45.752,38.992
"2021-12-13 14:00:00",16066,12.86104,304,0,3.034,1.25,7.58,0.10066,0.61224,0.13092,0.65106,48.83,39.31
"2021-12-13 14:30:00",16067,12.83502,304,0,3.197,2.05,7.21,0.1653,0.58214,0.17504,0.6293,46.955,40.193
"2021-12-13 15:00:00",16068,12.73177,304,0,3.042,1.63,7.2,0.13132,0.58156,0.15075,0.62616,47.66,40.07
"2021-12-13 15:30:00",16069,12.69064,304,0,2.898,1.62,6.79,0.13084,0.54798,0.14894,0.60422,47.531,40.612
"2021-12-13 16:00:00",16070,12.66881,304,0,2.745,1.47,6.5,0.11906,0.52454,0.14124,0.58547,47.478,40.456
"2021-12-13 16:30:00",16071,12.6302,304,0,2.609,1.46,6.11,0.11776,0.4931,0.1416,0.56214,47.803,39.791
"2021-12-13 17:00:00",16072,12.55801,304,0,2.43,1.4,5.65,0.11264,0.45574,0.1405,0.53699,46.861,38.016
"2021-12-13 17:30:00",16073,12.57731,304,0,2.203,1.25,5.14,0.10102,0.41523,0.13145,0.50396,47.721,38.196
"2021-12-13 18:00:00",16074,12.55801,304,0,2.076,1.24,4.78,0.0999,0.38609,0.13052,0.4842,47.926,38.403
"2021-12-13 18:30:00",16075,12.5387,304,0,2.005,1.24,4.57,0.10004,0.36904,0.12913,0.47126,47.968,38.548
"2021-12-13 19:00:00",16076,12.47742,304,0,1.936,1.21,4.4,0.09759,0.35489,0.12684,0.45585,48.122,38.283
"2021-12-13 19:30:00",16077,12.49757,304,0,1.856,1.14,4.24,0.09192,0.34194,0.12323,0.45046,47.239,38.391
"2021-12-13 20:00:00",16078,12.50176,304,0,1.839,1.14,4.19,0.09178,0.33846,0.12323,0.44509,47.926,37.412
"2021-12-13 20:30:00",16079,12.49001,304,0,1.854,1.21,4.16,0.09772,0.33596,0.1287,0.44628,47.556,38.293
"2021-12-13 21:00:00",16080,12.42957,304,0,1.826,1.15,4.14,0.09286,0.33402,0.12419,0.4418,47.286,37.604
"2021-12-13 21:30:00",16081,12.47322,304,0,1.784,1.12,4.05,0.09078,0.32708,0.12058,0.43854,47.773,37.834
"2021-12-13 22:00:00",16082,12.46567,304,0,1.791,1.13,4.06,0.09128,0.32804,0.12277,0.43854,47.157,37.889
"2021-12-13 22:30:00",16083,12.46651,304,0,1.767,1.13,3.99,0.09146,0.32216,0.12277,0.43646,47.918,37.821
"2021-12-13 23:00:00",16084,12.46231,304,0,1.743,1.09,3.96,0.0881,0.31968,0.12142,0.43108,47.384,37.861
