"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-31 07:30:00",2203,11.70514,304,0,1.86,1.16,4.23,0.09402,0.34112,0.12849,0.44658,47.304,39.305
"2021-01-31 08:00:00",2204,11.67575,304,0,1.833,1.19,4.12,0.09601,0.33225,0.13067,0.4408,47.369,39.105
"2021-01-31 08:30:00",2205,11.69086,304,0,1.822,1.16,4.12,0.09384,0.33225,0.12849,0.4351,47.529,39.113
"2021-01-31 09:00:00",2206,11.69842,304,0,1.798,1.14,4.07,0.0918,0.3286,0.1266,0.43165,47.865,39.287
"2021-01-31 09:30:00",2207,11.69842,304,0,1.798,1.14,4.07,0.09166,0.3286,0.1266,0.43732,46.914,38.077
"2021-01-31 10:00:00",2208,11.69674,304,0,1.78,1.1,4.06,0.08912,0.32761,0.12424,0.43732,47.06,38.641
"2021-01-31 10:30:00",2209,11.664,304,0,1.818,1.13,4.14,0.09146,0.33384,0.12638,0.43614,46.695,39.265
"2021-01-31 11:00:00",2210,11.69086,304,0,1.822,1.14,4.14,0.09202,0.33384,0.12874,0.43958,47.158,38.483
"2021-01-31 11:30:00",2211,11.6917,304,0,1.832,1.14,4.17,0.09238,0.33644,0.12919,0.43958,47.221,38.958
"2021-01-31 12:00:00",2212,11.69758,304,0,1.857,1.19,4.19,0.09638,0.33802,0.129,0.44406,47.49,38.498
"2021-01-31 12:30:00",2213,11.69842,304,0,1.881,1.19,4.26,0.09567,0.3442,0.1265,0.44406,47.406,38.411
"2021-01-31 13:00:00",2214,11.65897,304,0,1.878,1.19,4.25,0.09567,0.3427,0.12814,0.44876,48.017,41.259
"2021-01-31 13:30:00",2215,11.68583,304,0,1.918,1.14,4.42,0.09222,0.35665,0.125,0.45989,47.599,38.763
"2021-01-31 14:00:00",2216,11.68247,304,0,1.948,1.15,4.5,0.09256,0.36322,0.12548,0.46302,47.702,39.437
"2021-01-31 14:30:00",2217,11.68079,304,0,1.936,1.23,4.38,0.0994,0.35338,0.1302,0.45824,48.831,39.427
"2021-01-31 15:00:00",2218,11.64637,304,0,1.953,1.2,4.46,0.09724,0.3599,0.12814,0.45914,48.473,39.796
"2021-01-31 15:30:00",2219,11.68331,304,0,1.921,1.14,4.43,0.0924,0.35774,0.12712,0.4566,47.94,38.017
"2021-01-31 16:00:00",2220,11.66652,304,0,1.956,1.2,4.47,0.09672,0.36098,0.12973,0.46041,48.369,39.378
"2021-01-31 16:30:00",2221,11.67827,304,0,1.911,1.16,4.38,0.09328,0.35376,0.12804,0.46132,47.544,39.955
"2021-01-31 17:00:00",2222,11.66904,304,0,1.912,1.23,4.31,0.09922,0.34808,0.12876,0.44884,48.628,40.469
"2021-01-31 17:30:00",2223,11.67492,304,0,1.824,1.08,4.21,0.08686,0.3395,0.12024,0.44326,48.37,38.861
"2021-01-31 18:00:00",2224,11.66904,304,0,1.807,1.09,4.15,0.08766,0.33495,0.1211,0.4377,47.906,39.071
"2021-01-31 18:30:00",2225,11.67911,304,0,1.804,1.11,4.12,0.08933,0.33232,0.1248,0.44252,47.522,40.093
"2021-01-31 19:00:00",2226,11.67743,304,0,1.767,1.11,4.01,0.0899,0.32402,0.12378,0.43488,47.627,37.549
"2021-01-31 19:30:00",2227,11.67743,304,0,1.821,1.25,4.02,0.10112,0.32423,0.12595,0.4313,49.817,39.058
"2021-01-31 20:00:00",2228,11.64973,304,0,1.653,1.02,3.77,0.08194,0.3046,0.11992,0.42021,46.383,38.38
"2021-01-31 20:30:00",2229,11.67827,304,0,1.585,0.89,3.71,0.07156,0.29916,0.11408,0.41567,46.746,38.588
"2021-01-31 21:00:00",2230,11.66652,304,0,1.681,1.08,3.79,0.0868,0.30556,0.12273,0.42142,46.937,38.106
"2021-01-31 21:30:00",2231,11.68163,304,0,1.699,1.14,3.78,0.09238,0.30538,0.12798,0.41567,47.565,39.152
