"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-31 07:30:00",2203,11.70514,304,1,0.541,0.77,0.54,0.06123,0.04339,0.05562,0.00303,50.902,45.216
"2021-01-31 08:00:00",2204,11.67575,304,1,0.475,0.69,0.46,0.05526,0.03674,0.04808,0.00303,50.992,46.298
"2021-01-31 08:30:00",2205,11.69086,304,1,0.425,0.61,0.42,0.04904,0.0333,0.04228,-0.00305,51.762,45.14
"2021-01-31 09:00:00",2206,11.69842,304,1,0.393,0.62,0.33,0.04946,0.02667,0.04648,-0.00909,52.021,45.087
"2021-01-31 09:30:00",2207,11.69842,304,1,0.427,0.7,0.33,0.05562,0.02667,0.0503,-0.00305,51.56,45.196
"2021-01-31 10:00:00",2208,11.69674,304,1,0.402,0.64,0.33,0.05105,0.02658,0.04612,-0.00909,51.714,45.194
"2021-01-31 10:30:00",2209,11.664,304,1,0.401,0.59,0.38,0.04696,0.02992,0.04425,-0.00305,51.501,44.878
"2021-01-31 11:00:00",2210,11.69086,304,1,0.393,0.57,0.38,0.04554,0.02992,0.0427,-0.00307,51.624,46.775
"2021-01-31 11:30:00",2211,11.6917,304,1,0.417,0.59,0.42,0.04708,0.03311,0.04607,0.00298,52.269,46.326
"2021-01-31 12:00:00",2212,11.69758,304,1,0.505,0.76,0.46,0.06034,0.03635,0.05124,0,52.225,46.44
"2021-01-31 12:30:00",2213,11.69842,304,1,0.426,0.66,0.37,0.05261,0.02955,0.0494,-0.00605,51.034,45.665
