"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-09-17 08:30:00",25794,12.81907,305,1,-0.699,-0.93,-2.38,-0.07065,-0.17891,-0.12757,-0.36571,45.821,44.061
"2022-09-17 09:00:00",25795,12.85097,305,1,-0.658,-0.98,-2.13,-0.07409,-0.16003,-0.12397,-0.34121,46.404,45.732
"2022-09-17 09:30:00",25796,12.85097,305,1,-0.394,-0.38,-1.5,-0.02933,-0.11277,-0.09335,-0.31053,48.374,47.028
"2022-09-17 10:00:00",25797,12.88874,305,1,-0.122,0.12,-0.72,0.00898,-0.05467,-0.07187,-0.27435,49.506,47.334
"2022-09-17 10:30:00",25798,12.97269,305,1,0.201,0.85,0.06,0.0638,0.00478,-0.02371,-0.23135,51.425,49.251
"2022-09-17 11:00:00",25799,12.92736,305,1,0.26,0.92,0.27,0.06911,0.01992,-0.03039,-0.23665,48.649,48.545
"2022-09-17 11:30:00",25800,12.97185,305,1,0.187,0.75,0.1,0.05624,0.00737,-0.03851,-0.24487,48.091,47.989
"2022-09-17 12:00:00",25801,12.99199,305,1,0.172,0.72,0.06,0.05368,0.00473,-0.03925,-0.23307,48.963,48.861
"2022-09-17 12:30:00",25802,13.24047,305,1,0.233,0.93,0.13,0.06947,0.00992,-0.04635,-0.25365,46.396,45.878
"2022-09-17 13:00:00",25803,13.28076,305,1,0.333,1.24,0.28,0.09266,0.02096,-99,-0.19919,-99,53.116
