"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-04-18 08:00:00",0,12.62348,305,0,0.866,2.46,-99,0.19971,-99,0.18148,-99,51.706,-99
"2024-04-18 08:30:00",1,12.62348,305,0,1.07,3.04,-99,0.24694,-99,0.22926,-99,55.275,-99
"2024-04-18 09:00:00",2,12.62852,305,0,1.081,3.07,-99,0.24874,-99,0.21471,-99,49.267,-99
"2024-04-18 09:30:00",3,12.61593,305,0,1.239,3.52,-99,0.28546,-99,0.24478,-99,50.54,-99
"2024-04-18 10:00:00",4,12.62432,305,0,1.493,4.24,-99,0.34435,-99,0.29524,-99,51.078,-99
"2024-04-18 10:30:00",5,12.62264,305,0,1.546,4.39,-99,0.356,-99,0.29389,-99,50.907,-99
"2024-04-18 11:00:00",6,12.61173,305,0,1.711,4.86,-99,0.3943,-99,0.34236,-99,54.115,-99
"2024-04-18 11:30:00",7,12.61761,305,0,1.908,5.42,-99,0.44002,-99,0.37692,-99,53.284,-99
"2024-04-18 12:00:00",8,12.61509,305,0,2.084,5.92,-99,0.48006,-99,0.40742,-99,51.569,-99
"2024-04-18 12:30:00",9,12.59914,305,0,1.634,4.64,-99,0.3761,-99,0.35812,-99,60.254,-99
"2024-04-18 13:00:00",10,12.61593,305,0,1.87,5.31,-99,0.4306,-99,0.38004,-99,50.665,-99
"2024-04-18 13:30:00",11,12.60166,305,0,1.912,5.43,-99,0.44072,-99,0.39035,-99,51.842,-99
"2024-04-18 14:00:00",12,12.61761,305,0,2.053,5.83,-99,0.47259,-99,0.39548,-99,48.651,-99
"2024-04-18 14:30:00",13,12.61341,305,0,1.996,5.67,-99,0.46,-99,0.39368,-99,50.087,-99
"2024-04-18 15:00:00",14,12.61173,305,0,2.046,5.81,-99,0.4717,-99,0.38256,-99,50.337,-99
"2024-04-18 15:30:00",15,12.60501,305,0,1.732,4.92,-99,0.3994,-99,0.30914,-99,47.52,-99
"2024-04-18 16:00:00",16,12.59074,305,0,1.32,3.75,-99,0.30382,-99,0.25482,-99,48.655,-99
"2024-04-18 16:30:00",17,12.6025,305,0,1.229,3.49,-99,0.28284,-99,0.22823,-99,48.033,-99
"2024-04-18 17:00:00",18,12.59746,305,0,0.965,2.74,-99,0.22254,-99,0.1897,-99,48.168,-99
"2024-04-18 17:30:00",19,12.59746,305,0,0.88,2.5,-99,0.20312,-99,0.1751,-99,48.64,-99
"2024-04-18 18:00:00",20,12.57899,305,0,0.838,2.38,-99,0.19346,-99,0.15905,-99,49.267,-99
"2024-04-18 18:30:00",21,12.58906,305,0,0.76,2.16,-99,0.17558,-99,0.14746,-99,48.405,-99
"2024-04-18 19:00:00",22,12.57228,305,0,0.644,1.83,-99,0.14823,-99,0.12716,-99,48.874,-99
"2024-04-18 19:30:00",23,12.57731,305,0,0.595,1.69,-99,0.13691,-99,0.11657,-99,48.367,-99
"2024-04-18 20:00:00",24,12.57731,305,0,0.451,1.28,-99,0.10362,-99,0.09028,-99,48.255,-99
"2024-04-18 20:30:00",25,12.56892,305,0,0.317,0.9,-99,0.07271,-99,0.06422,-99,48.58,-99
"2024-04-18 21:00:00",26,12.57144,305,0,0.303,0.86,-99,0.07009,-99,0.05656,-99,46.042,-99
"2024-04-18 21:30:00",27,12.55297,305,0,0.296,0.84,-99,0.06825,-99,0.06594,-99,50.457,-99
"2024-04-18 22:00:00",28,12.54793,305,0,0.215,0.61,-99,0.0494,-99,0.05312,-99,50.375,-99
"2024-04-18 22:30:00",29,12.54457,305,0,0.208,0.59,-99,0.04824,-99,0.03941,-99,48.289,-99
"2024-04-18 23:00:00",30,12.54877,305,0,0.141,0.4,-99,0.03212,-99,0.0348,-99,46.328,-99
"2024-04-18 23:30:00",31,12.54373,305,0,0.113,0.32,-99,0.02628,-99,0.02447,-99,48.079,-99
