"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-09-17 08:30:00",25794,12.81907,305,0,0.169,0.12,0.38,0.00937,0.03091,-0.00437,0.03506,46.176,41.496
"2022-09-17 09:00:00",25795,12.85097,305,0,0.244,0.22,0.5,0.01809,0.04068,0.00426,0.0418,48.522,42.442
"2022-09-17 09:30:00",25796,12.85097,305,0,0.458,0.62,0.72,0.05036,0.05802,0.02908,0.0483,49.182,44.351
"2022-09-17 10:00:00",25797,12.88874,305,0,0.953,1.5,1.28,0.12142,0.10397,0.08518,0.07869,49.643,44.97
"2022-09-17 10:30:00",25798,12.97269,305,0,1.271,2.09,1.61,0.16964,0.13036,0.11628,0.09484,49.922,44.262
"2022-09-17 11:00:00",25799,12.92736,305,0,1.223,1.85,1.72,0.1501,0.13954,0.11572,0.10146,54.059,46.483
"2022-09-17 11:30:00",25800,12.97185,305,0,1.43,2.43,1.73,0.1969,0.14018,0.12913,0.10018,50.563,47.14
"2022-09-17 12:00:00",25801,12.99199,305,0,1.643,2.59,2.2,0.20994,0.17878,0.16435,0.126,53.159,46.676
"2022-09-17 12:30:00",25802,13.24047,305,0,1.789,3.11,2.09,0.2526,0.16988,0.18052,0.11283,52.138,44.308
"2022-09-17 13:00:00",25803,13.28076,305,0,2.146,3.84,2.39,0.31192,0.19398,0.17208,0.12271,45.524,43.19
"2022-09-17 13:30:00",25804,13.27573,305,0,1.948,3.26,2.41,0.26471,0.19518,0.15482,0.12586,45.989,43.551
"2022-09-17 14:00:00",25805,13.18339,305,0,1.677,2.82,2.06,0.22886,0.16726,0.1246,0.10682,44.189,42.839
"2022-09-17 14:30:00",25806,13.1112,305,0,1.707,2.8,2.17,0.2273,0.17636,0.14012,0.11332,45.322,42.885
"2022-09-17 15:00:00",25807,13.10784,305,0,1.676,2.91,1.96,0.23624,0.15868,0.14235,0.10332,45.32,42.157
"2022-09-17 15:30:00",25808,13.08182,305,0,2.01,3.52,2.32,0.28552,0.18856,0.15247,0.11407,44.978,41.709
"2022-09-17 16:00:00",25809,13.03984,305,0,1.554,2.63,1.89,0.2131,0.1533,0.13592,0.09913,46.358,42.933
"2022-09-17 16:30:00",25810,13.00878,305,0,1.782,2.91,2.28,0.2361,0.185,0.13176,0.1111,44.646,40.807
"2022-09-17 17:00:00",25811,12.99703,305,0,1.54,2.59,1.89,0.21051,0.15323,0.10924,0.09528,43.144,40.551
"2022-09-17 17:30:00",25812,12.97605,305,0,1.273,2.06,1.65,0.1675,0.13353,0.08642,0.08408,43.363,39.107
"2022-09-17 18:00:00",25813,12.9517,305,0,1.007,1.52,1.42,0.12301,0.11558,0.0622,0.07674,41.715,38.862
"2022-09-17 18:30:00",25814,12.95002,305,0,0.704,1.01,1.05,0.08234,0.08534,0.03821,0.06701,41.418,38.821
"2022-09-17 19:00:00",25815,12.93239,305,0,0.483,0.59,0.83,0.04785,0.06722,0.01797,0.05712,41.173,39.561
"2022-09-17 19:30:00",25816,12.91393,305,0,0.377,0.43,0.68,0.03485,0.0549,0.00906,0.05232,41.178,38.839
"2022-09-17 20:00:00",25817,12.91225,305,0,0.302,0.3,0.59,0.02413,0.04812,0.0023,0.04428,42.113,39.256
"2022-09-17 20:30:00",25818,12.90217,305,0,0.278,0.26,0.56,0.02118,0.04518,-0.00229,0.04762,41.179,38.997
"2022-09-17 21:00:00",25819,12.89462,305,0,0.236,0.19,0.51,0.01577,0.04145,-0.00229,0.04465,41.975,39.222
"2022-09-17 21:30:00",25820,12.88371,305,0,0.246,0.19,0.54,0.01555,0.04402,0.00226,0.04185,42.699,39.53
"2022-09-17 22:00:00",25821,12.87783,305,0,0.222,0.16,0.5,0.01294,0.04052,-0.00229,0.04698,41.624,39.598
