"TOA5","CR200Series_306","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-30 00:30:00",13366,11.16706,306,0,1.335,1.78,2.42,0.13938,0.18994,0.22526,0.31955,31.955,28.947
"2021-08-30 01:00:00",13367,11.14691,306,0,1.373,1.84,2.48,0.1442,0.19414,0.22956,0.31955,32.629,29.619
"2021-08-30 01:30:00",13368,11.16538,306,0,1.313,1.77,2.36,0.1388,0.18485,0.22526,0.31661,32.367,29.514
"2021-08-30 02:00:00",13369,11.16118,306,0,1.3,1.73,2.36,0.13567,0.18485,0.22312,0.30956,32.425,30.088
"2021-08-30 02:30:00",13370,11.15446,306,0,1.298,1.78,2.3,0.13938,0.18062,0.22603,0.31364,32.21,29.461
"2021-08-30 03:00:00",13371,11.14355,306,0,1.31,1.76,2.36,0.13775,0.18485,0.22526,0.31661,32.791,28.534
"2021-08-30 03:30:00",13372,11.14103,306,0,1.252,1.68,2.26,0.13194,0.17729,0.2175,0.31146,32.796,29.214
"2021-08-30 04:00:00",13373,11.15194,306,0,1.264,1.65,2.33,0.12932,0.18233,0.21886,0.31146,32.786,29.102
"2021-08-30 04:30:00",13374,11.14775,306,0,1.265,1.69,2.29,0.1324,0.17978,0.22026,0.31364,31.846,29.511
"2021-08-30 05:00:00",13375,11.14103,306,0,1.293,1.72,2.35,0.13456,0.18396,0.22242,0.31364,33.028,30.279
"2021-08-30 05:30:00",13376,11.11585,306,0,1.236,1.61,2.28,0.12613,0.17895,0.21958,0.31364,32.571,29.562
"2021-08-30 06:00:00",13377,11.12005,306,0,1.313,1.77,2.36,0.1388,0.18485,0.2267,0.31067,31.959,28.95
"2021-08-30 06:30:00",13378,11.13264,306,0,1.285,1.76,2.28,0.13827,0.17895,0.22312,0.31364,31.636,29.457
"2021-08-30 07:00:00",13379,11.12592,306,0,1.523,2.06,2.73,0.1619,0.21393,0.23732,0.33058,33.201,29.36
"2021-08-30 07:30:00",13380,11.10829,306,0,2.109,2.91,3.72,0.22826,0.29158,0.27315,0.36612,33.601,30.02
"2021-08-30 08:00:00",13381,11.12592,306,0,2.497,3.46,4.39,0.27154,0.34392,0.30116,0.39012,34.608,31.336
"2021-08-30 08:30:00",13382,11.13096,306,0,2.928,4.12,5.08,0.32277,0.39827,0.33069,0.41238,34.23,32.051
"2021-08-30 09:00:00",13383,11.12844,306,0,3.295,4.7,5.65,0.36846,0.44336,0.36506,0.43882,34.711,32.272
"2021-08-30 09:30:00",13384,11.13432,306,0,3.339,4.73,5.76,0.37111,0.45196,0.36514,0.44274,35.849,32.423
"2021-08-30 10:00:00",13385,11.13599,306,0,3.621,5.05,6.33,0.3963,0.4962,0.3826,0.46735,34.591,31.426
"2021-08-30 10:30:00",13386,11.12676,306,0,3.565,4.9,6.31,0.38407,0.4952,0.3804,0.47264,37.166,31.662
"2021-08-30 11:00:00",13387,11.15362,306,0,3.696,5.27,6.34,0.41311,0.49716,0.3864,0.4662,34.873,32.279
"2021-08-30 11:30:00",13388,11.16202,306,0,3.586,4.99,6.28,0.39158,0.49276,0.38096,0.46735,36.529,32.531
"2021-08-30 12:00:00",13389,11.14607,306,0,3.947,5.77,6.62,0.45246,0.51923,0.4041,0.48144,34.557,32.117
"2021-08-30 12:30:00",13390,11.17377,306,0,3.777,5.27,6.6,0.41324,0.51754,0.39531,0.48216,34.774,32.438
"2021-08-30 13:00:00",13391,11.2233,306,0,4.08,5.91,6.9,0.46341,0.54146,0.4121,0.48716,34.555,31.803
"2021-08-30 13:30:00",13392,11.30472,306,0,4.059,5.78,6.97,0.4533,0.54684,0.41054,0.49275,35.698,32.688
"2021-08-30 14:00:00",13393,11.2787,306,0,3.741,4.99,6.78,0.39133,0.53197,0.38478,0.48614,35.331,32.166
"2021-08-30 14:30:00",13394,11.38783,306,0,3.55,5.1,6.05,0.39971,0.47435,0.38622,0.46306,35.605,33.01
