"TOA5","CR200Series_306","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-09-17 06:00:00",29016,12.54122,306,0,1.365,1.88,2.41,0.14767,0.18868,0.23379,0.3196,32.501,29.073
"2022-09-17 06:30:00",29017,12.52779,306,0,1.341,1.78,2.44,0.13938,0.19173,0.23105,0.3229,32.916,29.644
"2022-09-17 07:00:00",29018,12.51435,306,0,1.291,1.76,2.3,0.13775,0.18062,0.22886,0.3177,32.503,29.23
"2022-09-17 07:30:00",29019,12.48497,306,0,1.314,1.82,2.31,0.14252,0.18151,0.22931,0.31844,32.718,29.704
"2022-09-17 08:00:00",29020,12.30701,306,0,1.405,1.91,2.51,0.14986,0.1969,0.2275,0.3226,33.175,30.006
"2022-09-17 08:30:00",29021,12.54625,306,0,1.625,2.23,2.88,0.17449,0.22603,0.24716,0.33314,33.345,30.177
"2022-09-17 09:00:00",29022,12.5664,306,0,1.882,2.53,3.39,0.1984,0.26588,0.25606,0.35046,33.768,30.494
"2022-09-17 09:30:00",29023,12.58571,306,0,2.261,3.11,4,0.24373,0.31345,0.29029,0.37142,34.295,31.124
"2022-09-17 10:00:00",29024,12.5706,306,0,2.571,3.58,4.5,0.28056,0.35308,0.30988,0.3886,36.525,31.848
"2022-09-17 10:30:00",29025,12.68224,306,0,2.807,3.97,4.85,0.31129,0.38002,0.3294,0.3968,36.256,32.255
"2022-09-17 11:00:00",29026,12.75275,306,0,2.905,4.21,4.91,0.3305,0.3848,0.3401,0.40267,35.858,32.685
"2022-09-17 11:30:00",29027,12.83838,306,0,2.912,4.27,4.87,0.3347,0.38187,0.33232,0.40138,36.88,33.449
"2022-09-17 12:00:00",29028,12.69987,306,0,2.943,4.27,4.97,0.33514,0.38994,0.34072,0.41635,35.018,32.263
"2022-09-17 12:30:00",29029,12.73261,306,0,3.062,4.32,5.3,0.33889,0.41548,0.34436,0.42216,34.443,31.689
"2022-09-17 13:00:00",29030,12.73177,306,0,3.093,4.32,5.4,0.33906,0.4236,0.34389,0.41922,34.631,31.358
"2022-09-17 13:30:00",29031,12.75275,306,0,2.992,4.23,5.17,0.33157,0.40544,0.34362,0.40544,35.796,32.781
"2022-09-17 14:00:00",29032,12.80312,306,0,3.014,4.23,5.24,0.33171,0.41072,0.33538,0.4,33.896,32.805
"2022-09-17 14:30:00",29033,13.0071,306,0,2.812,3.87,4.97,0.3031,0.38976,0.32121,0.39587,35.485,32.316
"2022-09-17 15:00:00",29034,13.25474,306,0,2.815,3.73,5.13,0.29247,0.40195,0.31718,0.4013,34.936,32.595
"2022-09-17 15:30:00",29035,13.07006,306,0,2.643,3.46,4.86,0.27121,0.38082,0.31632,0.38788,32.798,32.121
"2022-09-17 16:00:00",29036,12.96597,306,0,2.527,3.4,4.55,0.26671,0.35708,0.29916,0.3749,38.444,32.675
"2022-09-17 16:30:00",29037,12.66377,306,0,2.803,3.91,4.9,0.30686,0.38418,0.32252,0.39467,34.911,31.48
"2022-09-17 17:00:00",29038,13.0071,306,0,3.107,4.63,5.12,0.36337,0.40157,0.35256,0.40258,32.941,31.59
"2022-09-17 17:30:00",29039,12.95002,306,0,2.96,4.18,5.12,0.32807,0.40136,0.33872,0.40984,33.098,30.915
"2022-09-17 18:00:00",29040,12.7494,306,0,2.73,3.84,4.74,0.30118,0.37174,0.32474,0.39971,33.728,30.869
"2022-09-17 18:30:00",29041,12.69735,306,0,2.573,3.53,4.56,0.27673,0.35781,0.30939,0.3968,33.039,30.856
"2022-09-17 19:00:00",29042,12.58319,306,0,2.272,3.16,3.98,0.24744,0.3121,0.29644,0.37142,33.145,29.715
"2022-09-17 19:30:00",29043,12.60585,306,0,2.036,2.82,3.58,0.2212,0.28042,0.27693,0.36234,32.738,30.139
"2022-09-17 20:00:00",29044,12.64699,306,0,1.883,2.57,3.35,0.2019,0.26276,0.26238,0.35368,33.202,30.602
