"TOA5","CR200Series_506","CR200X","No_SN","CR200X.Std.00","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-07-07 13:00:00",10409,11.94018,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 13:30:00",10410,11.87134,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 14:00:00",10411,11.86715,506,0,1.659,1.71,6.88,0.15124,0.60899,0.1297,0.48279,65.683,56.03
"2023-07-07 14:30:00",10412,11.85036,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 15:00:00",10413,11.8512,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 15:30:00",10414,11.8554,506,0,1.55,1.34,6.7,0.11843,0.59306,0.09192,0.47805,67.196,57.962
"2023-07-07 16:00:00",10415,11.85959,506,0,1.246,1.12,5.34,0.09936,0.47288,0.07586,0.37208,62.991,57.9
"2023-07-07 16:30:00",10416,11.84532,506,0,0.715,0.59,3.12,0.05252,0.27654,0.03524,0.21904,63.986,57.388
"2023-07-07 17:00:00",10417,11.85288,506,0,0.4,0.25,1.83,0.02232,0.16212,0.01463,0.1291,63.308,56.97
"2023-07-07 17:30:00",10418,11.8428,506,0,0.138,0.03,0.69,0.00252,0.06106,-0.00749,0.04136,63.436,53.606
"2023-07-07 18:00:00",10419,11.80419,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 18:30:00",10420,11.82937,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 19:00:00",10421,11.7874,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 19:30:00",10422,11.80251,506,0,0.317,0.18,1.47,0.01584,0.13052,0.00783,0.10042,63.782,55.369
"2023-07-07 20:00:00",10423,11.80251,506,0,0.209,0.06,1.03,0.00506,0.09128,-0.00503,0.06759,62.939,54.266
"2023-07-07 20:30:00",10424,11.82518,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 21:00:00",10425,11.78404,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 21:30:00",10426,11.81594,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 22:00:00",10427,11.80839,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-07 22:30:00",10428,11.80335,506,0,-0.079,-0.17,-0.24,-0.01589,-0.02225,-0.02087,-0.02499,61.8,53.8
"2023-07-07 23:00:00",10429,11.7916,506,0,-0.084,-0.23,-0.2,-0.02121,-0.01857,-0.02087,-0.02863,61.812,53.813
"2023-07-07 23:30:00",10430,11.78152,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 00:00:00",10431,11.73955,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 00:30:00",10432,11.77397,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 01:00:00",10433,11.78069,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 01:30:00",10434,11.78069,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 02:00:00",10435,11.77733,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 02:30:00",10436,11.78152,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-07-08 03:00:00",10437,11.77229,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
