"TOA5","CR200Series_601","CR200X","No_SN","CR200X.Std.02","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-04-18 07:30:00",0,13.01046,601,1,1.765,3.49,2,0.27338,0.15706,0.15135,0.0367,32.587,24.863
"2024-04-18 08:00:00",1,12.9878,601,1,2.705,5.22,3.2,0.40947,0.25099,0.22998,0.0636,34.163,25.086
"2024-04-18 08:30:00",2,12.97688,601,1,3.448,6.56,4.18,0.51408,0.32786,0.29445,0.0921,34.535,25.717
"2024-04-18 09:00:00",3,12.96681,601,1,3.502,6.77,4.13,0.53102,0.32398,0.29396,0.08796,34.491,25.1
"2024-04-18 09:30:00",4,12.95926,601,1,3.569,6.69,4.43,0.52483,0.34737,0.31583,0.104,35.56,25.9
"2024-04-18 10:00:00",5,12.9475,601,1,4.196,7.77,5.31,0.60958,0.41667,0.36753,0.12154,34.822,26.256
"2024-04-18 10:30:00",6,12.95254,601,1,4.509,8.49,5.56,0.66598,0.43574,0.37645,0.12556,35.034,25.793
"2024-04-18 11:00:00",7,12.93995,601,1,4.596,8.49,5.84,0.66585,0.45782,0.38694,0.13176,34.513,26.101
"2024-04-18 11:30:00",8,12.94163,601,1,4.634,8.69,5.75,0.68142,0.45064,0.3943,0.13264,34.884,26.628
"2024-04-18 12:00:00",9,12.92568,601,1,4.544,8.54,5.62,0.67004,0.44103,0.38858,0.13188,34.64,26.379
"2024-04-18 12:30:00",10,12.92316,601,1,4.24,7.81,5.41,0.61223,0.42404,0.3903,0.129,35.521,26.116
