"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-31 06:30:00",6750,11.91164,301,1,-0.131,-0.02,-0.45,-0.00271,-0.03619,-0.05581,-0.14871,35.528,30.005
"2021-01-31 07:00:00",6751,11.90996,301,1,-0.006,0.27,-0.31,0.02112,-0.02505,-0.04287,-0.14321,36.452,30.095
"2021-01-31 07:30:00",6752,11.90996,301,1,-0.055,0.14,-0.35,0.01072,-0.02789,-0.04737,-0.14697,35.797,30.019
"2021-01-31 08:00:00",6753,11.90492,301,1,-0.125,0,-0.45,0,-0.03619,-0.05593,-0.15073,34.988,29.726
"2021-01-31 08:30:00",6754,11.90324,301,1,-0.175,-0.13,-0.49,-0.01075,-0.03909,-0.06247,-0.15101,35.77,30.094
"2021-01-31 09:00:00",6755,11.89317,301,1,-0.205,-0.13,-0.6,-0.01075,-0.04747,-0.06027,-0.15475,35.972,30.035
"2021-01-31 09:30:00",6756,11.90324,301,1,-0.223,-0.16,-0.63,-0.01343,-0.05035,-0.06455,-0.15675,35.929,29.156
"2021-01-31 10:00:00",6757,11.89989,301,1,-0.214,-0.13,-0.63,-0.01063,-0.05017,-0.06223,-0.15475,36.04,29.947
"2021-01-31 10:30:00",6758,11.9066,301,1,-0.182,-0.09,-0.56,-0.00801,-0.04461,-0.06015,-0.15297,35.99,29.791
"2021-01-31 11:00:00",6759,11.88981,301,1,-0.163,-0.09,-0.49,-0.00805,-0.03903,-0.05605,-0.14931,35.154,29.634
