"TOA5","CR300Series_402","CR300","27021","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-11 10:30:00",3692,11.73,402,0,0.942,5.45,5.88,0.482,1.122,0.47,1.067,61.54,52.43
"2021-08-11 11:00:00",3693,11.8,402,0,1.359,5.18,11.53,0.458,1.021,-99,1.008,-99,53.89
"2021-08-11 11:30:00",3694,11.78,402,0,1.462,6.73,11.09,0.595,1.236,0.532,1.143,54.05,50.52
"2021-08-11 12:00:00",3695,11.77,402,0,1.332,4.63,11.8,0.41,1.044,-99,1.056,-99,53.8
"2021-08-11 12:30:00",3696,11.98,402,0,0.679,5.73,2.19,0.508,1.011,-99,1.04,66.51,53.17
"2021-08-11 13:00:00",3697,11.99,402,0,1.248,5.01,10.3,0.444,1.136,0.433,1.109,51.34,50.83
"2021-08-11 13:30:00",3698,11.92,402,0,1.673,6.87,13.63,0.608,1.339,0.572,1.246,55.39,49.3
"2021-08-11 14:00:00",3699,11.88,402,0,1.679,6.87,13.7,0.608,1.378,0.558,1.258,53.45,49.26
"2021-08-11 14:30:00",3700,11.88,402,0,1.466,6.61,11.27,0.585,1.261,0.552,1.189,57.91,50.45
"2021-08-11 15:00:00",3701,11.97,402,0,1.394,5.99,11.05,0.53,1.165,0.514,1.124,58.15,50.54
"2021-08-11 15:30:00",3702,12.01,402,0,1.246,6.17,8.95,0.546,1.169,0.521,1.117,58.3,51.41
"2021-08-11 16:00:00",3703,11.93,402,0,1.177,5.56,8.76,0.492,1.151,0.473,1.087,58.95,51.49
"2021-08-11 16:30:00",3704,11.91,402,0,1.223,5.77,9.11,0.511,1.13,0.488,1.07,60.19,51.36
"2021-08-11 17:00:00",3705,11.88,402,0,1.262,5.85,9.53,0.518,1.164,0.478,1.068,57.02,51.2
"2021-08-11 17:30:00",3706,11.87,402,0,1.146,5.08,8.91,0.45,1.108,0.423,1.016,54.8,51.42
"2021-08-11 18:00:00",3707,11.86,402,0,1.162,5.56,8.57,0.492,1.118,0.439,1,55.2,51.57
"2021-08-11 18:30:00",3708,11.85,402,0,1.257,4.58,10.9,0.405,0.964,0.371,0.884,54.53,51.97
"2021-08-11 19:00:00",3709,11.84,402,0,1.054,3.77,9.22,0.333,0.816,0.312,0.765,54.9,52.75
"2021-08-11 19:30:00",3710,11.83,402,0,0.697,2.3,6.31,0.203,0.559,0.193,0.537,54.16,52.57
"2021-08-11 20:00:00",3711,11.83,402,0,0.486,1.55,4.46,0.137,0.394,0.138,0.395,54.45,52.55
"2021-08-11 20:30:00",3712,11.81,402,0,0.38,1.12,3.59,0.099,0.318,0.099,0.325,55.53,51.59
