TOA5,CR300Series_403,CR300,27029,CR300-RF407.Std.10.03,CPU:CR300_sapflow.CR300,8254,Table2,,,,,,
TIMESTAMP,RECORD,BattV_Min,id,SDI1,SapFlwTot1,VhOuter1,VhInner1,AlphaOut1,AlphaIn1,BetaOut1,BetaIn1,tMaxTout1,tMaxTin1
TS,RN,Volts,,,literPerHour,heatVelocity,heatVelocity,logTRatio,logTRatio,logTRatio,logTRatio,second,second
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
5/26/21 12:30,0,12.89,403,1,3.41,5.34,10.67,0.472,0.945,0.452,0.858,47.77,34.02
5/26/21 13:00,1,12.78,403,1,3.596,5.53,11.36,0.489,1.006,0.473,0.891,44.58,32.63
5/26/21 13:30,2,12.76,403,1,3.725,5.58,11.92,0.494,1.055,0.482,0.916,45.75,33.91
5/26/21 14:00,3,12.77,403,1,3.801,5.47,12.4,0.484,1.097,0.48,0.951,45.07,33.23
5/26/21 14:30,4,12.75,403,1,3.84,5.57,12.48,0.493,1.105,0.484,0.944,44.66,33.8
5/26/21 15:00,5,12.74,403,1,3.931,5.67,12.81,0.501,1.134,0.498,0.967,45.78,33.43
5/26/21 15:30,6,12.73,403,1,3.879,5.55,12.69,0.491,1.123,0.494,0.968,44.61,33.08
5/26/21 16:00,7,12.72,403,1,3.921,5.76,12.67,0.51,1.122,0.503,0.964,44.91,33.23
5/26/21 16:30,8,12.71,403,1,3.837,5.54,12.5,0.49,1.106,0.489,0.954,45.06,32.71
5/26/21 17:00,9,12.69,403,1,3.743,5.55,12.04,0.491,1.065,0.484,0.924,44.57,33.45
5/26/21 17:30,10,12.69,403,1,3.621,5.49,11.52,0.486,1.02,0.474,0.888,45.14,33.04
5/26/21 18:00,11,12.68,403,1,3.345,5.14,10.57,0.455,0.935,0.448,0.838,45.56,33.04
5/26/21 18:30,12,12.67,403,1,3.033,4.79,9.45,0.424,0.837,0.417,0.763,45.37,33.27
5/26/21 19:00,13,12.67,403,1,2.664,4.3,8.2,0.381,0.725,0.377,0.692,45.55,32.47
5/26/21 19:30,14,12.66,403,1,2.231,3.83,6.63,0.339,0.586,0.339,0.592,45.53,31.92
5/26/21 20:00,15,12.65,403,1,1.707,2.97,5.03,0.263,0.445,0.277,0.499,45.5,31.88
5/26/21 20:30,16,12.65,403,1,1.39,2.49,4.02,0.22,0.356,0.242,0.438,46.03,31.58
5/26/21 21:00,17,12.64,403,1,1.222,2.25,3.47,0.199,0.307,0.227,0.406,45.32,31.13
5/26/21 21:30,18,12.64,403,1,1.113,2.02,3.19,0.178,0.282,0.215,0.389,45.46,30.6
5/26/21 22:00,19,12.63,403,1,1.06,2.01,2.95,0.177,0.261,0.21,0.371,45.31,31.12
5/26/21 22:30,20,12.63,403,1,1.041,1.98,2.89,0.175,0.256,0.207,0.37,45.21,30.19
5/26/21 23:00,21,12.62,403,1,0.998,1.92,2.75,0.17,0.243,0.204,0.357,45.52,30.91
5/26/21 23:30,22,12.62,403,1,1.041,1.99,2.88,0.176,0.255,0.208,0.368,45.22,30.46
5/27/21 0:00,23,12.61,403,1,1.022,1.97,2.81,0.174,0.249,0.207,0.367,46.13,30.42
5/27/21 0:30,24,12.61,403,1,0.997,1.95,2.71,0.172,0.24,0.205,0.357,45.61,29.9
5/27/21 1:00,25,12.61,403,1,0.926,1.84,2.49,0.163,0.22,0.197,0.346,45.36,30.48
5/27/21 1:30,26,12.61,403,1,0.902,1.75,2.47,0.155,0.219,0.192,0.346,45.86,30.41
5/27/21 2:00,27,12.6,403,1,0.928,1.82,2.52,0.161,0.223,0.195,0.35,45.77,31.15
5/27/21 2:30,28,12.6,403,1,0.943,1.84,2.57,0.163,0.227,0.197,0.347,45.55,30.36
5/27/21 3:00,29,12.59,403,1,0.958,1.86,2.62,0.165,0.232,0.201,0.351,45.72,30.27
5/27/21 3:30,30,12.59,403,1,1.009,1.94,2.78,0.172,0.246,0.205,0.362,46.15,30.87
5/27/21 4:00,31,12.59,403,1,0.999,1.93,2.74,0.171,0.243,0.204,0.358,45.7,30.41
5/27/21 4:30,32,12.59,403,1,1.007,1.94,2.77,0.172,0.245,0.203,0.36,45.59,30.54
5/27/21 5:00,33,12.59,403,1,0.992,1.92,2.72,0.17,0.241,0.203,0.358,45.59,29.99
5/27/21 5:30,34,12.58,403,1,0.95,1.87,2.57,0.166,0.228,0.199,0.348,45.35,30.73
5/27/21 6:00,35,12.58,403,1,1.031,2.01,2.81,0.178,0.249,0.209,0.361,45.33,30.3
5/27/21 6:30,36,12.58,403,1,1.188,2.17,3.39,0.192,0.3,0.221,0.397,46.08,30.63
5/27/21 7:00,37,12.58,403,1,1.396,2.48,4.06,0.219,0.359,0.242,0.436,46.6,31.15
5/27/21 7:30,38,12.58,403,1,1.847,3.09,5.57,0.273,0.493,0.287,0.522,47.02,32.24
5/27/21 8:00,39,12.57,403,1,2.123,3.47,6.49,0.307,0.575,0.317,0.58,46.98,32.53
5/27/21 8:30,40,12.57,403,1,2.428,3.84,7.56,0.34,0.67,0.344,0.647,46.61,32.56
5/27/21 9:00,41,12.58,403,1,2.756,4.33,8.61,0.384,0.762,0.382,0.706,46.56,33.18
5/27/21 9:30,42,12.61,403,1,2.84,4.33,9.01,0.383,0.797,0.385,0.731,46.78,33.56
5/27/21 10:00,43,12.59,403,1,3.007,4.48,9.65,0.396,0.854,0.398,0.77,46.55,33.6
5/27/21 10:30,44,12.63,403,1,3.165,4.76,10.11,0.421,0.895,0.42,0.803,45.86,33.33
5/27/21 11:00,45,12.61,403,1,3.227,4.92,10.24,0.435,0.906,0.429,0.805,45.22,33.51
5/27/21 11:30,46,12.68,403,1,3.37,5.1,10.73,0.452,0.949,0.445,0.836,46.16,34.04
5/27/21 12:00,47,12.74,403,1,3.303,5.15,10.36,0.456,0.917,0.447,0.814,46.31,34.2
5/27/21 12:30,48,12.77,403,1,3.361,5.22,10.56,0.462,0.935,0.451,0.829,47.8,34.03
5/27/21 13:00,49,12.72,403,1,3.63,5.99,11.04,0.53,0.977,0.489,0.848,44.75,34.56
5/27/21 13:30,50,12.7,403,1,3.45,5.32,10.88,0.471,0.963,0.457,0.837,46.06,33.53
5/27/21 14:00,51,12.72,403,1,3.429,5.13,10.98,0.454,0.972,0.447,0.844,46.01,33.48
5/27/21 14:30,52,12.69,403,1,3.5,5.18,11.27,0.459,0.998,0.453,0.864,46.03,33.77
5/27/21 15:00,53,12.68,403,1,3.509,5.21,11.28,0.461,0.999,0.454,0.861,45.89,33.37
5/27/21 15:30,54,12.67,403,1,3.394,5.06,10.89,0.448,0.964,0.445,0.843,45.5,33.64
5/27/21 16:00,55,12.66,403,1,3.433,5.33,10.79,0.472,0.955,0.456,0.832,45.73,33.62
5/27/21 16:30,56,12.64,403,1,3.193,4.78,10.22,0.423,0.905,0.422,0.799,46.5,33.56
5/27/21 17:00,57,12.64,403,1,3.127,4.88,9.8,0.432,0.868,0.423,0.77,45.59,33.06
5/27/21 17:30,58,12.62,403,1,3.016,4.76,9.4,0.421,0.832,0.411,0.746,46.2,33.26
5/27/21 18:00,59,12.62,403,1,2.877,4.48,9.03,0.396,0.8,0.393,0.723,46.3,33.93
5/27/21 18:30,60,12.61,403,1,2.687,4.3,8.31,0.38,0.736,0.378,0.683,46.24,32.89
5/27/21 19:00,61,12.61,403,1,2.387,3.92,7.28,0.347,0.644,0.347,0.621,45.73,33.21
5/27/21 19:30,62,12.61,403,1,2.055,3.54,6.09,0.313,0.539,0.317,0.551,45.38,32.19
5/27/21 20:00,63,12.6,403,1,1.686,2.98,4.92,0.264,0.435,0.277,0.483,45.43,31.49
5/27/21 20:30,64,12.59,403,1,1.354,2.47,3.87,0.219,0.343,0.243,0.424,45.74,31.13
5/27/21 21:00,65,12.59,403,1,1.105,2.06,3.11,0.183,0.275,0.212,0.381,45.07,30.88
5/27/21 21:30,66,12.58,403,1,0.992,1.89,2.75,0.167,0.243,0.201,0.357,45.54,30.36
5/27/21 22:00,67,12.58,403,1,0.928,1.8,2.54,0.159,0.225,0.194,0.348,45.83,30.53
5/27/21 22:30,68,12.57,403,1,0.905,1.77,2.46,0.157,0.218,0.191,0.343,45.38,30.35
5/27/21 23:00,69,12.57,403,1,0.867,1.74,2.31,0.154,0.204,0.189,0.332,45.47,30.43
5/27/21 23:30,70,12.57,403,1,0.85,1.73,2.24,0.153,0.198,0.188,0.327,45.47,30.01
5/28/21 0:00,71,12.56,403,1,0.805,1.62,2.14,0.144,0.189,0.183,0.324,45.05,30.43
5/28/21 0:30,72,12.56,403,1,0.779,1.61,2.03,0.143,0.18,0.181,0.319,45.57,30.12
5/28/21 1:00,73,12.55,403,1,0.786,1.61,2.06,0.142,0.182,0.181,0.32,45.77,30.06
5/28/21 1:30,74,12.55,403,1,0.792,1.62,2.08,0.143,0.184,0.181,0.319,45.18,30.13
5/28/21 2:00,75,12.55,403,1,0.777,1.59,2.04,0.141,0.18,0.177,0.316,45.73,30.28
5/28/21 2:30,76,12.55,403,1,0.775,1.61,2.01,0.143,0.178,0.181,0.315,45.63,30.17
5/28/21 3:00,77,12.54,403,1,0.799,1.64,2.09,0.145,0.185,0.182,0.319,45.69,30.07
5/28/21 3:30,78,12.54,403,1,0.762,1.55,2.01,0.137,0.178,0.178,0.312,45.66,30.19
5/28/21 4:00,79,12.53,403,1,0.764,1.57,2,0.139,0.177,0.176,0.314,45.51,29.63
5/28/21 4:30,80,12.53,403,1,0.737,1.54,1.9,0.137,0.168,0.176,0.308,45.41,30.35
5/28/21 5:00,81,12.53,403,1,0.728,1.53,1.87,0.135,0.166,0.174,0.308,45.16,29.84
5/28/21 5:30,82,12.53,403,1,0.713,1.48,1.85,0.131,0.163,0.17,0.305,44.88,30.81
5/28/21 6:00,83,12.53,403,1,0.749,1.52,1.98,0.135,0.176,0.174,0.311,46,29.97
5/28/21 6:30,84,12.52,403,1,0.813,1.61,2.19,0.142,0.194,0.179,0.323,46.13,30.25
5/28/21 7:00,85,12.53,403,1,0.907,1.78,2.46,0.158,0.218,0.189,0.339,45.34,30.71
5/28/21 7:30,86,12.52,403,1,0.998,1.89,2.78,0.167,0.246,0.198,0.357,45.58,31.22
5/28/21 8:00,87,12.53,403,1,1.232,2.21,3.56,0.196,0.316,0.22,0.403,46.23,31.03
5/28/21 8:30,88,12.53,403,1,1.485,2.55,4.41,0.225,0.39,0.245,0.45,47.37,31.35
5/28/21 9:00,89,12.53,403,1,1.851,3.11,5.57,0.276,0.493,0.287,0.513,47.08,32.04
5/28/21 9:30,90,12.56,403,1,2.069,3.36,6.35,0.298,0.562,0.307,0.564,46.59,32.54
5/28/21 10:00,91,12.55,403,1,2.4,3.72,7.55,0.33,0.669,0.338,0.634,47.27,33.9
5/28/21 10:30,92,12.59,403,1,2.801,4.57,8.57,0.405,0.759,0.395,0.696,45.32,33.61
5/28/21 11:00,93,12.59,403,1,2.976,4.69,9.28,0.415,0.821,0.407,0.732,47.33,33.97
5/28/21 11:30,94,12.59,403,1,3.109,4.62,9.99,0.409,0.885,0.414,0.781,47.17,33.65
5/28/21 12:00,95,12.63,403,1,3.311,5.28,10.26,0.468,0.909,0.449,0.789,46.39,33.86
5/28/21 12:30,96,12.66,403,1,3.38,5.11,10.77,0.452,0.953,0.447,0.823,45.19,34.16
5/28/21 13:00,97,12.64,403,1,3.392,5.46,10.46,0.483,0.926,0.458,0.795,45.58,33.87
5/28/21 13:30,98,12.64,403,1,3.368,5.16,10.66,0.457,0.944,0.446,0.81,46.37,33.17
5/28/21 14:00,99,12.64,403,1,3.381,5.19,10.69,0.459,0.946,0.448,0.81,46.08,33.55
5/28/21 14:30,100,12.64,403,1,3.315,5.05,10.52,0.447,0.931,0.44,0.803,46.32,34.04
5/28/21 15:00,101,12.62,403,1,2.823,4.67,8.57,0.414,0.759,0.4,0.684,45.88,33.76
5/28/21 15:30,102,12.6,403,1,2.341,3.92,7.06,0.347,0.624,0.345,0.597,46.38,32.61
5/28/21 16:00,103,12.6,403,1,2.496,4.11,7.6,0.364,0.673,0.358,0.629,46.83,33.88
5/28/21 16:30,104,12.58,403,1,2.053,3.23,6.41,0.286,0.568,0.306,0.568,44.91,32.78
5/28/21 17:00,105,12.56,403,1,1.539,2.73,4.48,0.242,0.397,0.258,0.453,45.37,31
5/28/21 17:30,106,12.56,403,1,1.519,2.61,4.51,0.231,0.399,0.251,0.453,46.8,31.2
5/28/21 18:00,107,12.55,403,1,1.611,2.81,4.74,0.249,0.42,0.263,0.467,46.56,31.54
5/28/21 18:30,108,12.55,403,1,1.469,2.63,4.25,0.233,0.376,0.251,0.441,46.18,32.14
5/28/21 19:00,109,12.54,403,1,1.26,2.28,3.62,0.202,0.32,0.23,0.404,46.1,30.64
5/28/21 19:30,110,12.53,403,1,1.099,2.08,3.06,0.184,0.271,0.213,0.371,46.16,31.37
5/28/21 20:00,111,12.53,403,1,0.987,1.87,2.75,0.166,0.243,0.2,0.351,45.68,30.79
5/28/21 20:30,112,12.53,403,1,0.905,1.77,2.46,0.157,0.218,0.192,0.337,45.82,30.21
5/28/21 21:00,113,12.53,403,1,0.749,1.53,1.97,0.135,0.174,0.176,0.31,45.72,30.43
5/28/21 21:30,114,12.52,403,1,0.703,1.49,1.79,0.132,0.158,0.172,0.3,45.17,29.87
5/28/21 22:00,115,12.52,403,1,0.666,1.42,1.69,0.126,0.15,0.168,0.296,45.62,30.01
5/28/21 22:30,116,12.52,403,1,0.656,1.4,1.66,0.124,0.147,0.166,0.295,45.81,29.95
5/28/21 23:00,117,12.51,403,1,0.643,1.39,1.61,0.123,0.142,0.165,0.293,45.06,30.02
5/28/21 23:30,118,12.51,403,1,0.62,1.35,1.54,0.119,0.137,0.162,0.285,46.8,30.37
5/29/21 0:00,119,12.51,403,1,0.643,1.38,1.62,0.122,0.143,0.163,0.29,45.6,30.15
5/29/21 0:30,120,12.51,403,1,0.626,1.34,1.58,0.119,0.14,0.162,0.286,45.89,29.76
5/29/21 1:00,121,12.51,403,1,0.667,1.46,1.65,0.129,0.146,0.175,0.292,45.17,29.97
5/29/21 1:30,122,12.5,403,1,0.639,1.38,1.6,0.122,0.141,0.167,0.291,45.33,29.61
5/29/21 2:00,123,12.5,403,1,0.645,1.41,1.6,0.125,0.141,0.169,0.289,45.34,29.88
5/29/21 2:30,124,12.5,403,1,0.635,1.39,1.57,0.123,0.139,0.166,0.289,45.59,29.97
