"TOA5","CR300Series_403","CR300","27029","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 12:30:00",0,12.89,403,1,3.41,5.34,10.67,0.472,0.945,0.452,0.858,47.77,34.02
"2021-05-26 13:00:00",1,12.78,403,1,3.596,5.53,11.36,0.489,1.006,0.473,0.891,44.58,32.63
"2021-05-26 13:30:00",2,12.76,403,1,3.725,5.58,11.92,0.494,1.055,0.482,0.916,45.75,33.91
"2021-05-26 14:00:00",3,12.77,403,1,3.801,5.47,12.4,0.484,1.097,0.48,0.951,45.07,33.23
"2021-05-26 14:30:00",4,12.75,403,1,3.84,5.57,12.48,0.493,1.105,0.484,0.944,44.66,33.8
"2021-05-26 15:00:00",5,12.74,403,1,3.931,5.67,12.81,0.501,1.134,0.498,0.967,45.78,33.43
"2021-05-26 15:30:00",6,12.73,403,1,3.879,5.55,12.69,0.491,1.123,0.494,0.968,44.61,33.08
"2021-05-26 16:00:00",7,12.72,403,1,3.921,5.76,12.67,0.51,1.122,0.503,0.964,44.91,33.23
"2021-05-26 16:30:00",8,12.71,403,1,3.837,5.54,12.5,0.49,1.106,0.489,0.954,45.06,32.71
"2021-05-26 17:00:00",9,12.69,403,1,3.743,5.55,12.04,0.491,1.065,0.484,0.924,44.57,33.45
"2021-05-26 17:30:00",10,12.69,403,1,3.621,5.49,11.52,0.486,1.02,0.474,0.888,45.14,33.04
"2021-05-26 18:00:00",11,12.68,403,1,3.345,5.14,10.57,0.455,0.935,0.448,0.838,45.56,33.04
"2021-05-26 18:30:00",12,12.67,403,1,3.033,4.79,9.45,0.424,0.837,0.417,0.763,45.37,33.27
"2021-05-26 19:00:00",13,12.67,403,1,2.664,4.3,8.2,0.381,0.725,0.377,0.692,45.55,32.47
"2021-05-26 19:30:00",14,12.66,403,1,2.231,3.83,6.63,0.339,0.586,0.339,0.592,45.53,31.92
"2021-05-26 20:00:00",15,12.65,403,1,1.707,2.97,5.03,0.263,0.445,0.277,0.499,45.5,31.88
"2021-05-26 20:30:00",16,12.65,403,1,1.39,2.49,4.02,0.22,0.356,0.242,0.438,46.03,31.58
"2021-05-26 21:00:00",17,12.64,403,1,1.222,2.25,3.47,0.199,0.307,0.227,0.406,45.32,31.13
"2021-05-26 21:30:00",18,12.64,403,1,1.113,2.02,3.19,0.178,0.282,0.215,0.389,45.46,30.6
"2021-05-26 22:00:00",19,12.63,403,1,1.06,2.01,2.95,0.177,0.261,0.21,0.371,45.31,31.12
"2021-05-26 22:30:00",20,12.63,403,1,1.041,1.98,2.89,0.175,0.256,0.207,0.37,45.21,30.19
