"TOA5","CR300Series_404","CR300","27028","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-11 11:00:00",2180,9.85,404,1,0.537,-0.48,2.97,-0.044,0.263,-0.071,0.189,57.27,58
"2021-08-11 11:30:00",2181,9.84,404,1,0.753,0.12,3.33,0.01,0.294,-0.033,0.218,58.36,56.18
"2021-08-11 12:00:00",2182,10,404,1,0.477,-0.85,3.08,-0.077,0.272,-0.095,0.212,56.21,56.26
"2021-08-11 12:30:00",2183,10.71,404,1,0.751,-0.25,3.71,-0.023,0.328,-0.072,0.234,51.08,52.64
"2021-08-11 13:00:00",2184,10.71,404,1,0.693,-0.57,3.78,-0.052,0.334,-0.087,0.246,49.96,53.18
"2021-08-11 13:30:00",2185,11.53,404,1,0.643,-0.76,3.75,-0.069,0.332,-0.086,0.254,55.12,53.51
"2021-08-11 14:00:00",2186,11.01,404,1,0.87,0.29,3.69,0.025,0.327,-99,0.278,-99,55.13
"2021-08-11 14:30:00",2187,10.98,404,1,1.26,1.27,4.45,0.112,0.394,-99,0.313,-99,52.97
"2021-08-11 15:00:00",2188,11,404,1,0.966,0.1,4.33,0.009,0.383,-99,0.31,-99,53.07
"2021-08-11 15:30:00",2189,11.19,404,1,0.9,-0.18,4.32,-0.017,0.382,-0.059,0.289,52.55,50.37
"2021-08-11 16:00:00",2190,11.15,404,1,0.937,-0.21,4.52,-0.019,0.4,-0.071,0.284,49.19,50.74
"2021-08-11 16:30:00",2191,11.09,404,1,0.807,-0.51,4.24,-0.046,0.375,-0.082,0.273,50.79,50.95
"2021-08-11 17:00:00",2192,11.03,404,1,0.668,-0.72,3.82,-0.065,0.338,-0.097,0.254,47.9,52.35
"2021-08-11 17:30:00",2193,10.97,404,1,0.628,-0.79,3.71,-0.071,0.328,-0.11,0.238,47.84,52.14
"2021-08-11 18:00:00",2194,10.94,404,1,0.788,-0.27,3.9,-0.025,0.345,-0.079,0.221,48.71,51.77
"2021-08-11 18:30:00",2195,10.89,404,1,0.579,-0.45,3.13,-0.041,0.277,-0.083,0.173,50.32,52.86
"2021-08-11 19:00:00",2196,10.87,404,1,0.395,-0.55,2.39,-0.05,0.211,-0.091,0.111,49.58,54.29
"2021-08-11 19:30:00",2197,10.85,404,1,0.077,-0.6,0.98,-0.054,0.086,-0.091,-0.006,50.42,56.53
"2021-08-11 20:00:00",2198,10.83,404,1,-0.222,-0.69,-0.3,-0.062,-0.028,-0.096,-0.109,50.01,57.52
"2021-08-11 20:30:00",2199,10.8,404,1,-0.448,-0.84,-1.18,-0.076,-0.105,-0.101,-0.173,51.2,56.9
