"TOA5","CR300Series_404","CR300","27028","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 12:00:00",0,12.81,404,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-05-26 12:30:00",1,12.82,404,0,0.516,4.98,9.78,0.441,0.865,0.471,0.839,45.19,34.04
"2021-05-26 13:00:00",2,12.86,404,0,0.582,5.87,10.69,0.519,0.946,0.545,0.89,40.64,34.05
"2021-05-26 13:30:00",3,12.99,404,0,0.62,6.22,11.46,0.551,1.014,0.576,0.924,40.75,33.59
"2021-05-26 14:00:00",4,13.01,404,0,0.744,7.97,13.05,0.705,1.155,0.662,0.983,37.16,32.91
"2021-05-26 14:30:00",5,12.99,404,0,0.737,7.44,13.53,0.658,1.198,0.649,0.99,39.71,33.53
"2021-05-26 15:00:00",6,12.98,404,0,0.722,7.19,13.39,0.637,1.185,0.64,0.986,39.45,33.54
"2021-05-26 15:30:00",7,12.96,404,0,0.712,7.19,13.09,0.636,1.159,0.641,0.973,40.14,32.98
"2021-05-26 16:00:00",8,12.93,404,0,0.713,7.2,13.1,0.638,1.16,0.639,0.969,41.12,33.39
"2021-05-26 16:30:00",9,12.9,404,0,0.685,6.89,12.63,0.61,1.118,0.621,0.939,40.34,33.19
"2021-05-26 17:00:00",10,12.88,404,0,0.66,6.69,12.08,0.592,1.069,0.597,0.904,39.13,33.37
"2021-05-26 17:30:00",11,12.86,404,0,0.63,6.43,11.48,0.569,1.016,0.576,0.857,39.78,33.3
"2021-05-26 18:00:00",12,12.84,404,0,0.573,5.92,10.36,0.524,0.917,0.527,0.795,39.89,33.56
"2021-05-26 18:30:00",13,12.81,404,0,0.518,5.37,9.32,0.475,0.825,0.487,0.719,41.71,33.56
"2021-05-26 19:00:00",14,12.8,404,0,0.446,4.65,8.01,0.412,0.709,0.429,0.636,41.55,33.56
"2021-05-26 19:30:00",15,12.78,404,0,0.354,3.75,6.28,0.332,0.556,0.352,0.524,39.03,33.53
"2021-05-26 20:00:00",16,12.76,404,0,0.262,2.82,4.59,0.25,0.407,0.276,0.407,40.89,32.9
"2021-05-26 20:30:00",17,12.75,404,0,0.195,2.11,3.38,0.187,0.299,0.218,0.323,40.34,31.92
"2021-05-26 21:00:00",18,12.74,404,0,0.157,1.72,2.72,0.152,0.241,0.19,0.277,41,31.6
"2021-05-26 21:30:00",19,12.73,404,0,0.138,1.52,2.37,0.135,0.209,0.175,0.257,42.38,32.15
"2021-05-26 22:00:00",20,12.72,404,0,0.126,1.39,2.15,0.123,0.19,0.163,0.243,40.44,31.87
