"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-12-17 16:00:00",0,12.59,502,0,-0.137,-0.86,-0.34,-0.077,-0.031,-0.116,-0.111,51.87,44.57
"2021-12-17 16:30:00",1,12.58,502,0,-0.169,-0.88,-0.61,-0.079,-0.055,-0.123,-0.134,50.64,44.07
"2021-12-17 17:00:00",2,12.57,502,0,-0.172,-0.84,-0.68,-0.075,-0.061,-0.122,-0.139,52.66,43.18
"2021-12-17 17:30:00",3,12.57,502,0,-0.188,-0.89,-0.78,-0.08,-0.07,-0.126,-0.136,52.46,44.23
"2021-12-17 18:00:00",4,12.56,502,0,-0.172,-0.79,-0.74,-0.07,-0.066,-0.112,-0.138,53.32,44.1
"2021-12-17 18:30:00",5,12.56,502,0,-0.173,-0.78,-0.76,-0.07,-0.068,-0.114,-0.142,53.67,43.78
"2021-12-17 19:00:00",6,12.55,502,0,-0.189,-0.85,-0.83,-0.076,-0.075,-0.12,-0.141,52.45,44.22
"2021-12-17 19:30:00",7,12.55,502,0,-0.2,-0.94,-0.83,-0.084,-0.075,-0.128,-0.141,52.22,44.66
"2021-12-17 20:00:00",8,12.55,502,0,-0.181,-0.81,-0.8,-0.073,-0.071,-0.12,-0.14,53.95,44.99
"2021-12-17 20:30:00",9,12.55,502,0,-0.191,-0.93,-0.76,-0.083,-0.068,-0.124,-0.14,52.34,43.95
"2021-12-17 21:00:00",10,12.54,502,0,-0.19,-0.87,-0.82,-0.077,-0.074,-0.117,-0.142,53.12,45.4
"2021-12-17 21:30:00",11,12.54,502,0,-0.206,-0.97,-0.86,-0.087,-0.077,-0.131,-0.144,52.73,44.75
"2021-12-17 22:00:00",12,12.54,502,0,-0.186,-0.85,-0.8,-0.076,-0.071,-0.121,-0.144,52.99,44.59
"2021-12-17 22:30:00",13,12.54,502,0,-0.177,-0.75,-0.83,-0.068,-0.074,-0.11,-0.143,53.56,44.75
"2021-12-17 23:00:00",14,12.53,502,0,-0.183,-0.81,-0.82,-0.073,-0.074,-0.117,-0.143,53.59,44.64
"2021-12-17 23:30:00",15,12.53,502,0,-0.194,-0.93,-0.79,-0.083,-0.071,-0.128,-0.143,52.41,44.43
"2021-12-18 00:00:00",16,12.53,502,0,-0.168,-0.67,-0.83,-0.06,-0.074,-0.11,-0.144,53.84,45.04
"2021-12-18 00:30:00",17,12.53,502,0,-0.179,-0.74,-0.86,-0.066,-0.077,-0.111,-0.144,53.61,45.06
"2021-12-18 01:00:00",18,12.53,502,0,-0.196,-0.88,-0.86,-0.079,-0.077,-0.123,-0.144,53.16,45.18
