"TOA5","CR300Series_503","CR300","27025","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-12-17 16:30:00",0,12.57,503,0,-0.553,-0.33,-2.41,-0.03,-0.214,-0.048,-0.204,56.64,47.24
"2021-12-17 17:00:00",1,12.55,503,0,-0.625,-0.42,-2.67,-0.038,-0.237,-0.06,-0.226,56.55,46.31
"2021-12-17 17:30:00",2,12.55,503,0,-0.678,-0.51,-2.84,-0.046,-0.252,-0.062,-0.243,56.39,45.89
"2021-12-17 18:00:00",3,12.54,503,0,-0.698,-0.5,-2.95,-0.045,-0.262,-0.061,-0.25,56.33,46.66
"2021-12-17 18:30:00",4,12.54,503,0,-0.698,-0.5,-2.95,-0.045,-0.262,-0.065,-0.248,55.66,46.4
"2021-12-17 19:00:00",5,12.53,503,0,-0.702,-0.5,-2.97,-0.045,-0.263,-0.065,-0.248,56.33,46.66
"2021-12-17 19:30:00",6,12.53,503,0,-0.71,-0.52,-2.99,-0.047,-0.265,-0.063,-0.252,57.36,47.27
"2021-12-17 20:00:00",7,12.53,503,0,-0.714,-0.54,-2.99,-0.048,-0.266,-0.064,-0.255,56.58,46.75
"2021-12-17 20:30:00",8,12.53,503,0,-0.708,-0.52,-2.98,-0.047,-0.264,-0.061,-0.253,56.39,46.97
"2021-12-17 21:00:00",9,12.52,503,0,-0.708,-0.51,-2.99,-0.046,-0.266,-0.062,-0.25,56.52,48.09
"2021-12-17 21:30:00",10,12.52,503,0,-0.696,-0.49,-2.95,-0.045,-0.262,-0.062,-0.251,56.78,46.68
"2021-12-17 22:00:00",11,12.52,503,0,-0.708,-0.52,-2.98,-0.047,-0.265,-0.063,-0.254,55.85,47.26
"2021-12-17 22:30:00",12,12.52,503,0,-0.689,-0.47,-2.94,-0.043,-0.261,-0.06,-0.251,56.74,47.63
"2021-12-17 23:00:00",13,12.52,503,0,-0.7,-0.49,-2.97,-0.044,-0.264,-0.059,-0.251,57.14,47.46
"2021-12-17 23:30:00",14,12.52,503,0,-0.689,-0.47,-2.94,-0.043,-0.261,-0.059,-0.251,56.33,47.48
"2021-12-18 00:00:00",15,12.51,503,0,-0.673,-0.43,-2.9,-0.039,-0.258,-0.057,-0.248,56.91,46.39
"2021-12-18 00:30:00",16,12.51,503,0,-0.694,-0.54,-2.89,-0.049,-0.256,-0.062,-0.244,56.91,47.24
"2021-12-18 01:00:00",17,12.51,503,0,-0.663,-0.43,-2.85,-0.039,-0.253,-0.053,-0.24,56.61,47.76
"2021-12-18 01:30:00",18,12.51,503,0,-0.669,-0.45,-2.86,-0.041,-0.254,-0.055,-0.241,56.36,46.68
