"TOA5","CR200Series_601","CR200X","No_SN","CR200X.Std.02","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-04-02 11:30:00",0,12.9005,601,0,0.084,0.86,1.52,0.07594,0.1341,0.0577,0.08306,50.896,36.452
"2024-04-02 12:00:00",1,12.89042,601,0,0.113,1.31,1.86,0.11601,0.16502,0.09148,0.10268,51.526,37.643
"2024-04-02 12:30:00",2,12.88119,601,0,0.152,1.82,2.4,0.16126,0.21232,0.13646,0.13256,51.541,37.91
"2024-04-02 13:00:00",3,12.87699,601,0,0.16,2.01,2.4,0.17788,0.21262,0.14282,0.134,50.459,37.903
"2024-04-02 13:30:00",4,12.87028,601,0,0.145,1.79,2.22,0.15878,0.19618,0.12682,0.12308,51.646,37.859
"2024-04-02 14:00:00",5,12.86944,601,0,0.157,1.96,2.39,0.17307,0.21176,0.14127,0.13136,51.824,38.183
"2024-04-02 14:30:00",6,12.86356,601,0,0.196,2.51,2.88,0.22216,0.25495,0.1849,0.16192,52.311,38.267
"2024-04-02 15:00:00",7,12.87028,601,0,0.202,2.62,2.94,0.23228,0.26002,0.19483,0.16554,51.06,38.496
"2024-04-02 15:30:00",8,12.86776,601,0,0.229,2.97,3.32,0.26254,0.29406,0.224,0.18784,52.755,38.704
"2024-04-02 16:00:00",9,12.86524,601,0,0.275,3.61,3.94,0.31975,0.34904,0.28206,0.2267,52.383,39.718
"2024-04-02 16:30:00",10,12.86524,601,0,0.357,4.82,4.95,0.42678,0.4377,0.37455,0.2887,52.779,39.556
"2024-04-02 17:00:00",11,12.86104,601,0,0.398,5.53,5.29,0.48964,0.46858,0.41943,0.30906,51.082,39.756
"2024-04-02 17:30:00",12,12.86776,601,0,0.393,5.4,5.3,0.47786,0.46931,0.41514,0.30906,51.232,39.804
"2024-04-02 18:00:00",13,12.87028,601,0,0.368,5.06,4.96,0.44747,0.4392,0.38422,0.28716,51.55,39.148
"2024-04-02 18:30:00",14,12.86524,601,0,0.313,4.28,4.26,0.37848,0.37688,0.32208,0.24274,51.772,38.801
"2024-04-02 19:00:00",15,12.86188,601,0,0.264,3.55,3.66,0.31444,0.32423,0.26594,0.207,51.744,38.508
"2024-04-02 19:30:00",16,12.86104,601,0,0.22,2.88,3.17,0.25462,0.28044,0.21175,0.1757,50.927,38.512
"2024-04-02 20:00:00",17,12.86692,601,0,0.177,2.23,2.65,0.1978,0.23425,0.16418,0.14516,51.374,37.731
"2024-04-02 20:30:00",18,12.86692,601,0,0.151,1.86,2.34,0.16486,0.20751,0.13381,0.12913,51.145,37.496
"2024-04-02 21:00:00",19,12.86524,601,0,0.134,1.59,2.14,0.14104,0.18934,0.11176,0.11668,51.102,37.299
"2024-04-02 21:30:00",20,12.8686,601,0,0.119,1.4,1.93,0.12364,0.17118,0.09954,0.10397,51.098,37.294
"2024-04-02 22:00:00",21,12.86692,601,0,0.107,1.2,1.81,0.1065,0.16004,0.08539,0.0967,52.111,37.386
"2024-04-02 22:30:00",22,12.86692,601,0,0.096,1.07,1.64,0.09466,0.14538,0.06982,0.08618,51.485,37.432
"2024-04-02 23:00:00",23,12.86524,601,0,0.087,0.94,1.52,0.08354,0.1341,0.0615,0.08264,50.785,37.138
"2024-04-02 23:30:00",24,12.86188,601,0,0.091,0.99,1.59,0.08736,0.14049,0.06742,0.086,50.942,36.883
"2024-04-03 00:00:00",25,12.86356,601,0,0.1,1.11,1.71,0.09822,0.1517,0.07758,0.09514,51.143,37.339
"2024-04-03 00:30:00",26,12.84929,601,0,0.1,1.11,1.71,0.09822,0.1517,0.07562,0.0897,51.131,36.921
"2024-04-03 01:00:00",27,12.85936,601,0,0.092,0.98,1.61,0.08698,0.14258,0.06926,0.08796,51.061,38.088
"2024-04-03 01:30:00",28,12.85349,601,0,0.088,0.96,1.51,0.08471,0.13353,0.06108,0.0806,51.858,36.979
