"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-30 19:30:00",2039,11.7916,304,1,0.011,0.46,-0.27,0.04083,-0.02521,0.0129,-0.14043,53.932,38.701
"2024-05-30 20:00:00",2040,13.0197,304,1,-0.009,0.07,-0.42,0.00653,-0.03803,-0.01245,-0.14669,54.323,38.946
"2024-05-30 20:30:00",2041,13.00543,304,1,-0.023,-0.16,-0.55,-0.01529,-0.04935,-0.02909,-0.15083,53.883,39.325
"2024-05-30 21:00:00",2042,13.00291,304,1,-0.033,-0.36,-0.6,-0.03283,-0.05387,-0.04579,-0.15611,53.295,38.329
"2024-05-30 21:30:00",2043,12.99199,304,1,-0.035,-0.38,-0.65,-0.03467,-0.05821,-0.04953,-0.15805,53.148,38.593
"2024-05-30 22:00:00",2044,12.98948,304,1,-0.038,-0.43,-0.67,-0.03905,-0.06055,-0.05373,-0.15997,54.565,38.626
"2024-05-30 22:30:00",2045,12.98444,304,1,-0.04,-0.48,-0.67,-0.04293,-0.06009,-0.05543,-0.15777,53.478,38.26
"2024-05-30 23:00:00",2046,12.97353,304,1,-0.04,-0.48,-0.67,-0.04313,-0.06009,-0.05771,-0.15611,52.969,38.422
"2024-05-30 23:30:00",2047,12.97605,304,1,-0.04,-0.48,-0.67,-0.04313,-0.06027,-0.05771,-0.15805,54.239,38.455
"2024-05-31 00:00:00",2048,12.96429,304,1,-0.04,-0.47,-0.69,-0.04287,-0.06227,-0.05319,-0.15777,53.581,38.881
