"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-06-18 12:00:00",2936,12.99367,305,0,1.503,4.27,-99,0.34667,-99,0.30047,-99,55.664,-99
"2024-06-18 12:30:00",2937,12.98612,305,0,1.697,4.82,-99,0.39066,-99,0.32998,-99,50.886,-99
"2024-06-18 13:00:00",2938,12.98276,305,0,1.715,4.87,-99,0.3947,-99,0.32334,-99,51.259,-99
"2024-06-18 13:30:00",2939,12.97185,305,0,1.739,4.94,-99,0.40112,-99,0.32824,-99,51.983,-99
"2024-06-18 14:00:00",2940,12.98192,305,0,1.736,4.93,-99,0.40004,-99,0.32949,-99,50.798,-99
"2024-06-18 14:30:00",2941,12.97772,305,0,1.686,4.79,-99,0.38833,-99,0.32049,-99,53.222,-99
"2024-06-18 15:00:00",2942,12.97856,305,0,1.613,4.58,-99,0.37155,-99,0.31201,-99,53.642,-99
"2024-06-18 15:30:00",2943,12.9794,305,0,1.581,4.49,-99,0.364,-99,0.29191,-99,50.565,-99
"2024-06-18 16:00:00",2944,12.98192,305,0,1.44,4.09,-99,0.33206,-99,0.27723,-99,52.761,-99
"2024-06-18 16:30:00",2945,12.98276,305,0,1.373,3.9,-99,0.3162,-99,0.26678,-99,52.2,-99
"2024-06-18 17:00:00",2946,12.98024,305,0,1.355,3.85,-99,0.31198,-99,0.25683,-99,49.411,-99
"2024-06-18 17:30:00",2947,12.98024,305,0,1.165,3.31,-99,0.26846,-99,0.21822,-99,50.823,-99
"2024-06-18 18:00:00",2948,12.97772,305,0,1.095,3.11,-99,0.25198,-99,0.2076,-99,50.625,-99
"2024-06-18 18:30:00",2949,12.96513,305,0,0.898,2.55,-99,0.20711,-99,0.16931,-99,48.651,-99
"2024-06-18 19:00:00",2950,12.97185,305,0,0.732,2.08,-99,0.16862,-99,0.13814,-99,48.432,-99
"2024-06-18 19:30:00",2951,12.9601,305,0,0.581,1.65,-99,0.13353,-99,0.11396,-99,49.291,-99
"2024-06-18 20:00:00",2952,12.96597,305,0,0.447,1.27,-99,0.10279,-99,0.08456,-99,47.188,-99
"2024-06-18 20:30:00",2953,12.96094,305,0,0.278,0.79,-99,0.06434,-99,0.05457,-99,47.534,-99
"2024-06-18 21:00:00",2954,12.95086,305,0,0.187,0.53,-99,0.04276,-99,0.03463,-99,47.386,-99
"2024-06-18 21:30:00",2955,12.95002,305,0,0.116,0.33,-99,0.02648,-99,0.02461,-99,48.21,-99
"2024-06-18 22:00:00",2956,12.95338,305,0,0.081,0.23,-99,0.01858,-99,0.01473,-99,46.654,-99
"2024-06-18 22:30:00",2957,12.94163,305,0,0.046,0.13,-99,0.0105,-99,0.00978,-99,47.548,-99
"2024-06-18 23:00:00",2958,12.93743,305,0,0.056,0.16,-99,0.0133,-99,0.01728,-99,47.39,-99
"2024-06-18 23:30:00",2959,12.94415,305,0,0.021,0.06,-99,0.00526,-99,0.00738,-99,46.867,-99
"2024-06-19 00:00:00",2960,12.92988,305,0,0.011,0.03,-99,0.00266,-99,0.00244,-99,47.067,-99
"2024-06-19 00:30:00",2961,12.93995,305,0,0,0,-99,0,-99,0.00501,-99,48.072,-99
"2024-06-19 01:00:00",2962,12.93743,305,0,0.035,0.1,-99,0.00812,-99,0.00501,-99,46.927,-99
"2024-06-19 01:30:00",2963,12.93323,305,0,0.025,0.07,-99,0.00538,-99,0.00749,-99,48.203,-99
"2024-06-19 02:00:00",2964,12.93239,305,0,0,0,-99,0,-99,0.005,-99,47.97,-99
"2024-06-19 02:30:00",2965,12.93323,305,0,0.035,0.1,-99,0.00812,-99,0.01007,-99,47.403,-99
"2024-06-19 03:00:00",2966,12.92148,305,0,0.025,0.07,-99,0.00542,-99,0.00501,-99,46.57,-99
"2024-06-19 03:30:00",2967,12.92568,305,0,0,0,-99,0,-99,0.0025,-99,48.08,-99
