"TOA5","CR300Series_503","CR300","27025","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-03 16:30:00",8525,0,503,1,14.38,4.03,17.75,0.344,1.515,0.25,0.969,61.08,49.1
"2024-07-03 17:00:00",8526,13.09,503,1,13.66,3.74,16.95,0.32,1.447,0.226,0.915,62.15,48.69
"2024-07-03 17:30:00",8527,13.12,503,1,13.22,3.52,16.5,0.3,1.409,0.207,0.873,61.2,51.27
"2024-07-03 18:00:00",8528,13.11,503,1,12.08,3.09,15.21,0.264,1.298,0.176,0.798,62.03,51.69
"2024-07-03 18:30:00",8529,13.11,503,1,11.05,2.72,14.03,0.232,1.198,0.148,0.737,62.42,54.94
"2024-07-03 19:00:00",8530,13.11,503,1,10.04,2.37,12.85,0.203,1.097,0.118,0.669,63.01,54.31
"2024-07-03 19:30:00",8531,13.1,503,1,8.44,1.74,11.06,0.148,0.944,0.071,0.567,62.3,56.86
"2024-07-03 20:00:00",8532,13.08,503,1,5.958,0.88,8.17,0.075,0.698,0.009,0.382,62.15,60.26
"2024-07-03 20:30:00",8533,13.08,503,1,3.429,-0.1,5.33,-0.01,0.455,-0.064,0.196,60.88,61.03
"2024-07-03 21:00:00",8534,13.07,503,1,1.836,-0.6,3.42,-0.052,0.292,-0.098,0.076,61.08,58.52
"2024-07-03 21:30:00",8535,13.07,503,1,0.889,-0.97,2.36,-0.083,0.202,-0.123,0.006,60.23,58.89
"2024-07-03 22:00:00",8536,13.08,503,1,0.254,-1.21,1.64,-0.104,0.14,-0.139,-0.043,59.54,57.95
"2024-07-03 22:30:00",8537,13.06,503,1,-0.176,-1.41,1.19,-0.121,0.102,-0.156,-0.074,59.37,57.22
"2024-07-03 23:00:00",8538,13.06,503,1,-0.512,-1.48,0.75,-0.128,0.064,-0.161,-0.106,59.77,57.46
"2024-07-03 23:30:00",8539,13.06,503,1,-0.77,-1.57,0.45,-0.135,0.038,-0.169,-0.123,58.64,57.71
"2024-07-04 00:00:00",8540,13.05,503,1,-0.976,-1.65,0.22,-0.142,0.019,-0.173,-0.14,59.02,57.12
"2024-07-04 00:30:00",8541,13.05,503,1,-1.115,-1.71,0.07,-0.147,0.006,-0.178,-0.146,58.71,56.71
"2024-07-04 01:00:00",8542,13.05,503,1,-1.147,-1.69,0,-0.145,0,-0.176,-0.152,58.95,57.87
"2024-07-04 01:30:00",8543,13.05,503,1,-1.227,-1.74,-0.07,-0.15,-0.006,-0.178,-0.161,58.89,56.48
"2024-07-04 02:00:00",8544,13.04,503,1,-1.24,-1.73,-0.1,-0.148,-0.01,-0.175,-0.163,59.5,58.58
