"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-21 12:30:00",4521,13.31518,305,0,0.432,8.18,12.03,0.4348,0.63924,0.36321,0.48294,55.689,52.116
"2024-07-21 13:00:00",4522,13.29251,305,0,0.469,8.78,13.16,0.46683,0.69893,0.39686,0.53248,55.857,52.439
"2024-07-21 13:30:00",4523,13.28748,305,0,0.462,8.91,12.61,0.47395,0.66989,0.39679,0.5046,56.85,53.018
"2024-07-21 14:00:00",4524,13.27656,305,0,0.5,9.65,13.66,0.51261,0.72615,0.43063,0.54607,56.85,51.929
"2024-07-21 14:30:00",4525,13.26985,305,0,0.491,9.65,13.2,0.51261,0.70091,0.42838,0.53193,54.578,53.076
"2024-07-21 15:00:00",4526,13.25978,305,0,0.509,9.85,13.86,0.52324,0.73603,0.44124,0.55913,56.825,51.748
"2024-07-21 15:30:00",4527,13.25558,305,0,0.48,9.38,12.98,0.49826,0.68924,0.41514,0.52454,56.082,52.249
"2024-07-21 16:00:00",4528,13.24383,305,0,0.478,9.31,12.95,0.49514,0.68731,0.4099,0.51768,54.738,51.992
"2024-07-21 16:30:00",4529,13.24383,305,0,0.459,8.91,12.46,0.47364,0.66174,0.39398,0.49766,56.563,52.574
"2024-07-21 17:00:00",4530,13.23627,305,0,0.415,8.03,11.3,0.42642,0.59968,0.35302,0.45423,54.17,50.339
"2024-07-21 17:30:00",4531,13.23207,305,0,0.371,7.18,10.08,0.3817,0.53568,0.31985,0.40344,55.255,51.837
"2024-07-21 18:00:00",4532,13.22704,305,0,0.341,6.62,9.25,0.3511,0.49088,0.29085,0.36635,55.345,51.513
"2024-07-21 18:30:00",4533,13.22032,305,0,0.284,5.53,7.71,0.29378,0.40993,0.24383,0.30048,55.42,50.343
"2024-07-21 19:00:00",4534,13.21277,305,0,0.219,4.25,5.93,0.22526,0.31551,0.18394,0.22813,54.488,50.24
"2024-07-21 19:30:00",4535,13.20857,305,0,0.167,3.18,4.62,0.16943,0.24536,0.13796,0.17224,53.398,48.891
"2024-07-21 20:00:00",4536,13.19598,305,0,0.118,2.17,3.38,0.11528,0.1793,0.09124,0.12046,53.747,48.255
"2024-07-21 20:30:00",4537,13.19178,305,0,0.082,1.42,2.45,0.0755,0.1298,0.05819,0.0804,52.7,48.196
"2024-07-21 21:00:00",4538,13.18926,305,0,0.059,0.93,1.87,0.04958,0.09955,0.03586,0.05784,53.314,48.393
"2024-07-21 21:30:00",4539,13.17415,305,0,0.046,0.62,1.62,0.033,0.08576,0.02016,0.04544,53.475,48.401
"2024-07-21 22:00:00",4540,13.17919,305,0,0.037,0.4,1.42,0.0213,0.0749,0.01348,0.03542,52.081,48.664
"2024-07-21 22:30:00",4541,13.17415,305,0,0.031,0.27,1.27,0.01426,0.06686,0.00448,0.03052,53.14,48.063
"2024-07-21 23:00:00",4542,13.1666,305,0,0.026,0.13,1.2,0.00704,0.06398,0,0.02792,53.954,48.463
"2024-07-21 23:30:00",4543,13.16996,305,0,0.022,0.08,1.05,0.00473,0.05569,-0.00227,0.0254,51.582,48.161
"2024-07-22 00:00:00",4544,13.16576,305,0,0.02,0.05,1,0.00238,0.05314,-0.00455,0.02298,52.448,47.216
"2024-07-22 00:30:00",4545,13.16072,305,0,0.016,-0.02,0.9,-0.00239,0.04752,-0.00911,0.01534,51.773,48.353
"2024-07-22 01:00:00",4546,13.1582,305,0,0.015,-0.06,0.9,-0.00479,0.04764,-0.01361,0.02051,51.716,47.729
"2024-07-22 01:30:00",4547,13.15485,305,0,0.014,-0.06,0.85,-0.00481,0.04494,-0.01135,0.01536,52.986,48.063
"2024-07-22 02:00:00",4548,13.15485,305,0,0.012,-0.11,0.78,-0.00713,0.04204,-0.01361,0.01536,53.141,48.635
