"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-19 15:00:00",2545,12.93,502,0,0.962,19.56,24.98,1.039,1.326,0.937,0.907,48.49,40.54
"2024-07-19 15:30:00",2546,12.93,502,0,1.049,21.35,27.19,1.133,1.444,0.953,0.907,47.47,40.61
"2024-07-19 16:00:00",2547,12.94,502,0,1.036,20.58,27.53,1.093,1.462,0.923,0.878,48.65,40.85
"2024-07-19 16:30:00",2548,12.94,502,0,0.947,19.01,24.89,1.01,1.323,0.867,0.826,49.6,42.48
"2024-07-19 17:00:00",2549,12.94,502,0,0.822,16.23,22,0.862,1.168,0.766,0.763,51.43,43.63
"2024-07-19 17:30:00",2550,12.94,502,0,0.835,16.88,21.78,0.897,1.157,0.757,0.713,52.32,43.95
"2024-07-19 18:00:00",2551,12.94,502,0,0.752,15.26,19.55,0.811,1.038,0.663,0.619,53.76,46.21
"2024-07-19 18:30:00",2552,12.93,502,0,0.643,12.9,16.93,0.685,0.899,0.559,0.524,56.47,47.69
"2024-07-19 19:00:00",2553,12.93,502,0,0.422,8.15,11.51,0.432,0.611,0.348,0.325,58.52,49.48
"2024-07-19 19:30:00",2554,12.92,502,0,0.223,3.83,6.7,0.203,0.356,0.151,0.14,57.59,48.81
"2024-07-19 20:00:00",2555,12.91,502,0,0.107,1.37,3.83,0.073,0.203,0.035,0.028,56.31,48.92
"2024-07-19 20:30:00",2556,12.91,502,0,0.037,-0.07,2.07,-0.005,0.11,-0.033,-0.036,57.38,47.92
"2024-07-19 21:00:00",2557,12.9,502,0,0,-0.87,1.18,-0.048,0.063,-0.074,-0.072,55.99,47.46
"2024-07-19 21:30:00",2558,12.9,502,0,-0.026,-1.37,0.4,-0.074,0.021,-0.097,-0.099,55.77,46.98
"2024-07-19 22:00:00",2559,12.89,502,0,-0.039,-1.62,0.05,-0.087,0.003,-0.107,-0.112,55.86,46.5
"2024-07-19 22:30:00",2560,12.89,502,0,-0.049,-1.87,-0.14,-0.101,-0.009,-0.117,-0.12,56.56,46.94
"2024-07-19 23:00:00",2561,12.89,502,0,-0.057,-2.02,-0.37,-0.109,-0.021,-0.125,-0.131,56.06,45.61
"2024-07-19 23:30:00",2562,12.88,502,0,-0.065,-2.14,-0.61,-0.115,-0.033,-0.131,-0.137,55.85,45.55
"2024-07-20 00:00:00",2563,12.88,502,0,-0.075,-2.32,-0.89,-0.125,-0.049,-0.143,-0.153,55.91,45.87
"2024-07-20 00:30:00",2564,12.88,502,0,-0.077,-2.34,-0.99,-0.125,-0.054,-0.141,-0.153,56.09,44.81
