"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-03 12:30:00",5144,13.14225,302,1,0.42,11.66,6.77,0.96311,0.5596,0.93885,0.49388,66.464,72.026
"2024-08-03 13:00:00",5145,13.10112,302,1,0.444,12.44,6.99,1.02743,0.57737,0.98437,0.49958,66.146,70.208
"2024-08-03 13:30:00",5146,13.13134,302,1,0.428,11.8,6.99,0.97446,0.57737,0.94077,0.49958,67.41,70.472
"2024-08-03 14:00:00",5147,13.12966,302,1,0.443,12.3,7.13,1.01601,0.58857,0.96813,0.50687,66.964,71.277
"2024-08-03 14:30:00",5148,13.11707,302,1,0.447,12.44,7.17,1.02815,0.59223,0.97486,0.51151,65.079,69.64
"2024-08-03 15:00:00",5149,13.11623,302,1,0.439,12.09,7.17,0.9993,0.59306,0.96645,0.51016,65.97,72.032
"2024-08-03 15:30:00",5150,13.11791,302,1,0.459,12.94,7.1,1.06931,0.58658,0.99433,0.49805,63.091,73.153
"2024-08-03 16:00:00",5151,13.13554,302,1,0.374,9.89,6.67,0.81674,0.55146,0.80402,0.49631,68.588,76.649
"2024-08-03 16:30:00",5152,13.13302,302,1,1.057,37.03,6.71,1.09663,0.55386,1.00343,0.46582,64.154,70.465
"2024-08-03 17:00:00",5153,13.1305,302,1,0.432,12.4,6.39,1.02381,0.52827,0.94855,0.44037,67.518,72.828
"2024-08-03 17:30:00",5154,13.12714,302,1,0.394,11.35,5.8,0.93783,0.47884,0.89253,0.40218,69.917,73.981
